Chapter 15: Machinery and Large-Scale Industry 1.	DREIZEHNTES KAPITEL.	ch15_clean.en-ch15_clean.de
From the economic standpoint however, this explanation is worth nothing, because the historical element is missing from it.	Vom ökonomischen Standpunkt jedoch taugt die Erklärung nichts, denn ihr fehlt das historische Element.	ch15_clean.en-ch15_clean.de
Again, some people try to explain the difference between a tool and a machine by saying that in the case of the tool, man is the motive power, whereas the power behind the machine is a natural force independent of man, as for instance an animal, water, wind and so on. According to this, a plough drawn by oxen, which is common to the most diverse epochs of production, would be a machine, while Claussen’s circular loom, which weaves 96, picks a minute, though it is set in motion by the hand of one single worker, would be a mere tool.	Andrerseits sucht man den Unterschied zwischen Werkzeug und Maschine darin, daß beim Werkzeug der Mensch die Bewegungskraft, bei der Maschine eine von der menschlichen verschiedne Naturkraft, wie Tier, Wasser, Wind usw. Danach wäre ein mit Ochsen bespannter Pflug, der den verschiedensten Produktionsepochen angehört, eine Maschine, Claussens Circular Loom <Rundwebstuhl>, der von der Hand eines einzigen Arbeiters bewegt, 96.000 Maschen in einer Minute verfertigt, ein bloßes Werkzeug.	ch15_clean.en-ch15_clean.de
Indeed, this same loom, though a tool when worked by hand, would be a machine if worked by steam.	Ja, derselbe loom wäre Werkzeug, wenn mit der Hand, und Maschine, wenn mit Dampf bewegt.	ch15_clean.en-ch15_clean.de
And since the application of animal power is one of man’s earliest inventions, production by machinery would have preceded production by handicrafts.	Da die Anwendung von Tierkraft eine der ältesten Erfindungen der Menschheit, ginge in der Tat die Maschinenproduktion der Handwerksproduktion voraus.	ch15_clean.en-ch15_clean.de
When in 1735 John Wyatt announced his spinning machine, and thereby started the industrial revolution of the eighteenth century, he nowhere mentioned that a donkey would provide the motive power instead of a man, yet this is what actually happened.	Als John Wyatt 1735 seine Spinnmaschine und mit ihr die industrielle Revolution des 18. Jahrhunderts ankündigte, erwähnte er mit keinem Wort, daß statt eines Menschen ein Esel die Maschine treibe, und dennoch fiel diese Rolle dem Esel zu.	ch15_clean.en-ch15_clean.de
In his programme it was called a machine ‘to spin without fingers’.	Eine Maschine, "um ohne Finger zu spinnen", lautete sein Programm.	ch15_clean.en-ch15_clean.de
All fully developed machinery consists of three essentially different parts, the motor mechanism, the transmitting mechanism and finally the tool or working machine.	Alle entwickelte Maschinerie besteht aus drei wesentlich verschiednen Teilen, der Bewegungsmaschine, dem Transmissionsmechanismus, endlich der Werkzeugmaschine oder Arbeitsmaschine.	ch15_clean.en-ch15_clean.de
The motor mechanism acts as the driving force of the mechanism as a whole.	Die Bewegungsmaschine wirkt als Triebkraft des ganzen Mechanismus.	ch15_clean.en-ch15_clean.de
It either generates its own motive power, like the steam-engine, the caloric-engine, the electro-magnetic machine, etc., or it receives its impulse from some already existing natural force, like the water-wheel from the descent of water down an incline, the windmill from the wind, and so on. The transmitting mechanism, composed of fly-wheels, shafting, toothed wheels, pulleys, straps, ropes, bands, pinions and gearing of the most varied kinds, regulates the motion, changes its form where necessary, as for instance from linear to circular, and divides and distributes it among the working machines.	Sie erzeugt ihre eigne Bewegungskraft, wie die Dampfmaschine, kalorische Maschine, elektro-magnetische Maschine usw., oder sie empfängt den Anstoß von einer schon fertigen Naturkraft außer ihr, wie das Wasserrad vom Wassergefäll, der Windflügel vom Wind usw. Der Transmissionsmechanismus, zusammengesetzt aus Schwungrädern, Treibwellen, Zahnrädern, Kreiselrädern, Schäften, Schnüren, Riemen, Zwischengeschirr und Vorgelege der verschiedensten Art, regelt die Bewegung, verwandelt, wo es nötig, ihre Form, z.B. aus einer perpendikulären in eine kreisförmige, verteilt und überträgt sie auf die Werkzeugmaschinerie.	ch15_clean.en-ch15_clean.de
These two parts of the whole mechanism are there solely to impart motion to the working machine; using this motion the working machine then seizes on the object of labour and modifies it as desired.	Beide Teile des Mechanismus sind nur vorhanden, um der Werkzeugmaschine die Bewegung mitzuteilen, wodurch sie den Arbeitsgegenstand anpackt und zweckgemäß verändert.	ch15_clean.en-ch15_clean.de
It is this last part of the machinery, the tool or working machine, with which the industrial revolution of the eighteenth century began.	Dieser Teil der Maschinerie, die Werkzeugmaschine, ist es, wovon die industrielle Revolution im 18. Jahrhundert ausgeht.	ch15_clean.en-ch15_clean.de
And to this day it constantly serves as the starting-point whenever a handicraft or a manufacture is turned into an industry carried on by machinery.	Sie bildet noch jeden Tag von neuem den Ausgangspunkt, sooft Handwerksbetrieb oder Manufakturbetrieb in Maschinenbetrieb übergeht.	ch15_clean.en-ch15_clean.de
On a closer examination of the working machine proper we rediscover in it as a general rule, though often in highly modified forms, the very apparatus and tools used by the handicraftsman or the manufacturing worker*; but there is the difference that instead of being the tools of a man they are the implements of a mechanism, mechanical implements.	Sehn wir uns nun die Werkzeugmaschine oder eigentliche Arbeitsmaschine näher an, so erscheinen im großen und ganzen, wenn auch oft in sehr modifizierter Form, die Apparate und Werkzeuge wieder, womit der Handwerker und Manufakturarbeiter arbeitet, aber statt als Werkzeuge des Menschen jetzt als Werkzeuge eines Mechanismus oder als mechanische.	ch15_clean.en-ch15_clean.de
Either the entire machine is only a more or less altered mechanical edition of the old handicraft tool, as for instance the power-loom, or the working parts fitted in the frame of the machine are old acquaintances, as spindles are in a mule, needles in a stocking-loom, saw-blades in a sawing-machine and knives in a chopping-machine.	Entweder ist die ganze Maschine nur eine mehr oder minder veränderte mechanische Ausgabe des alten Handwerksinstruments, wie bei dem mechanischen Webstuhl , oder die am Gerüst der Arbeitsmaschine angebrachten tätigen Organe sind alte Bekannte, wie Spindeln bei der Spinnmaschine, Nadeln beim Strumpfwirkerstuhl, Sägeblätter bei der Sägemaschine, Messer bei der Zerhackmaschine usw. Der Unterschied dieser Werkzeuge von dem eigentlichen Körper der Arbeitsmaschine erstreckt sich bis auf ihre Geburt.	ch15_clean.en-ch15_clean.de
The distinction between these tools and the actual framework of the working machine exists from their moment of entry into the world, because they continue for the most part to be produced by handicraft or by manufacture, and are afterwards fitted into the framework of the machine, which is produced by machinery.	Sie werden nämlich immer noch großenteils handwerksmäßig oder manufakturmäßig produziert und später erst an den maschinenmäßig produzierten Körper der Arbeitsmaschine befestigt.	ch15_clean.en-ch15_clean.de
The machine, therefore, is a mechanism that, after being set in motion, performs with its tools the same operations as the worker formerly did with similar tools.	Die Werkzeugmaschine ist also ein Mechanismus, der nach Mitteilung der entsprechenden Bewegung mit seinen Werkzeugen dieselben Operationen verrichtet, welche früher der Arbeiter mit ähnlichen Werkzeugen verrichtete.	ch15_clean.en-ch15_clean.de
Whether the motive power is derived from man, or in turn from a machine, makes no difference here.	Ob die Triebkraft nun vom Menschen ausgeht oder selbst wieder von einer Maschine, ändert am Wesen der Sache nichts.	ch15_clean.en-ch15_clean.de
From the moment that the tool proper is taken from man and fitted into a mechanism, a machine takes the place of a mere implement.	Nach Übertragung des eigentlichen Werkzeugs vom Menschen auf einen Mechanismus tritt eine Maschine an die Stelle eines bloßen Werkzeugs.	ch15_clean.en-ch15_clean.de
The difference strikes one at once, even in those cases where man himself continues to be the prime mover.	Der Unterschied springt sofort ins Auge, auch wenn der Mensch selbst noch der erste Motor bleibt.	ch15_clean.en-ch15_clean.de
The number of implements that he himself can use simultaneously is limited by the number of his own natural instruments of production, i.e. his own bodily organs.	Die Anzahl von Arbeitsinstrumenten, womit er gleichzeitig wirken kann, ist durch die Anzahl seiner natürlichen Produktionsinstrumente, seiner eignen körperlichen Organe, beschränkt.	ch15_clean.en-ch15_clean.de
In Germany they tried at first to make one spinner work two spinning-wheels, that is to work simultaneously with both hands and both feet.	Man versuchte in Deutschland erst einen Spinner zwei Spinnräder treten, ihn also gleichzeitig mit zwei Händen und zwei Füßen arbeiten zu lassen.	ch15_clean.en-ch15_clean.de
That proved to be too exhausting.	Dies war zu anstrengend.	ch15_clean.en-ch15_clean.de
Later, a treadle spinning-wheel with two spindles was invented, but adepts in spinning who could spin two threads at once were almost as scarce as two-headed men.	Später erfand man ein Tretspinnrand mit zwei Spindeln, aber die Spinnvirtuosen, die zwei Fäden gleichzeitig spinnen konnten, waren fast so selten als zweiköpfige Menschen.	ch15_clean.en-ch15_clean.de
The Jenny, on the other hand, even at the very beginning, spun with twelve to eighteen spindles, and the stocking-loom knits with many thousand needles at once. The number of tools that a machine can bring into play simultaneously is from the outset independent of the organic limitations that confine the tools of the handicraftsman.	Die Jenny spinnt dagegen von vornherein mit 12-18 Spindeln, der Strumpfwirkerstuhl strickt mit viel 1.000 Nadeln auf einmal usw. Die Anzahl der Werkzeuge, womit dieselbe Werkzeugmaschine gleichzeitig spielt, ist von vornherein emanzipiert von der organischen Schranke, wodurch das Handwerkszeug eines Arbeiters beengt wird.	ch15_clean.en-ch15_clean.de
In many manual implements the distinction between man as mere motive power and man as worker or operator properly so called is very striking indeed.	An vielem Handwerkszeug besitzt der Unterschied zwischen dem Menschen als bloßer Triebkraft und als Arbeiter mit dem eigentlichen Operateur eine sinnlich besonderte Existenz.	ch15_clean.en-ch15_clean.de
For instance, the foot is merely the prime mover of the spinning-wheel, while the hand, working with the spindle, and drawing and twisting, performs the real operation of spinning.	Z.B. beim Spinnrad wirkt der Fuß nur als Triebkraft, während die Hand, die an der Spindel arbeitet, zupft und dreht, die eigentliche Spinnoperation verrichtet.	ch15_clean.en-ch15_clean.de
It is the second part of the handicraftsman’s implement, in this case the spindle, which is first seized on by the industrial revolution, leaving to the worker, in addition to his new labour of watching the machine with his eyes and correcting its mistakes with his hands, the merely mechanical role of acting as the motive power.	Grade diesen letzten Teil des Handwerksinstruments ergreift die industrielle Revolution zuerst und überläßt dem Menschen, neben der neuen Arbeit die Maschine mit seinem Auge zu überwachen und ihre Irrtümer mit seiner Hand zu verbessern, zunächst noch die rein mechanische Rolle der Triebkraft.	ch15_clean.en-ch15_clean.de
On the other hand, in cases where man has always acted as a simple motive power, as for instance by turning the crank of a mill, by pumping, by moving the arm of a bellows up and down, by pounding with a mortar, etc., there is soon a call for the application of animals, water and wind as motive powers.	Werkzeuge dagegen, auf die der Mensch von vornherein nur als einfache Triebkraft wirkt, wie z.B. beim Drehn der Kurbel einer Mühle , bei[m] Pumpen, beim Auf- und Abbewegen der Arme eines Blasebalgs, beim Stoßen eines Mörsers etc., rufen zwar zuerst die Anwendung von Tieren, Wasser, Wind als Bewegungskräften hervor.	ch15_clean.en-ch15_clean.de
Here and there, long before the period of manufacture, and also to some extent during that period, these implements attain the stature of machines, but without creating any revolution in the mode of production.	Sie recken sich, teilweise innerhalb, sporadisch schon lange vor der Manufakturperiode zu Maschinen, aber sie revolutionieren die Produktionsweise nicht.	ch15_clean.en-ch15_clean.de
It becomes evident in the period of large-scale industry that these implements, even in the form of manual tools, are already machines.	Daß sie selbst in ihrer handwerksmäßigen Form bereits Maschinen sind, zeigt sich in der Periode der großen Industrie.	ch15_clean.en-ch15_clean.de
For instance, the pumps with which the Dutch emptied the Lake of Harlem in 1836– were constructed on the principle of ordinary pumps, the only difference being that their pistons were driven by Cyclopean steam-engines, instead of by men.	Die Pumpen z.B., womit die Holländer 1836/37 den See von Harlem auspumpten, waren nach dem Prinzip gewöhnlicher Pumpen konstruiert, nur daß zyklopische Dampfmaschinen statt der Menschenhände ihre Kolben trieben.	ch15_clean.en-ch15_clean.de
In England, the common and very imperfect bellows of the blacksmith is occasionally converted into a blowing-engine by connecting its arm with a steam-engine.	Der gewöhnliche und sehr unvollkommne Blasbalg des Grobschmieds wird noch zuweilen in England durch bloße Verbindung seines Arms mit einer Dampfmaschine in eine mechanische Luftpumpe verwandelt.	ch15_clean.en-ch15_clean.de
The steam-engine itself, such as it was at its invention during the manufacturing period at the close of the seventeenth century, and such as it continued to be down to 1780, did not give rise to any industrial revolution.	Die Dampfmaschine selbst, wie sie Ende des 17. Jahrhunderts während der Manufakturperiode erfunden ward und bis zum Anfang der 80er Jahre des 18. Jahrhunderts fortexistierte , rief keine industrielle Revolution hervor.	ch15_clean.en-ch15_clean.de
It was, on the contrary, the invention of machines that made a revolution in the form of steam-engines necessary.	Es war vielmehr umgekehrt die Schöpfung der Werkzeugmaschinen, welche die revolutionierte Dampfmaschine notwendig machte.	ch15_clean.en-ch15_clean.de
As soon as man, instead of working on the object of labour with a tool, becomes merely the motive power of a machine, it is purely accidental that the motive power happens to be clothed in the form of human muscles; wind, water or steam could just as well take man’s place.	Sobald der Mensch, statt mit dem Werkzeug auf den Arbeitsgegenstand, nur noch als Triebkraft auf eine Werkzeugmaschine wirkt, wird die Verkleidung der Triebkraft in menschliche Muskel zufällig und kann Wind, Wasser, Dampf usw. an die Stelle treten.	ch15_clean.en-ch15_clean.de
Of course, this does not prevent such a change of form from producing great technical alterations in a mechanism which was originally constructed to be driven by man alone.	Dies schließt natürlich nicht aus, daß solcher Wechsel oft große technische Ändrungen des ursprünglich für menschliche Treibkraft allein konstruierten Mechanismus bedingt.	ch15_clean.en-ch15_clean.de
Nowadays, all machines that have to break new ground, such as sewing-machines, bread-making machines, etc. are constructed to be driven by human as well as by purely mechanical motive power, unless they have special characteristics which exclude their use on a small scale.	Heutzutage werden alle Maschinen, die sich erst Bahn brechen müssen, wie Nähmaschinen, Brotbereitungsmaschinen usw., wenn sie den kleinen Maßstab nicht von vornherein durch ihre Bestimmung ausschließen, für menschliche und rein mechanische Triebkraft zugleich konstruiert.	ch15_clean.en-ch15_clean.de
The machine, which is the starting-point of the industrial revolution, replaces the worker, who handles a single tool, by a mechanism operating with a number of similar tools and set in motion by a single motive power, whatever the form of that power.	Die Maschine, wovon die industrielle Revolution ausgeht, ersetzt den Arbeiter, der ein einzelnes Werkzeug handhabt, durch einen Mechanismus, der mit einer Masse derselben oder gleichartiger Werkzeuge auf einmal operiert und von einer einzigen Triebkraft, welches immer ihre Form, bewegt wird.	ch15_clean.en-ch15_clean.de
Here we have the machine, but in its first role as a simple element in production by machinery.	Hier haben wir die Maschine, aber erst als einfaches Element der maschinenmäßigen Produktion.	ch15_clean.en-ch15_clean.de
An increase in the size of the machine and the number of its working tools calls for a more massive mechanism to drive it; and this mechanism, in order to overcome its own inertia, requires a mightier moving power than that of man, quite apart from the fact that man is a very imperfect instrument for producing uniform and continuous motion.	Die Erweitrung des Umfangs der Arbeitsmaschine und der Zahl ihrer gleichzeitig operierenden Werkzeuge bedingt einen massenhafteren Bewegungsmechanismus, und dieser Mechanismus zur Überwältigung seines eignen Widerstands eine mächtigere Triebkraft als die menschliche, abgesehn davon, daß der Mensch ein sehr unvollkommnes Produktionsinstrument gleichförmiger und kontinuierlicher Bewegung ist.	ch15_clean.en-ch15_clean.de
Now assuming that he is acting simply as a motor, that a machine has replaced the tool he was using, it is evident that he can also be replaced as a motor by natural forces.	Vorausgesetzt, daß er nur noch als einfache Triebkraft wirkt, also an die Stelle seines Werkzeugs eine Werkzeugmaschine getreten ist, können Naturkräfte ihn jetzt auch als Triebkraft ersetzen.	ch15_clean.en-ch15_clean.de
Of all the great motive forces handed down from the period of manufacture, horse-power is the worst, partly because a horse has a head of his own, partly because he is costly and the extent to which he can be used in factories is very limited.	Von allen aus der Manufakturperiode überlieferten großen Bewegungskräften war die Pferdekraft die schlechteste, teils weil ein Pferd seinen eignen Kopf hat, teils wegen seiner Kostspieligkeit und des beschränkten Umfangs, worin es in Fabriken allein anwendbar ist.	ch15_clean.en-ch15_clean.de
Nevertheless, the horse was used extensively during the infancy of large-scale industry. This is proved both by the complaints of the agronomists of that epoch and by the way of expressing mechanical force in terms of ‘horse-power’, which survives to this day.	Dennoch wurde das Pferd häufig während der Kinderzeit der großen Industrie angewandt, wie außer dem Jammer gleichzeitiger Agronomen schon der bis heute überlieferte Ausdruck der mechanischen Kraft in Pferdekraft bezeugt.	ch15_clean.en-ch15_clean.de
The wind was too inconstant and uncontrollable and, apart from this, in England, the birthplace of large-scale industry, the use of water-power preponderated even during the period of manufacture.	Der Wind war zu unstet und unkontrollierbar, und die Anwendung der Wasserkraft überwog außerdem in England, dem Geburtsort der großen Industrie, schon während der Manufakturperiode.	ch15_clean.en-ch15_clean.de
In the seventeenth century attempts had already been made to turn two pairs of millstones with a single water-wheel.	Man hatte bereits im 17. Jahrhundert versucht, zwei Läufer und also auch zwei Mahlgänge mit einem Wasserrad in Bewegung zu setzen.	ch15_clean.en-ch15_clean.de
But the increased size of the transmitting mechanism came into conflict with the water-power, which was now insufficient, and this was one of the factors which gave the impulse for a more accurate investigation of the laws of friction.	Der geschwollne Umfang des Transmissionsmechanismus geriet aber jetzt in Konflikt mit der nun unzureichenden Wasserkraft, und dies ist einer der Umstände, der zur genauern Untersuchung der Reibungsgesetze trieb.	ch15_clean.en-ch15_clean.de
In the same way the irregularity caused by the motive power in mills that were set in motion by pushing and pulling a lever led to the theory, and the application, of the fly-wheel, which later played such an important part in large-scale industry.	Ebenso führte das ungleichförmige Wirken der Bewegungskraft bei Mühlen, die durch Stoßen und Ziehen mit Schwengeln in Bewegung gesetzt wurden, auf die Theorie und Anwendung des Schwungrads , das später eine so wichtige Rolle in der großen Industrie spielt.	ch15_clean.en-ch15_clean.de
In this way, the first scientific and technical elements of large-scale industry were developed during the period of manufacturing.	In dieser Art entwickelte die Manufakturperiode die ersten wissenschaftlichen und technischen Elemente der großen Industrie.	ch15_clean.en-ch15_clean.de
Arkwright’s throstle-spinning mill was from the very first turned by water.	Arkwrights Throstlesspinnerei wurde von vornherein mit Wasser getrieben.	ch15_clean.en-ch15_clean.de
Despite this, the use of water-power as the main motive force brought with it various added difficulties.	Indes war auch der Gebrauch der Wasserkraft als herrschender Triebkraft mit erschwerenden Umständen verbunden.	ch15_clean.en-ch15_clean.de
The flow of water could not be increased at will, it failed at certain seasons of the year, and above all it was essentially local.	Sie konnte nicht beliebig erhöht und ihrem Mangel nicht abgeholfen werden, sie versagte zuweilen und war vor allem rein lokaler Natur.	ch15_clean.en-ch15_clean.de
Not till the invention of Watt’s second and so-called double-acting steam-engine was a prime mover found which drew its own motive power from the consumption of coal and water, was entirely under man’s control, was mobile and a means of locomotion, was urban and not – like the water-wheel – rural, permitted production to be concentrated in towns instead of – like the water-wheels – being scattered over the countryside and, finally, was of universal technical application, and little affected in its choice of residence by local circumstances.	Erst mit Watts zweiter, sog. doppelt wirkender Dampfmaschine war ein erster Motor gefunden, der seine Bewegungskraft selbst erzeugt aus der Verspeisung von Kohlen und Wasser, dessen Kraftpotenz ganz unter menschlicher Kontrolle steht, der mobil und ein Mittel der Lokomotion, städtisch und nicht gleich dem Wasserrad ländlich, die Konzentration der Produktion in Städten erlaubt, statt sie wie das Wasserrad über das Land zu zerstreuen , universell in seiner technologischen Anwendung, in seiner Residenz verhältnismäßig wenig durch lokale Umstände bedingt.	ch15_clean.en-ch15_clean.de
The greatness of Watt’s genius showed itself in the specification of the patent that he took out in April 1784. In that specification his steam-engine is described, not as an invention for a specific purpose, but as an agent universally applicable in industry.	Das große Genie Watts zeigt sich in der Spezifikation des Patents, das er April 1784 nahm, und worin seine Dampfmaschine nicht als eine Erfindung zu besondren Zwecken, sondern als allgemeiner Agent der großen Industrie geschildert wird.	ch15_clean.en-ch15_clean.de
Many of the applications he points out in it, for instance the steam-hammer, were not introduced until half a century later.	Er deutet hier Anwendungen an, wovon manche, wie z.B. der Dampfhammer, mehr als ein halbes Jahrhundert später erst eingeführt wurden.	ch15_clean.en-ch15_clean.de
Even so he doubted the applicability of steam to navigation.	Jedoch bezweifelte er die Anwendbarkeit der Dampfmaschine auf Seeschiffahrt.	ch15_clean.en-ch15_clean.de
Yet steam-engines of colossal size for ocean steamers were sent to the Great Exhibition of 1851 by his successors, the firm of Boulton and Watt.	Seine Nachfolger, Boulton und Watt, stellten 1851 die kolossalste Dampfmaschine für Ocean steamers <Ozeandampfer> auf der Londoner Industrieausstellung aus.	ch15_clean.en-ch15_clean.de
As soon as tools had been converted from being manual implements of man into the parts of a mechanical apparatus, of a machine, the motive mechanism also acquired an independent form, entirely emancipated from the restraints of human strength.	Nachdem erst die Werkzeuge aus Werkzeugen des menschlichen Organismus in Werkzeuge eines mechanischen Apparats, der Werkzeugmaschine, verwandelt, erhielt nun auch die Bewegungsmaschine eine selbständige, von den Schranken menschlicher Kraft völlig emanzipierte Form.	ch15_clean.en-ch15_clean.de
Thereupon the individual machine, which we have considered so far, sinks to a mere element in production by machinery.	Damit sinkt die einzelne Werkzeugmaschine, die wir bisher betrachtet, zu einem bloßen Element der maschinenmäßigen Produktion herab.	ch15_clean.en-ch15_clean.de
One motive mechanism was now able to drive many machines at once.	Eine Bewegungsmaschine konnte jetzt viele Arbeitsmaschinen gleichzeitig treiben.	ch15_clean.en-ch15_clean.de
The motive mechanism grows with the number of the machines that are turned simultaneously, and the transmitting mechanism becomes an extensive apparatus.	Mit der Anzahl der gleichzeitig bewegten Arbeitsmaschine wächst die Bewegungsmaschine und dehnt sich der Transmissionsmechanismus zu einem weitläufigen Apparat aus.	ch15_clean.en-ch15_clean.de
We have now to distinguish the co-operation of a number of machines of one kind from a complex system of machinery.	Es ist nun zweierlei zu unterscheiden, Kooperation vieler gleichartiger Maschinen und Maschinensystem.	ch15_clean.en-ch15_clean.de
In the one case, the product is entirely made by a single machine, which performs all the various operations previously done by one handicraftsman with his tool, by a weaver with his loom, for instance, or by several handicraftsmen successively, either separately or as members of a system of manufacture.	In dem einen Fall wird das ganze Machwerk von derselben Arbeitsmaschine verrichtet. Sie führt alle die verschiednen Operationen aus, welche ein Handwerker mit seinem Werkzeug, z.B. der Weber mit seinem Webstuhl, verrichtete oder welche Handwerker mit verschiednen Werkzeugen, sei es selbständig oder als Glieder einer Manufaktur, der Reihe nach ausführten.	ch15_clean.en-ch15_clean.de
In the modern manufacture of envelopes, for example, one man folded the paper with the folder, another laid on the gum, a third turned over the flap on which the emblem is impressed, a fourth embossed the emblem and so on; and on each occasion the envelope had to change hands.	Z.B. in der modernen Manufaktur von Briefkuverts faltete ein Arbeiter das Papier mit dem Falzbein, ein andrer legte den Gummi auf, ein dritter schlug die Klappe um, auf welche die Devise aufgedrückt wird, ein vierter bossierte die Devise usw., und bei jeder dieser Teiloperationen mußte jede einzelne Enveloppe die Hände wechseln.	ch15_clean.en-ch15_clean.de
One single envelope machine now performs all these operations at once, and makes more than 3, envelopes in an hour.	Eine einzige Enveloppemaschine verrichtet alle diese Operationen auf einen Schlag und macht 3.000 und mehr Enveloppes in einer Stunde.	ch15_clean.en-ch15_clean.de
In the London exhibition of 1862, there was an American machine for making paper cornets. It cut the paper, pasted, folded and finished 300 in a minute.	Eine auf der Londoner Industrieausstellung von 1862 ausgestellte amerikanische Maschine zur Bereitung von Papiertuten schneidet das Papier, kleistert, faltet und vollendet 300 Stück per Minute.	ch15_clean.en-ch15_clean.de
Here the whole process, which under the manufacturing system was split up into a series of operations and carried out in that order, is completed by a single machine, operating a combination of different tools.	Der innerhalb der Manufaktur geteilte und in einer Reihenfolge ausgeführte Gesamtprozeß wird hier von einer Arbeitsmaschine vollbracht, die durch Kombination verschiedner Werkzeuge wirkt.	ch15_clean.en-ch15_clean.de
Now whether such a machine is merely a reproduction of a complicated manual implement, or a combination of various simple implements specialized by manufacture, in both cases we meet again with simple cooperation in the factory, i.e. in the workshop in which machinery alone is used; and, leaving the worker out of consideration for the moment, this co-operation appears, in the first instance, as the assembling in one place of similar and simultaneously acting machines.	Ob nun eine solche Arbeitsmaschine nur mechanische Wiedergeburt eines komplizierteren Handwerkszeuges sei oder Kombination verschiedenartiger, manufakturmäßig partikularisierter einfacher Instrumente - in der Fabrik, d.h. in der auf Maschinenbetrieb gegründeten Werkstatt, erscheint jedesmal die einfache Kooperation wieder, und zwar zunächst (wir sehn hier vom Arbeiter ab) als räumliche Konglomeration gleichartiger und gleichzeitig zusammenwirkender Arbeitsmaschinen.	ch15_clean.en-ch15_clean.de
Thus a weaving factory consists of a number of power-looms working side by side, and a sewing factory consists of a number of sewing-machines all in the same building.	So wird eine Webfabrik durch das Nebeneinander vieler mechanischen Webstühle und eine Nähfabrik durch das Nebeneinander vieler Nähmaschinen in demselben Arbeitsgebäude gebildet.	ch15_clean.en-ch15_clean.de
But there is here a technical unity in that all the machines receive their impulse simultaneously, and in an equal degree, from the pulsations of the common prime mover, which are imparted to them by the transmitting mechanism; and this mechanism, to a certain extent, is also common to them all, since only particular ramifications of it branch off to each machine.	Aber es existiert hier eine technische Einheit, indem die vielen gleichartigen Arbeitsmaschinen gleichzeitig und gleichmäßig ihren Impuls empfangen vom Herzschlag des gemeinsamen ersten Motors, auf sie übertragen durch den Transmissionsmechanismus, der ihnen auch teilweis gemeinsam ist, indem sich nur besondre Ausläufe davon für jede einzelne Werkzeugmaschine verästeln.	ch15_clean.en-ch15_clean.de
