Chapter 25: The General Law of Capitalist Accumulation 1.	DREIUNDZWANZIGSTES KAPITEL. TEIL I.	ch25_clean.en-ch25_clean.de
If here and there one of the lowest class, by uncommon industry, and pinching his belly, lifts himself above the condition he was brought up in, nobody ought to hinder him; nay, it is undeniably the wisest course for every person in the society, and for every private family to be frugal; but it is the interest of all rich nations, that the greatest part of the poor should almost never be idle, and yet continually spend what they get… Those that get their living by their daily labour… have nothing to stir them up to be serviceable but their wants which it is prudence to relieve, but folly to cure.	Wenn hier und da einer aus der untersten Klasse durch ungewöhnlichen Fleiß und Bauchkneipen sich über die Lage erhebt, worin er aufgewachsen war, so muß ihn keiner daran hin- dern: ja es ist unleugbar der weiseste Plan für jede Privatperson, für jede Privatfamilie in der Gesellschaft, frugal zu sein; aber es ist das Interesse aller reichen Nationen, daß der größte Teil der Armen nie untätig sei und sie dennoch stets verausgaben, was sie einnehmen ... Diejenigen, die ihr Leben durch ihre tägliche Arbeit gewinnen, haben nichts, was sie anstachelt, dienstlich zu sein außer ihren Bedürfnissen, welche es Klugheit ist zu lindern, aber Narrheit wäre zu kurieren. Das einzige Ding, das den arbeitenden Mann fleißig machen kann, ist ein mäßiger Arbeitslohn.	ch25_clean.en-ch25_clean.de
The only thing then that can render the labouring man industrious, is a moderate quantity of money, for as too little will, according as his temper is, either dispirit or make him desperate, so too much will make him insolent and lazy… From what has been said, it is manifest, that, in a free nation, where slaves are not allowed of, the surest wealth consists in a multitude of laborious poor; for besides that they are the never failing nursery of fleets and armies, without them there could be no enjoyment, and no product of any country could be valuable.	Ein zu geringer macht ihn je nach seinem Temperament kleinmütig oder verzweifelt, ein zu großer insolent und faul ... Aus dem bisher Entwickelten folgt, daß in einer freien Nation, wo Sklaven nicht erlaubt sind, der sicherste Reichtum aus einer Menge arbeitsamer Armen besteht. Außerdem, daß sie die nie versagende Zufuhrquelle für Flotte und Armee, gäbe es ohne sie keinen Genuß und wäre das Produkt keines Landes verwertbar.	ch25_clean.en-ch25_clean.de
To make the society’ (which of course consists of non-workers) ‘happy and people easier under the meanest circumstances, it is requisite that great numbers of them should be ignorant as well as poor; knowledge both enlarges and multiplies our desires, and the fewer things a man wishes for, the more easily his necessities may be supplied.’	Um die Gesellschaft" (die natürlich aus den Nichtarbeitern besteht) "glücklich und das Volk selbst in kümmerlichen Zuständen zufrieden zu machen, ist es nötig, daß die große Majorität sowohl unwissend als arm bleibt. Kenntnis erweitert und vervielfacht unsere Wünsche, und je weniger ein Mann wünscht, desto leichter können seine Bedürfnisse befriedigt werden."	ch25_clean.en-ch25_clean.de
What Mandeville, an honest man with a clear mind, had not yet grasped was the fact that the mechanism of the accumulation process itself not only increases the amount of capital but also the mass of the ‘labouring poor’, i.e. the wage-labourers, who turn their labour-power into a force for increasing the valorization of the growing capital, and who are thereby compelled to make their relation of dependence on their own product, as personified in the capitalist, into an eternal relation.	Was Mandeville, ein ehrlicher Mann und heller Kopf, noch nicht begreift, ist, daß der Mechanismus des Akkumulationsprozesses selbst mit dem Kapital die Masse der "arbeitsamen Armen" vermehrt, d.h. der Lohnarbeiter, die ihre Arbeitskraft in wachsende Verwertungskraft des wachsenden Kapitals verwandeln und ebendadurch ihr Abhängigkeitsverhältnis von ihrem eignen, im Kapitalisten personifzierten Produkt verewigen müssen.	ch25_clean.en-ch25_clean.de
In reference to this relation of dependence, Sir F. M. Eden remarks, in his The State of the Poor; or an History of the Labouring Classes in England,’ the natural produce of our soil is certainly not fully adequate to our subsistence; we can neither be clothed, lodged nor fed but in consequence of some previous labour.	Mit Bezug auf dies Abhängigkeitsverhältnis bemerkt Sir F. M. Eden in seiner "Lage der Armen, oder Geschichte der arbeitenden Klasse Englands": "Unsere Zone erfordert Arbeit zur Befriedigung der Bedürfnisse, und deshalb muß wenigstens ein Teil der Gesellschaft unermüdet arbeiten ... Einige, die nicht arbeiten, haben dennoch die Produkte des Fleißes zu ihrer Verfügung.	ch25_clean.en-ch25_clean.de
A portion at least of the society must be indefatigably employed… There are others who, though they “neither toil nor spin”, can yet command the produce of industry, but who owe their exemption from labour solely to civilization and order… They are peculiarly the creatures of civil institutions, which have recognized that individuals may acquire property by various other means besides the exertion of labour… Persons of independent fortune… owe their superior advantages by no means to any superior abilities of their own, but almost entirely… to the industry of others.	Das verdanken diese Eigentümer aber nur der Zivilisation und Ordnung; sie sind reine Kreaturen der bürgerlichen Institutionen. Denn diese haben es anerkannt, daß man die Früchte der Arbeit auch anders als durch Arbeit sich aneignen kann. Die Leute von unabhängigem Vermögen verdanken ihr Vermögen fast ganz der Arbeit andrer, nicht ihrer eignen Fähigkeit, die durchaus nicht besser ist als die der andren; es ist nicht der Besitz von Land und Geld, sondern das Kommando über Arbeit (the command of labour), das die Reichen von den Armen unterscheidet ...	ch25_clean.en-ch25_clean.de
It is not the possession of land, or of money, but the command of labour which distinguishes the opulent from the labouring part of the community… This [the scheme approved by Eden] would give the people of property sufficient influence and authority over those who… work for them; and it would place such labourers, not in an abject or servile condition, but in such a state of easy and liberal dependence as all who know human nature, and its history, will allow to be necessary for their own comfort.’	Was dem Armen zusagt, ist nicht eine verworfene oder servile Lage, sondern ein bequemes und liberales Abhängigkeitsverhältnis (a state of easy and liberal dependence), und für die Leute von Eigentum hinreichender Einfluß und Autorität über die, die für sie arbeiten ... Ein solches Abhängigkeitsverhältnis ist, wie jeder Kenner der menschlichen Natur weiß, notwendig für den Komfort der Arbeiter selbst. "	ch25_clean.en-ch25_clean.de
Sir F. M. Eden, it may be remarked in passing, was the only disciple of Adam Smith to have achieved anything of importance during the eighteenth century.	Sir F. M. Eden, beiläufig bemerkt, ist der einzige Schüler Adam Smiths, der während des achtzehnten Jahrhunderts etwas Bedeutendes geleistet hat .	ch25_clean.en-ch25_clean.de
Under the conditions of accumulation we have assumed so far, conditions which are the most favourable to the workers, their relation of dependence on capital takes on forms which are endurable or, as Eden says, ‘easy and liberal’.	Unter den bisher unterstellten, den Arbeitern günstigsten Akkumulationsbedingungen kleidet sich ihr Abhängigkeitsverhältnis vom Kapital in erträgliche oder, wie Eden sagt, "bequeme und liberale" Formen.	ch25_clean.en-ch25_clean.de
Instead of becoming more intensive with the growth of capital, this relation of dependence only becomes more extensive, i.e. the sphere of capital’s exploitation and domination merely extends with its own dimensions and the number of people subjected to it.	Statt intensiver zu werden mit dem Wachstum des Kapitals, wird es nur extensiver, d.h. die Exploitations- und Herrschaftssphäre des Kapitals dehnt sich nur aus mit seiner eigenen Dimension und der Anzahl seiner Untertanen.	ch25_clean.en-ch25_clean.de
A larger part of the worker’s own surplus product, which is always increasing and is continually being transformed into additional capital, comes back to them in the shape of means of payment, so that they can extend the circle of their enjoyments, make additions to their consumption fund of clothes, furniture, etc., and lay by a small reserve fund of money.	Von ihrem eignen anschwellenden und schwellend in Zusatzkapital verwandelten Mehrprodukt strömt ihnen ein größerer Teil in der Form von Zahlungsmitteln zurück, so daß sie den Kreis ihrer Genüsse erweitern, ihren Konsumtionsfonds von Kleidern, Möbeln usw. besser ausstatten und kleine Reservefonds von Geld bilden können.	ch25_clean.en-ch25_clean.de
But these things no more abolish the exploitation of the wage-labourer, and his situation of dependence, than do better clothing, food and treatment, and a larger peculium, in the case of the slave.	So wenig aber bessere Kleidung, Nahrung, Behandlung und ein größeres Peculium das Abhängigkeitsverhältnis und die Exploitation des Sklaven aufheben, so wenig die des Lohnarbeiters.	ch25_clean.en-ch25_clean.de
A rise in the price of labour, as a consequence of the accumulation of capital, only means in fact that the length and weight of the golden chain the wage-labourer has already forged for himself allow it to be loosened somewhat.	Steigender Preis der Arbeit infolge der Akkumulation des Kapitals besagt in der Tat nur, daß der Umfang und die Wucht der goldnen Kette, die der Lohnarbeiter sich selbst bereits geschmiedet hat, ihre losere Spannung erlauben.	ch25_clean.en-ch25_clean.de
In the controversies on this question, the essential fact has generally been overlooked, namely the differentia specifica of capitalist production.	In den Kontroversen über diesen Gegen- stand hat man meist die Hauptsache übersehn, nämlich die differentia specifica <den kennzeichnenden Unterschied> der kapitalistischen Produktion.	ch25_clean.en-ch25_clean.de
Labour-power is not purchased under this system for the purpose of satisfying the personal needs of the buyer, either by its service or through its product.	Arbeitskraft wird hier gekauft, nicht um durch ihren Dienst oder ihr Produkt die persönlichen Bedürfnisse des Käufers zu befriedigen.	ch25_clean.en-ch25_clean.de
The aim of the buyer is the valorization of his capital, the production of commodities which contain more labour than he paid for, and therefore contain a portion of value which costs him nothing and is nevertheless realized [realisiert] through the sale of those commodities.	Sein Zweck ist Verwertung seines Kapitals, Produktion von Waren, die mehr Arbeit enthalten, als er zahlt, also einen Wertteil enthalten, der ihm nichts kostet und dennoch durch den Warenverkauf realisiert wird.	ch25_clean.en-ch25_clean.de
The production of surplus-value, or the making of profits, is the absolute law of this mode of production.	Produktion von Mehrwert oder Plusmacherei ist das absolute Gesetz dieser Produktionsweise.	ch25_clean.en-ch25_clean.de
Labour-power can be sold only to the extent that it preserves and maintains the means of production as capital, reproduces its own value as capital, and provides a source of additional capital in the shape of unpaid labour.	Nur soweit sie die Produktionsmittel als Kapital erhält, ihren eignen Wert als Kapital reproduziert und in unbezahlter Arbeit eine Quelle von Zuschußkapital liefert, ist die Arbeitskraft verkaufbar.	ch25_clean.en-ch25_clean.de
The conditions of its sale, whether more or less favourable to the worker, include therefore the necessity of its constant re-sale, and the constantly extended reproduction of wealth as capital.	Die Bedingungen ihres Verkaufs, ob mehr oder minder günstig für den Arbeiter, schließen also die Notwendigkeit ihres steten Wiederverkaufs und die stets erweiterte Reproduktion des Reichtums als Kapital ein.	ch25_clean.en-ch25_clean.de
Wages, as we have seen, imply by their very nature that the worker will always provide a certain quantity of unpaid labour.	Der Arbeitslohn, wie man gesehn, bedingt seiner Natur nach stets Lieferung eines bestimmten Quantums unbezahlter Arbeit auf seiten des Arbeiters.	ch25_clean.en-ch25_clean.de
Even if we leave aside the case where a rise of wages is accompanied by a fall in the price of labour, it is clear that at the best of times an increase in wages means only a quantitative reduction in the amount of unpaid labour the worker has to supply.	Ganz abgesehn vom Steigen des Arbeitslohns mit sinkendem Preis der Arbeit usw., besagt seine Zunahme im besten Fall nur quantitative Abnahme der unbezahlten Arbeit, die der Arbeiter leisten muß.	ch25_clean.en-ch25_clean.de
This reduction can never go so far as to threaten the system itself.	Diese Abnahme kann nie bis zum Punkt fortgehn, wo sie das System selbst bedrohen würde.	ch25_clean.en-ch25_clean.de
Apart from violent conflicts over the rate of wages (and Adam Smith already showed that in such a conflict the master, by and large, remained the master) a rise in the price of labour resulting from accumulation of capital implies the following alternatives: Either the price of labour keeps on rising, because its rise does not interfere with the progress of accumulation.	Abgesehn von gewaltsamen Konflikten über die Rate des Arbeitslohns, und Adam Smith hat bereits gezeigt, daß im großen und ganzen in solchem Konflikt der Meister stets Meister bleibt, unterstellt ein aus Akkumulation des Kapitals entspringendes Steigen des Arbeitspreises folgende Alternative.	ch25_clean.en-ch25_clean.de
There is nothing remarkable in this, for as Adam Smith says, ‘after these’ (profits) ‘are diminished, stock may not only continue to increase, but to increase much faster than before… A great stock, though with small profits, generally increases faster than a small stock with great profits’ (op. cit., Vol.	Entweder fährt der Preis der Arbeit fort zu steigen, weil seine Erhöhung den Fortschritt der Akkumulation nicht stört; es liegt darin nichts Wunderbares, denn, sagt A. Smith, "selbst bei gesunknem Profit vermehren sich die Kapitale dennoch; sie wachsen selbst rascher als vorher ... Ein großes Kapital wächst selbst bei kleinerem Profit im allgemeinen rascher als ein kleines Kapital bei großem Profit. (l.c.	ch25_clean.en-ch25_clean.de
1, p. 189).	I, p. 189.)	ch25_clean.en-ch25_clean.de
In this case it is evident that a reduction in the amount of unpaid labour in no way interferes with the extension of the domain of capital. Or, the other alternative, accumulation slackens as a result of the rise in the price of labour, because the stimulus of gain is blunted.	In diesem Falle ist es augenscheinlich, daß eine Verminderung der unbezahlten Arbeit die Ausdehnung der Kapitalherrschaft keineswegs beeinträchtigt. - Oder, das ist die andre Seite der Alternative, die Akkumulation erschlafft infolge des steigenden Arbeitspreises, weil der Stachel des Gewinns abstumpft.	ch25_clean.en-ch25_clean.de
The rate of accumulation lessens; but this means that the primary cause of that lessening itself vanishes, i.e. the disproportion between capital and exploitable labour-power.	Die Akkumulation nimmt ab. Aber mit ihrer Abnahme verschwindet die Ursache ihrer Abnahme, nämlich die Disproportion zwischen Kapital und exploitabler Arbeitskraft.	ch25_clean.en-ch25_clean.de
The mechanism of the capitalist production process removes the very obstacles it temporarily creates.	Der Mechanismus des kapitalistischen Produktionsprozesses beseitigt also selbst die Hindernisse, die er vorübergehend schafft.	ch25_clean.en-ch25_clean.de
The price of labour falls again to a level corresponding with capital’s requirements for self-valorization, whether this level is below, the same as, or above that which was normal before the rise of wages took place.	Der Arbeitspreis fällt wieder auf ein den Verwertungsbedürfnissen des Kapitals entsprechendes Niveau, ob dieses nun unter, über oder gleich mit dem Niveau, welches vor Eintritt des Lohnzuwachses als normal galt.	ch25_clean.en-ch25_clean.de
We see therefore that in the first case it was not the diminished rate, either of the absolute or of the proportional increase in labour-power, or the working population, which caused the excess quantity of capital, but rather the converse; the increase in capital made the exploitable labour-power insufficient.	Man sieht: Im ersten Fall ist es nicht die Abnahme im absoluten oder proportionellen Wachstum der Arbeitskraft oder Arbeiterbevölkerung, welche das Kapital überschüssig, sondern umgekehrt die Zunahme des Kapitals, welche die exploitable Arbeitskraft unzureichend macht.	ch25_clean.en-ch25_clean.de
In the second case it was not the increased rate, either of the absolute or of the proportional increase in labour-power, or the working population, that made the capital insufficient, but rather the converse; the relative reduction in the amount of capital caused the exploitable labour-power, or rather its price, to be in excess.	Im zweiten Fall ist es nicht die Zunahme im absoluten oder proportionellen Wachstum der Arbeitskraft oder der Arbeiterbevölkerung, welche das Kapital unzureichend, sondern umgekehrt die Abnahme des Kapitals, welche die exploitable Arbeitskraft, oder vielmehr ihren Preis, überschüssig macht.	ch25_clean.en-ch25_clean.de
It is these absolute movements of the accumulation of capital which are reflected as relative movements of the mass of exploitable labour-power, and therefore seem produced by the latter’s own independent movement.	Es sind diese absoluten Bewegungen in der Akkumulation des Kapitals, welche sich als relative Bewegungen in der Masse der exploitablen Arbeitskraft widerspiegeln und daher der eignen Bewegung der letztren geschuldet scheinen.	ch25_clean.en-ch25_clean.de
To put it mathematically: the rate of accumulation is the independent, not the dependent variable; the rate of wages is the dependent, not the independent variable.	Um mathematischen Ausdruck anzuwenden: die Größe der Akkumulation ist die unabhängige Variable, die Lohngröße die abhängige, nicht umgekehrt.	ch25_clean.en-ch25_clean.de
Thus, when the industrial cycle is in its phase of crisis, a general fall in the price of commodities is expressed as a rise in the relative value of money, and, in the phase of prosperity, a general rise in the price of commodities is expressed as a fall in the relative value of money.	So drückt sich in der Krisenphase des industriellen Zyklus der allgemeine Fall der Warenpreise als Steigen des relativen Geldwerts, und in der Prosperitätsphase das allgemeine Steigen der Warenpreise als Fall des relativen Geldwerts aus.	ch25_clean.en-ch25_clean.de
The so-called Currency School* conclude from this that with high prices too much money is in circulation, with low prices too little. Their ignorance and complete misunderstanding of the facts are worthily paralleled by the economists, who interpret the above phenomena of accumulation by saying that in one case there are too few, and in the other, too many wage-labourers in existence.	Die sog. Currency-Schule schließt daraus, daß bei hohen Preisen zu viel, bei niedrigen zu wenig Geld zirkuliert. <3. und 4. Auflage: bei hohen Preisen zu wenig, bei niedrigen zu viel Geld zirkuliert.> Ihre Ignoranz und völlige Verkennung der Tatsachen finden würdige Parallele in den Ökonomen, welche jene Phänomene der Akkumulation dahin deuten, daß das eine Mal zu wenig und das andre Mal zu viel Lohnarbeiter existieren.	ch25_clean.en-ch25_clean.de
The law of capitalist production which really lies at the basis of the supposed ‘natural law of population’ can be reduced simply to this: the relation between capital, accumulation and the rate of wages is nothing other than the relation between the unpaid labour which has been transformed into capital and the additional paid labour necessary to set in motion this additional capital.	Das Gesetz der kapitalistischen Produktion, das dem angeblichen "natürlichen Populationsgesetz" zugrunde liegt, kommt einfach auf dies her- aus: Das Verhältnis zwischen Kapital, Akkumulation und Lohnrate ist nichts als das Verhältnis zwischen der unbezahlten, in Kapital verwandelten Arbeit und der zur Bewegung des Zusatzkapitals erforderlichen zuschüssigen Arbeit.	ch25_clean.en-ch25_clean.de
It is therefore in no way a relation between two magnitudes which are mutually independent, i.e. between the magnitude of the capital and the numbers of the working population; it is rather, at bottom, only the relation between the unpaid and the paid labour of the same working population.	Es ist also keineswegs ein Verhältnis zweier voneinander unabhängigen Größen, einerseits der Größe des Kapitals, andrerseits der Zahl der Arbeiterbevölkerung, es ist vielmehr in letzter Instanz nur das Verhältnis zwischen der unbezahlten und der bezahlten Arbeit derselben Arbeiterbevölkerung.	ch25_clean.en-ch25_clean.de
If the quantity of unpaid labour supplied by the working class and accumulated by the capitalist class increases so rapidly that its transformation into capital requires an extraordinary addition of paid labour, then wages rise and, all other circumstances remaining equal, the unpaid labour diminishes in proportion.	Wächst die Menge der von der Arbeiterklasse gelieferten und von der Kapitalistenklasse akkumulierten, unbezahlten Arbeit rasch genug, um nur durch einen außergewöhnlichen Zuschuß bezahlter Arbeit sich in Kapital verwandeln zu können, so steigt der Lohn, und alles andre gleichgesetzt, nimmt die unbezahlte Arbeit im Verhältnis ab.	ch25_clean.en-ch25_clean.de
