Chapter 28: Bloody Legislation against the Expropriated since the End of the Fifteenth Century.	3. Blutgesetzgebung gegen die Expropriierten seit Ende des 15. Jahrhunderts.	ch28_clean.en-ch28_clean.de
If the vagabond gives a false birthplace, he is then to become the slave for life of that place, of its inhabitants, or its corporation, and to be branded with an S. All persons have the right to take away the children of the vagabonds and keep them as apprentices, the young men until they are 24, the girls until they are 20.	Gibt der Vagabund einen falschen Geburtsort an, so soll er zur Strafe der lebenslängliche Sklave dieses Orts, der Einwohner oder Korporation sein und mit S gebrandmarkt werden. Alle Personen haben das Recht, den Vagabunden ihre Kinder wegzunehmen und als Lehrlinge, Jungen bis zum 24. Jahr, Mädchen bis zum 20. Jahr, zu halten.	ch28_clean.en-ch28_clean.de
If they run away, they are to become, until they reach these ages, the slaves of their masters, who can put them in irons, whip them, etc. if they like.	Laufen sie weg, so sollen sie bis zu diesem Alter die Sklaven der Lehrmeister sein, die sie in Ketten legen, geißeln etc. können, wie sie wollen.	ch28_clean.en-ch28_clean.de
Every master may put an iron ring round the neck, arms or legs of his slave, by which to know him more easily and to be more certain of him.	Jeder Meister darf einen eisernen Ring um Hals, Arme oder Beine seines Sklaven legen, damit er ihn besser kennt und seiner sicherer ist.	ch28_clean.en-ch28_clean.de
The last part of this statute provides that certain poor people may be employed by a place or by persons who are willing to give them food and drink and to find them work.	Der letzte Teil dieses Status sieht vor, daß gewisse Arme von dem Ort oder den Individuen beschäftigt werden sollen, die ihnen zu essen und zu trinken geben und Arbeit für sie finden wollen.	ch28_clean.en-ch28_clean.de
Slaves of the parish of this kind were still to be found in England in the mid nineteenth century under the name of ‘roundsmen’.	Diese Sorte Pfarreisklaven hat sich bis tief ins 19. Jahrhundert in England erhalten unter dem Namen roundsmen (Umgeher).	ch28_clean.en-ch28_clean.de
Elizabeth, 1572:† Unlicensed beggars above 14 years of age are to be severely flogged and branded on the left ear unless someone will take them into service for two years; in case of a repetition of the offence, if they are over 18, they are to be executed, unless someone will take them into service for two years; but for the third offence they are to be executed without mercy as felons.	Elisabeth, 1572: Bettler ohne Lizenz und über 14 Jahre alt sollen hart gepeitscht und am linken Ohrlappen gebrandmarkt werden, falls sie keiner für zwei Jahre in Dienst nehmen will; im Wiederholungsfall, wenn über 18 Jahre alt, sollen sie - hingerichtet werden, falls sie niemand für zwei Jahre in Dienst nehmen will, bei dritter Rezidive aber ohne Gnade als Staatsverräter hingerichtet werden.	ch28_clean.en-ch28_clean.de
Similar statutes: 18 Elizabeth, c.	Ähnliche Statute: 18 Elisabeth c. 13 und 1597.	ch28_clean.en-ch28_clean.de
13, and another of 1597. James I: Anyone wandering about and begging is declared a rogue and a vagabond.	(221a) Jakob 1.: Eine herumwandernde und bettelnde Person wird für einen Landstreicher und Vagabunden erklärt.	ch28_clean.en-ch28_clean.de
Justices of the peace in Petty Sessions are authorized to have them publicly whipped and to imprison them for six months for the first offence, and two years for the second.	Die Friedensrichter in den Petty Sessions sind bevollmächtigt, sie öffentlich auspeitschen zu lassen und bei erster Ertappung 6 Monate, bei zweiter 2 Jahre ins Gefängnis zu sper- ren.	ch28_clean.en-ch28_clean.de
While in prison they are to be whipped as much and as often as the justices of the peace think fit… Incorrigible and dangerous rogues are to be branded with an R on the left shoulder and set to hard labour, and if they are caught begging again, to be executed without mercy.	Während des Gefängnisses soll sie so oft und soviel gepeitscht werden, als die Friedensrichter für gut halten ... Die unverbesserlichen und gefährlichen Landstreicher sollen auf der linken Schulter mit R gebrandmarkt und an die Zwangsarbeit gesetzt, und wenn man sie wieder auf dem Bettel ertappt, ohne Gnade hingerichtet werden.	ch28_clean.en-ch28_clean.de
These statutes were legally binding until the beginning of the eighteenth century; they were only repealed by 12 Anne, c.	Diese Anordnungen, gesetzlich bis in die erste Zeit des 18. Jahrhunderts, wurden erst aufgehoben durch 12 Anna c. 23. Ähnliche Gesetze in Frankreich, wo sich Mitte des 17. Jahrhunderts ein Vagabundenkönigreich (royaume des truands) zu Paris etabliert hatte.	ch28_clean.en-ch28_clean.de
23. There were similar laws in France, where by the middle of the seventeenth century a kingdom of vagabonds (royaume des truands) had been established in Paris.	Noch in der ersten Zeit Ludwigs XVI.	ch28_clean.en-ch28_clean.de
Even at the beginning of the reign of Louis XVI, the Ordinance of 13 July 1777 provided that every man in good health from 16 to 60 years of age, if without means of subsistence and not practising a trade, should be sent to the galleys.	(Ordonnanz vom 13. Juli 1777) sollte jeder gesund gebaute Mensch vom 16. bis 60. Jahr, wenn ohne Existenzmittel und Ausübung einer Profession, auf die Galeeren geschickt werden.	ch28_clean.en-ch28_clean.de
The Statute of Charles V for the Netherlands (October 1537), the first Edict of the States and Towns of Holland ( March 1614) and the Plakaat of the United Provinces ( June 1649) are further examples of the same kind. Thus were the agricultural folk first forcibly expropriated from the soil, driven from their homes, turned into vagabonds, and then whipped, branded and tortured by grotesquely terroristic laws into accepting the discipline necessary for the system of wage-labour.	Ähnlich das Statut Karls V. für die Niederlande vom Oktober 1537, das erste Edikt der Staaten und Städte von Holland vom 19. März 1614, das Plakat der Vereinigten Provinzen vom 25. Juni 1649 usw. So wurde das von Grund und Boden gewaltsam expropriierte, verjagte und zum Vagabunden gemachte Landvolk durch grotesk-terroristische Gesetze in eine dem System der Lohnarbeit notwendige Disziplin hineingepeitscht, -gebrandmarkt, -gefoltert.	ch28_clean.en-ch28_clean.de
It is not enough that the conditions of labour are concentrated at one pole of society in the shape of capital, while at the other pole are grouped masses of men who have nothing to sell but their labour-power.	Es ist nicht genug, daß die Arbeitsbedingungen auf den einen Pol als Kapital treten und auf den andren Pol Menschen, welche nichts zu verkaufen haben als ihre Arbeitskraft.	ch28_clean.en-ch28_clean.de
Nor is it enough that they are compelled to sell themselves voluntarily.	Es genügt auch nicht, sie zu zwingen, sich freiwillig zu verkaufen.	ch28_clean.en-ch28_clean.de
The advance of capitalist production develops a working class which by education, tradition and habit looks upon the requirements of that mode of production as self-evident natural laws.	Im Fortgang der kapitalistischen Produktion entwickelt sich eine Arbeiterklasse, die aus Erziehung, Tradition, Gewohnheit die Anforderungen jener Produktionsweise als selbstverständliche Naturgesetze anerkennt.	ch28_clean.en-ch28_clean.de
The organization of the capitalist process of production, once it is fully developed, breaks down all resistance. The constant generation of a relative surplus population keeps the law of the supply and demand of labour, and therefore wages, within narrow limits which correspond to capital’s valorization requirements. The silent compulsion of economic relations sets the seal on the domination of the capitalist over the worker.	Die Organisation des ausgebildeten kapitalistischen Produktionsprozesses bricht jeden Widerstand, die beständige Erzeugung einer relativen Übervölkerung hält das Gesetz der Zufuhr von und Nachfrage nach Arbeit und daher den Arbeitslohn in einem den Verwertungsbedürfnissen des Kapitals entsprechenden Gleise, der stumme Zwang der ökonomischen Verhältnisse besiegelt die Herrschaft des Kapitalisten über den Arbeiter.	ch28_clean.en-ch28_clean.de
Direct extra-economic force is still of course used, but only in exceptional cases.	Außerökonomische, unmittelbare Gewalt wird zwar immer noch angewandt, aber nur ausnahmsweise.	ch28_clean.en-ch28_clean.de
In the ordinary run of things, the worker can be left to the ‘natural laws of production’, i.e. it is possible to rely on his dependence on capital, which springs from the conditions of production themselves, and is guaranteed in perpetuity by them.	Für den gewöhnlichen Gang der Dinge kann der Arbeiter den "Naturgesetzen der Produktion" überlassen bleiben, d.h. seiner aus den Produktionsbedingungen selbst entspringenden, durch sie garantierten und verewigten Abhängigkeit vom Kapital.	ch28_clean.en-ch28_clean.de
It is otherwise during the historical genesis of capitalist production.	Anders während der historischen Genesis der kapitalistischen Produktion.	ch28_clean.en-ch28_clean.de
The rising bourgeoisie needs the power of the state, and uses it to ‘regulate’ wages, i.e. to force them into the limits suitable for making a profit, to lengthen the working day, and to keep the worker himself at his normal level of dependence.	Die aufkommende Bourgeoisie braucht und verwendet die Staatsgewalt, um den Arbeitslohn zu "regulieren", d.h. innerhalb der Plusmacherei zusagender Schranken zu zwängen, um den Arbeitstag zu verlängern und den Arbeiter selbst in normalem Abhängigkeitsgrad zu erhalten.	ch28_clean.en-ch28_clean.de
This is an essential aspect of so-called primitive accumulation.	Es ist dies ein wesentliches Moment der sog. ursprünglichen Akkumulation.	ch28_clean.en-ch28_clean.de
The class of wage-labourers, which arose in the latter half of the fourteenth century, formed then and in the following century only a very small part of the population, well protected in its position by the independent peasant proprietors in the countryside and by the organization of guilds in the towns.	Die Klasse der Lohnarbeiter, die in der letzten Hälfte des 14. Jahrhunderts entstand, bildete damals und im folgenden Jahrhundert nur einen sehr geringen Volksbestandteil, der in seiner Stellung stark beschützt war durch die selbständige Bauernwirtschaft auf dem Land und die Zunftorganisation der Stadt.	ch28_clean.en-ch28_clean.de
Masters and artisans were not separated by any great social distance either on the land or in the towns.	In Land und Stadt standen sich Meister und Arbeiter sozial nahe.	ch28_clean.en-ch28_clean.de
The subordination of labour to capital was only formal, i.e. the mode of production itself had as yet no specifically capitalist character.	Die Unterordnung der Arbeit unter das Kapital war nur formell, d.h. die Produktionsweise selbst besaß noch keinen spezifisch kapitalistischen Charakter.	ch28_clean.en-ch28_clean.de
The variable element in capital preponderated greatly over the constant element.	Das variable Element des Kapitals wog sehr vor über sein konstantes.	ch28_clean.en-ch28_clean.de
The demand for wage-labour therefore grew rapidly with every accumulation of capital, while the supply only followed slowly behind.	Die Nachfrage nach Lohnarbeit wuchs daher rasch mit jeder Akkumulation des Kapitals, während die Zufuhr von Lohnarbeit nur langsam nachfolgte.	ch28_clean.en-ch28_clean.de
A large part of the national product which was later transformed into a fund for the accumulation of capital still entered at that time into the consumption-fund of the workers.	Ein großer Teil des nationalen Produkts, später in Akkumulationsfonds des Kapitals verwandelt, ging damals noch ein in den Konsumtionsfonds des Arbeiters.	ch28_clean.en-ch28_clean.de
Legislation on wage-labour, which aimed from the first at the exploitation of the worker and, as it progressed, remained equally hostile to him, begins in England with the Statute of Labourers issued by Edward III in 1349.	Die Gesetzgebung über die Lohnarbeit, von Haus aus auf Exploitation des Arbeiters gemünzt und ihm in ihrem Fortgang stets gleich feindlich , wird in England eröffnet durch das Statute of Labourers <Arbeiterstatut> Edwards III., 1349.	ch28_clean.en-ch28_clean.de
The Ordinance of 1350 in France, issued in the name of King John, corresponds to it.	Ihm entspricht in Frankreich die Ordonnanz von 1350, erlassen im Namen des Königs Jean.	ch28_clean.en-ch28_clean.de
The English and French laws run parallel and are identical in content.	Die englische und französische Gesetzgebung laufen parallel und sind dem Inhalt nach identisch.	ch28_clean.en-ch28_clean.de
Where these labour-statutes aim at a compulsory extension of the working day, I shall not return to them, as we discussed this point earlier (in Chapter 10, Section 5).	Soweit die Arbeiterstatuten Verlängerung des Arbeitstags zu erzwingen suchen, komme ich nicht auf sie zurück, da dieser Punkt früher (8. Kapitel. 5) erörtert.	ch28_clean.en-ch28_clean.de
The Statute of Labourers was passed at the urgent insistence of the House of Commons.	Das Statute of Labourers wurde erlassen auf dringende Klage des Hauses der Gemeinen.	ch28_clean.en-ch28_clean.de
A Tory says naively: ‘Formerly the poor demanded such high wages as to threaten industry and wealth.	"Früher", sagt naiv ein Tory, "verlangten die Armen so hohen Arbeitslohn, daß sie Industrie und Reichtum bedrohten.	ch28_clean.en-ch28_clean.de
Next, their wages are so low as to threaten industry and wealth equally and perhaps more, but in another way.’	Jetzt ist ihr Lohn so niedrig, daß er ebenfalls Industrie und Reichtum bedroht, aber anders und vielleicht gefährlicher als damals."	ch28_clean.en-ch28_clean.de
A tariff of wages was fixed by law for town and country, for piece-work and day work.	Ein gesetzlicher Lohntarif ward festgesetzt für Stadt und Land, für Stückwerk und Tagwerk.	ch28_clean.en-ch28_clean.de
	Die ländlichen Arbeiter sollen sich aufs Jahr, die städtischen "auf offnem Markt" verdingen.	ch28_clean.en-ch28_clean.de
The agricultural labourers were to hire themselves out by the year, the urban workers were to do so ‘on the open market’.	Es wird bei Gefängnisstrafe untersagt, höheren als den statutarischen Lohn zu zahlen, aber der Empfang höheren Lohns wird stärker bestraft als seine Zahlung.	ch28_clean.en-ch28_clean.de
It was forbidden, on pain of imprisonment, to pay higher wages than those fixed by the statute, but the taking of higher wages was more severely punished than the giving of them (similarly, in Sections 18 and 19 of Elizabeth’s Statute of Apprentices, ten days’ imprisonment is decreed for the person who pays the higher wages, but twenty-one days for the person who receives those wages).	So wird auch noch in Sect. 18 und 19 des Lehrlingsstatuts von Elisabeth zehntägige Gefängnisstrafe über den verhängt, der höheren Lohn zahlt, dagegen einundzwanzigtägige Gefängnisstrafe über den, der ihn nimmt.	ch28_clean.en-ch28_clean.de
A statute of 1360 increased the penalties and authorized the masters to extort labour at the legal rate of wages by using corporal punishment.	Ein Statut von 1360 verschärfte die Strafen und ermächtigte den Meister sogar, durch körperlichen Zwang Arbeit zum gesetzlichen Lohntarif zu erpressen.	ch28_clean.en-ch28_clean.de
All combinations, contracts, oaths, etc. by which masons and carpenters reciprocally bound themselves were declared null and void.	Alle Kombinationen, Verträge, Eide usw., wodurch sich Maurer und Zimmerleute wechselseitig banden, werden für null und nichtig erklärt.	ch28_clean.en-ch28_clean.de
Workers’ combinations are treated as heinous crimes from the fourteenth century until 1825, the year of the repeal of the laws against combinations.	Arbeiterkoalition wird als schweres Verbrechen behandelt vom 14. Jahrhundert bis 1825, dem Jahr der Abschaffung der Antikoalitionsgesetze.	ch28_clean.en-ch28_clean.de
The spirit of the Statute of Labourers of 1349 and its offshoots shines out clearly in the fact that while the state certainly dictates a maximum of wages, it on no account fixes a minimum.	Der Geist des Arbeiterstatuts von 1349 und seiner Nachgeburten leuchtet hell daraus hervor, daß zwar ein Maximum des Arbeitslohns von Staats wegen diktiert wird, aber beileibe kein Minimum.	ch28_clean.en-ch28_clean.de
In the sixteenth century, as we know, the condition of the workers became much worse.	Im 16. Jahrhundert hatte sich, wie man weiß, die Lage der Arbeiter sehr verschlechtert.	ch28_clean.en-ch28_clean.de
The money wage rose, but not in proportion to the depreciation of money and the corresponding rise in the prices of commodities.	Der Geldlohn stieg, aber nicht im Verhältnis zur Depreziation des Geldes und dem entsprechenden Steigen der Warenpreise.	ch28_clean.en-ch28_clean.de
Real wages therefore fell.	Der Lohn fiel also in der Tat.	ch28_clean.en-ch28_clean.de
Nevertheless, the laws for keeping them down remained in force, together with the ear-clipping and branding of those ‘whom no one was willing to take into service’.	Dennoch dauerten die Gesetze zum Behuf seiner Herabdrückung fort zugleich mit dem Ohrenabschneiden und Brandmarken derjenigen, "die niemand in Dienst nehmen wollte".	ch28_clean.en-ch28_clean.de
By 5 Elizabeth, c. (the Statute of Apprentices), the justices of the peace were given the power to fix certain wages and to modify them according to the time of the year and the current prices of commodities.	Durch das Lehrlingsstatut 5 Elisabeth c. 3 wurden die Friedensrichter ermächtigt, gewisse Löhne festzusetzen und nach Jahreszeiten und Warenpreisen zu modifizieren.	ch28_clean.en-ch28_clean.de
James I extended these labour regulations to weavers, spinners and indeed to all other possible categories of worker.	Jakob I. dehnte diese Arbeitsregulation auch auf Weber, Spinner und alle möglichen Arbeiterkategorien aus , Georg II. die Gesetze gegen Arbeiterkoalition auf alle Manufakturen.	ch28_clean.en-ch28_clean.de
George II extended the laws against combinations of workers to all manufactures. * In the period of manufacture properly so called, the capitalist mode of production had become sufficiently strong to render legal regulation of wages as impracticable as it was unnecessary; but the ruling classes were unwilling to be without the weapons of the old arsenal in case some emergency should arise.	In der eigentlichen Manufakturperiode war die kapitalistische Produktionsweise hinreichend erstarkt, um gesetzliche Regulation des Arbeitslohns ebenso unausführbar als überflüssig zu machen, aber man wollte für den Notfall die Waffen des alten Arsenals nicht entbehren.	ch28_clean.en-ch28_clean.de
Hence, even in the eighteenth century, 7 George I, c. 13, forbade a daily wage higher than 2s.	Noch 8 George II. verbot für Schneidergesellen in London und Umgegend mehr als 2 sh.	ch28_clean.en-ch28_clean.de
71/2d. for journeymen tailors in and around London, except in cases of general mourning; 13 George III, c. 68, handed over to the justices of the peace the task of regulating the wages of silk-weavers; in 1796 it required two judgements of the higher courts to decide whether the orders made by justices of the peace as to wages also held good for non-agricultural workers; and in 1799 Parliament confirmed that the wages of mining workers in Scotland should continue to be regulated by a statute of Elizabeth and two Scottish Acts of 1661 and 1671.	71/2 d. Taglohn, außer in Fällen allgemeiner Trauer; noch 13 George III. c. 68 überwies die Reglung des Arbeitslohns der Seidenwirker den Friedensrichtern; noch 1796 bedurfte es zweier Urteile der höheren Gerichtshöfe zur Entscheidung, ob friedensrichterliche Befehle über Arbeitslohn auch für Nichtagrikulturarbeiter gültig seien; noch 1799 bestätigte ein Parlamentsakt, daß der Lohn der Grubenarbeiter von Schottland durch ein Statut der Elisabeth und zwei schottische Akte von 1661 und 1671 reguliert sei.	ch28_clean.en-ch28_clean.de
How completely the situation had been transformed in the meantime is proved by a hitherto unheard-of occurrence in the House of Commons.	Wie sehr sich unterdes die Verhältnisse umgewälzt, bewies ein im englischen Unterhaus unerhörter Vorfall.	ch28_clean.en-ch28_clean.de
There, where for more than 400 years laws had been made for the maximum beyond which wages absolutely must not rise, Whitbread in 1796 proposed a legal minimum wage for agricultural labourers.	Hier, wo man seit mehr als 400 Jahren Gesetze fabriziert hatte über das Maximum, welches der Arbeitslohn platterdings nicht übersteigen dürfe, schlug Whitbread 1796 für Ackerbautaglöhner ein gesetzliches Lohnminimum vor.	ch28_clean.en-ch28_clean.de
Pitt opposed this, but conceded that the ‘condition of the poor was cruel’.	Pitt widersetzte sich, gab aber zu, die "Lage der Armen sei grausam (cruel)".	ch28_clean.en-ch28_clean.de
Finally, in 1813, the laws for the regulation of wages were repealed.	Endlich, 1813, wurden die Gesetze über Lohnregulation abgeschafft.	ch28_clean.en-ch28_clean.de
They became an absurd anomaly as soon as the capitalist began to regulate his factory by his own private legislation, and was able to make up the wage of the agricultural labourer to the indispensable minimum by means of the poor-rate.	Sie waren eine lächerliche Anomalie, seitdem der Kapitalist die Fabrik durch seine Privatgesetzgebung regulierte und durch die Armensteuer den Lohn des Landarbeiters zum unentbehrlichen Minimum ergänzen ließ.	ch28_clean.en-ch28_clean.de
The provisions of the statutes of labourers as to. contracts between master and workman, regarding giving notice and the like, which allow only a civil action against the master who breaks his contract, but permit, on the contrary, a criminal action against the worker who breaks his contract, are still in full force at this moment. * The barbarous laws against combinations of workers collapsed in 1825 in the face of the threatening attitude of the proletariat.	Die Bestimmungen der Arbeiterstatute <3. und 4. Auflage: Arbeitsstatute>, über Kontrakte zwischen Meister und Lohnarbeiter, über Terminkündigungen u. dergl., welche nur eine Zivilklage gegen die kontraktbrüchigen Meister, aber Kriminalklage gegen den kontraktbrüchigen Arbeiter erlauben, stehn bis zur Stunde in voller Blüte. Die grausamen Gesetze gegen die Koalitionen fielen 1825 vor der drohenden Haltung des Proletariats.	ch28_clean.en-ch28_clean.de
Despite this, they disappeared only in part.	Trotzdem fielen sie nur zum Teil.	ch28_clean.en-ch28_clean.de
Certain pretty survivals of the old statutes did not vanish until 1859.	Einige schöne Überbleibsel der alten Statute verschwanden erst 1859.	ch28_clean.en-ch28_clean.de
	Endlich be- anspruchte der Parlamentsakt vom 29. Juni 1871 die letzten Spuren dieser Klassengesetzgebung zu beseitigen durch gesetzliche Anerkennung der Trades' Unions.	ch28_clean.en-ch28_clean.de
Finally, the Act of 29 June 1871 purported to remove the last traces of this class legislation by giving legal recognition to trade unions.† But another Act, of the same date (‘An act to amend the criminal law relating to violence, threats and molestation’),‡ in fact reestablished the previous situation in a new form.	Aber ein Parlamentsakt vom selben Datum (An act to amend the criminal law relating to violence, threats and molestation <Ein Gesetz zur Ergänzung der Kriminalgesetzgebung über Gewaltakte, Bedrohung und Belästigung>) stellte tatsächlich den vorigen Stand in neuer Form wieder her.	ch28_clean.en-ch28_clean.de
This Parliamentary conjuring-trick withdrew the means the workers could use in a strike or lock-out from the common law and placed them under exceptional penal legislation, the interpretation of which fell to the manufacturers themselves in their capacity of justices of the peace.	Durch diese parlamentarische Eskamotage wurden die Mittel, deren sich die Arbeiter bedienen können bei einem Strike oder Lock-out (Strike der verbündeten Fabrikanten durch gleichzeitigen Schluß ihrer Fabriken), dem gemeinen Recht entzogen und unter eine Ausnahms-Strafgesetzgebung gestellt, deren Interpretation den Fabrikanten selbst, in ihrer Eigenschaft als Friedensrichter, anheimfiel.	ch28_clean.en-ch28_clean.de
Two years earlier, the same House of Commons, and the same Mr Gladstone, in the customary honourable fashion, had brought in a bill for the removal of all exceptional penal legislation against the working class.	Zwei Jahre vorher hatten dasselbe Unterhaus und derselbe Herr Gladstone in bekannter ehrlicher Weise einen Gesetzentwurf eingebracht zur Abschaffung aller Ausnahms-Strafgesetze gegen die Arbeiterklasse.	ch28_clean.en-ch28_clean.de
But it was never allowed to go beyond the second reading, and the matter was drawn out in this way until at length the ‘great Liberal party’, by an alliance with the Tories, found the courage to turn decisively against the very proletariat that had carried it into power.	Aber weiter als zur zweiten Lesung ließ man es nie kommen, und so schleppte man die Sache in die Länge, bis endlich die "große liberale Partei" durch eine Allianz mit den Tories den Mut gewann, sich entschieden gegen dasselbe Proletariat zu wenden, das sie zur Herrschaft gebracht hatte.	ch28_clean.en-ch28_clean.de
Not content with this betrayal, the ‘great Liberal party’ allowed the English judges, ever ready to wag their tails for the ruling classes, to exhume the earlier laws against ‘conspiracy’ and apply them to combinations of workers.	Nicht zufrieden mit diesem Verrat, erlaubte die "große liberale Partei" den im Dienst der herrschenden Klassen allzeit schweifwedelnden englischen Richtern, die verjährten Gesetze über "Konspirationen" wieder auszugraben und sie auf Arbeiterkoalitionen anzuwenden.	ch28_clean.en-ch28_clean.de
