	SIEBZEHNTES KAPITEL Verwandlung von Wert resp.	ch19_clean.en-ch19_clean.de
Hence he never comes to see that if such a thing as the value of labour really existed, and he really paid this value, no capital would exist, and his money would never be transformed into capital.	Er kommt daher nicht zur Einsicht, daß, wenn so ein Ding wie Wert der Arbeit wirklich existierte, und er diesen Wert wirklich zahlte, kein Kapital existieren, sein Geld sich nicht in Kapital verwandeln würde.	ch19_clean.en-ch19_clean.de
Moreover, the actual movement of wages presents phenomena which seem to prove that it is not the value of labour-power which is paid, but the value of its function, of labour itself.	Zudem zeigt die wirkliche Bewegung des Arbeitslohns Phänomene, die zu beweisen scheinen, daß nicht der Wert der Arbeitskraft bezahlt wird, sondern der Wert ihrer Funktion, der Arbeit selbst.	ch19_clean.en-ch19_clean.de
We may reduce these phenomena to two great classes.	Diese Phänomene können wir auf zwei große Klassen zurückführen.	ch19_clean.en-ch19_clean.de
(1) Changes in wages owing to changes in the length of the working day.	Erstens: Wechsel des Arbeitslohns mit wechselnder Länge des Arbeitstags.	ch19_clean.en-ch19_clean.de
One might as well conclude that it is not the value of a machine which is paid, but that of its operation, because it costs more to hire a machine for a week than for a day.	Man könnte ebensowohl schließen, daß nicht der Wert der Maschine, sondern der ihrer Operation bezahlt wird, weil es mehr kostet, eine Maschine für eine Woche als für einen Tag zu dingen.	ch19_clean.en-ch19_clean.de
(2) Individual differences between the wages of different workers who perform the same function.	Zweitens: Der individuelle Unterschied in den Arbeitslöhnen verschiedner Arbeiter, welche dieselbe Funktion verrichten.	ch19_clean.en-ch19_clean.de
These individual differences also exist in the system of slavery, but there they do not give rise to any illusions, for labour-power is in that case itself sold frankly and openly, without any embellishment.	Diesen individuellen Unterschied findet man, aber ohne Anlaß zu Illusionen, auch im System der Sklaverei, wo frank und frei, ohne Schnörkel, die Arbeitskraft selbst verkauft wird.	ch19_clean.en-ch19_clean.de
Only, in the slave system, the advantage of a labour-power above the average, and the disadvantage of a labour-power below the average, affects the slave-owner; whereas in the system of wage-labour it affects the worker himself, because his labour-power is, in the one case, sold by himself, in the other, by a third person.	Nur fällt der Vorteil einer Arbeitskraft die über dem Durchschnitt, oder der Nachteil einer Arbeitskraft, die unter dem Durchschnitt steht, im Sklavensystem dem Sklaveneigner zu, im System der Lohnarbeit dem Arbeiter selbst, weil seine Arbeitskraft in dem einen Fall von ihm selbst, in dem andern von einer dritten Person verkauft wird.	ch19_clean.en-ch19_clean.de
For the rest, what is true of all forms of appearance and their hidden background is also true of the form of appearance ‘value and price of labour’, or ‘wages’, as contrasted with the essential relation manifested in it, namely the value and price of labour-power.	Übrigens gilt von der Erscheinungsform, "Wert und Preis der Arbeit" oder "Arbeitslohn", im Unterschied zum wesentlichen Verhältnis, welches erscheint, dem Wert und Preis der Arbeitskraft, dasselbe, was von allen Erscheinungsformen und ihrem verborgnen Hintergrund.	ch19_clean.en-ch19_clean.de
The forms of appearance are reproduced directly and spontaneously, as current and usual modes of thought; the essential relation must first be discovered by science.	Die ersteren reproduzieren sich unmittelbar spontan, als gang und gäbe Denkformen, der andre muß durch die Wissenschaft erst entdeckt werden.	ch19_clean.en-ch19_clean.de
Classical political economy stumbles approximately onto the true state of affairs, but without consciously formulating it.	Die klassische politische Ökonomie stößt annähernd auf den wahren Sachverhalt, ohne ihn jedoch bewußt zu formulieren.	ch19_clean.en-ch19_clean.de
