Avis juridique important	Fontos jogi nyilatkozat	31996L0034_en-hu
(5) Whereas the Commission, in accordance with Article 3 (2) of the Agreement on social policy, consulted management and labour on the possible direction of Community action with regard to reconciling working and family life;	(5) mivel a Bizottság a szociálpolitikáról szóló megállapodás 3. cikke (2) bekezdésének megfelelően egyeztetett a szociális partnerekkel a hivatás és a családi élet összeegyeztetésére vonatkozó közösségi fellépés lehetséges irányáról;	31996L0034_en-hu
(6) Whereas the Commission, considering after such consultation that Community action was desirable, once again consulted management and labour on the substance of the envisaged proposal in accordance with Article 3 (3) of the said Agreement;	(6) mivel a Bizottság a tárgyalást követően közösségi szintű intézkedést tartott célszerűnek, és ezért az említett megállapodás 3. cikkének (3) bekezdésével összhangban a javaslat tartalmát illetően újabb tárgyalást folytatott a szociális partnerekkel;	31996L0034_en-hu
(7) Whereas the general cross-industry organizations (Unice, CEEP and the ETUC) informed the Commission in their joint letter of 5 July 1995 of their desire to initiate the procedure provided for by Article 4 of the said Agreement;	(7) mivel az általános iparági szervezetek (az UNICE, a CEEP és az ESZSZ) 1995. július 5-i közös levelükben arról tájékoztatták a Bizottságot, hogy meg kívánják indítani az említett megállapodás 4. cikkében meghatározott eljárást;	31996L0034_en-hu
(8) Whereas the said cross-industry organizations concluded, on 14 December 1995, a framework agreement on parental leave; whereas they have forwarded to the Commission their joint request to implement this framework agreement by a Council Decision on a proposal from the Commission in accordance with Article 4 (2) of the said Agreement;	(8) mivel az említett iparági szervezetek 1995. december 14-én keretmegállapodást kötöttek a szülői szabadságról; mivel eljuttatták a Bizottsághoz közös kérésüket, hogy ezt a keretmegállapodást a Bizottság javaslatára tanácsi határozattal hajtsák végre a szociálpolitikáról szóló megállapodás 4. cikkének (2) bekezdésével összhangban;	31996L0034_en-hu
(9) Whereas the Council, in its Resolution of 6 December 1994 on certain aspects for a European Union social policy; a contribution to economic and social convergence in the Union (3), asked the two sides of industry to make use of the possibilities for concluding agreements, since they are as a rule closer to social reality and to social problems; whereas in Madrid, the members of the European Council from those States which have signed the Agreement on social policy welcomed the conclusion of this framework agreement;	(9) mivel a Tanács az Európai Unió szociálpolitikájának kilátásairól szóló, 1994. december 6-i állásfoglalásában: "Hozzájárulás a gazdasági és szociális konvergenciához az Unióban [3]" arra kérte a szociális partnereket, hogy használják ki a megállapodáskötési lehetőségeket, mivel ők helyzetükből adódóan közelebb állnak a szociális valósághoz és a szociális problémákhoz; mivel Madridban az Európai Tanács azon tagállambeli tagjai, amely tagállamok aláírták a szociálpolitikáról szóló megállapodást, üdvözölték ennek a keretmegállapodásnak a megkötését;	31996L0034_en-hu
(10) Whereas the signatory parties wanted to conclude a framework agreement setting out minimum requirements on parental leave and time off from work on grounds of force majeure and referring back to the Member States and/or management and labour for the definition of the conditions under which parental leave would be implemented, in order to take account of the situation, including the situation with regard to family policy, existing in each Member State, particularly as regards the conditions for granting parental leave and exercise of the right to parental leave;	(10) mivel az aláíró felek olyan keretmegállapodást kívántak kötni, amely a szülői szabadságra és a munkából vis maior miatti távolmaradásra vonatkozó minimumkövetelményeket határoz meg, és a tagállamokban fennálló helyzetre, így az egyes tagállamok családpolitikai helyzetére, különösen a szülői szabadság biztosításának és a szülői szabadsághoz való jog érvényesítésének körülményeire való tekintettel a tagállamokra és/vagy a szociális partnerekre bízták azoknak a feltételeknek a meghatározását, amelyek mellett a szülői szabadság bevezethető;	31996L0034_en-hu
(11) Whereas the proper instrument for implementing this framework agreement is a Directive within the meaning of Article 189 of the Treaty; whereas it is therefore binding on the Member States as to the result to be achieved, but leaves them the choice of form and methods;	(11) mivel a Szerződés 189. cikke értelmében e keretmegállapodás végrehajtásának eszköze az irányelv; mivel az irányelv kötelezi a tagállamokat az elérendő eredmények megvalósítására, ugyanakkor a nemzeti hatóságokra bízza a végrehajtás formájának és módszereinek megválasztását;	31996L0034_en-hu
(12) Whereas, in keeping with the principle of subsidiarity and the principle of proportionality as set out in Article 3b of the Treaty, the objectives of this Directive cannot be sufficiently achieved by the Member States and can therefore be better achieved by the Community; whereas this Directive is confined to the minimum required to achieve these objectives and does not go beyond what is necessary to achieve that purpose;	(12) mivel a Szerződés 3b. cikkében meghatározott szubszidiaritás és arányosság elvével összhangban ezen irányelv célkitűzései közösségi szinten hatékonyabban megvalósíthatók, mint a tagállamok által; mivel ez az irányelv a célok eléréséhez szükséges minimumra korlátozódik, és nem lépi túl azt a mértéket, amely a célok eléréséhez feltétlenül szükséges;	31996L0034_en-hu
(13) Whereas the Commission has drafted its proposal for a Directive, taking into account the representative status of the signatory parties, their mandate and the legality of the clauses of the framework agreement and compliance with the relevant provisions concerning small and medium-sized undertakings;	(13) mivel a Bizottság kidolgozta az ezen irányelvre vonatkozó javaslatát, figyelembe véve az aláíró felek képviseleti jogát, mandátumukat és a keretmegállapodás cikkeinek jogszerűségét, valamint a kis- és középvállalkozásokra vonatkozó rendelkezésekkel való összhangját;	31996L0034_en-hu
(14) Whereas the Commission, in accordance with its Communication of 14 December 1993 concerning the implementation of the Protocol on social policy, informed the European Parliament by sending it the text of the framework agreement, accompanied by its proposal for a Directive and the explanatory memorandum;	(14) mivel a Bizottság az 1993. december 14-i, a szociálpolitikáról szóló jegyzőkönyv végrehajtásával kapcsolatos közleményével összhangban a keretmegállapodás szövegének megküldésével tájékoztatta az Európai Parlamentet, amelyhez csatolta az irányelvre vonatkozó javaslatát és a magyarázó feljegyzést;	31996L0034_en-hu
(15) Whereas the Commission also informed the Economic and Social Committee by sending it the text of the framework agreement, accompanied by its proposal for a Directive and the explanatory memorandum;	(15) mivel a Bizottság tájékoztatta a Gazdasági és Szociális Bizottságot is a keretmegállapodás szövegének megküldésével, amelyhez csatolta az irányelvre vonatkozó javaslatát és a magyarázó feljegyzést;	31996L0034_en-hu
(16) Whereas clause 4 point 2 of the framework agreement states that the implementation of the provisions of this agreement does not constitute valid grounds for reducing the general level of protection afforded to workers in the field of this agreement.	(16) mivel a keretegyezmény 4. cikkének (2) pontja megállapítja, hogy e megállapodás végrehajtása semmilyen körülmények között nem nyújthat elégséges alapot a munkavállalók általános védelmi szintjének csökkentésére az ezen megállapodás hatálya alá tartozó területeken.	31996L0034_en-hu
This does not prejudice the right of Member States and/or management and labour to develop different legislative, regulatory or contractual provisions, in the light of changing circumstances (including the introduction of non-transferability), as long as the minimum requirements provided for in the present agreement are complied with;	Ez nem érinti a tagállamok és/vagy a szociális partnerek azon jogát, hogy a bekövetkező változások (beleértve az át nem ruházhatóságot) figyelembevételével eltérő törvényi, rendeleti vagy szerződéses rendelkezéseket állapítsanak meg, feltéve hogy az ezen irányelvben megállapított minimumkövetelményeknek eleget tesznek;	31996L0034_en-hu
(17) Whereas the Community Charter of the Fundamental Social Rights of Workers recognizes the importance of the fight against all forms of discrimination, especially based on sex, colour, race, opinions and creeds;	(17) mivel a munkavállalók alapvető szociális jogairól szóló közösségi charta elismeri a küzdelem fontosságát a megkülönböztetés minden formája, különösen a nemen, a bőrszínen, a faji származáson, a véleményen és világnézeten alapuló megkülönböztetés ellen;	31996L0034_en-hu
(18) Whereas Article F (2) of the Treaty on European Union provides that 'the Union shall respect fundamental rights, as guaranteed by the European Convention for the Protection of Human Rights and Fundamental Freedoms signed in Rome on 4 November 1950 and as they result from the constitutional traditions common to the Member States, as general principles of Community law`;	(18) mivel az Európai Unióról szóló szerződés F. cikkének (2) bekezdése úgy rendelkezik, hogy "az Unió a közösségi jog általános elveiként tartja tiszteletben az alapvető jogokat, ahogyan azokat az emberi jogok és alapvető szabadságok védelméről szóló, 1950. november 4-én Rómában aláírt európai egyezmény biztosítja, továbbá ahogyan azok a tagállamok közös alkotmányos hagyományaiból erednek";	31996L0034_en-hu
(19) Whereas the Member States can entrust management and labour, at their joint request, with the implementation of this Directive, as long as they take all the necessary steps to ensure that they can at all times guarantee the results imposed by this Directive;	(19) mivel a tagállamok átengedhetik a szociális partnereknek, azok közös kérése esetén, ezen irányelv végrehajtását, feltéve hogy a tagállamok megtesznek minden szükséges lépést annak biztosítására, hogy bármikor garantálni tudják az irányelv által elérni kívánt eredményeket;	31996L0034_en-hu
(20) Whereas the implementation of the framework agreement contributes to achieving the objectives under Article 1 of the Agreement on social policy,	(20) mivel a keretmegállapodás végrehajtása hozzájárul a szociálpolitikáról szóló megállapodás 1. cikkében megfogalmazott célkitűzések eléréséhez,	31996L0034_en-hu
HAS ADOPTED THIS DIRECTIVE:	ELFOGADTA EZT AZ IRÁNYELVET:	31996L0034_en-hu
Article 1	1. cikk	31996L0034_en-hu
Implementation of the framework agreement	A keretegyezmény végrehajtása	31996L0034_en-hu
The purpose of this Directive is to put into effect the annexed framework agreement on parental leave concluded on 14 December 1995 between the general cross-industry organizations (Unice, CEEP and the ETUC).	Ezen irányelv célja a mellékletben szereplő, szülői szabadságra vonatkozó keretmegállapodás végrehajtása, amely megállapodást 1995. december 14-én az általános iparági szervezetek (az UNICE, a CEEP és az ESZSZ) kötöttek.	31996L0034_en-hu
Article 2	2. cikk	31996L0034_en-hu
Final provisions	Záró rendelkezések	31996L0034_en-hu
1. The Member States shall bring into force the laws, regulations and administrative provisions necessary to comply with this Directive by 3 June 1998 at the latest or shall ensure by that date at the latest that management and labour have introduced the necessary measures by agreement, the Member States being required to take any necessary measure enabling them at any time to be in a position to guarantee the results imposed by this Directive.	(1) A tagállamok hatályba léptetik azokat a törvényi, rendeleti és közigazgatási rendelkezéseket, amelyek szükségesek ahhoz, hogy ennek az irányelvnek legkésőbb 1998. június 3-a előtt megfeleljenek, vagy biztosítják, hogy legkésőbb eddig az időpontig a szociális partnerek a szükséges rendelkezéseket megállapodás útján bevezessék, miközben a tagállamok megteszik az ezen irányelvben előírt eredmények folyamatos biztosításához szükséges lépéseket.	31996L0034_en-hu
They shall forthwith inform the Commission thereof.	Erről haladéktalanul tájékoztatják a Bizottságot.	31996L0034_en-hu
2. The Member States may have a maximum additional period of one year, if this is necessary to take account of special difficulties or implementation by a collective agreement.	(2) A tagállamoknak különös nehézség vagy az irányelv kollektív szerződés útján történő végrehajtása esetén további legfeljebb egy év áll a rendelkezésükre.	31996L0034_en-hu
They must forthwith inform the Commission of such circumstances.	Az ilyen körülményekről a tagállamok haladéktalanul tájékoztatják a Bizottságot.	31996L0034_en-hu
3. When Member States adopt the measures referred to in paragraph 1, they shall contain a reference to this Directive or be accompanied by such reference on the occasion of their official publication.	(3) Amikor a tagállamok elfogadják az (1) bekezdésben említett intézkedéseket, azokban hivatkozni kell erre az irányelvre, vagy azokhoz hivatalos kihirdetésük alkalmával ilyen hivatkozást kell fűzni.	31996L0034_en-hu
The methods of making such reference shall be laid down by Member States.	A hivatkozás módját a tagállamok határozzák meg.	31996L0034_en-hu
Article 3	3. cikk	31996L0034_en-hu
This Directive is addressed to the Member States.	Ennek az irányelvnek a tagállamok a címzettjei.	31996L0034_en-hu
Done at Luxembourg, 3 June 1996.	Kelt Luxembourgban, 1996. június 3-án.	31996L0034_en-hu
For the Council The President T. TREU	a Tanács részéről az elnök	31996L0034_en-hu
ANNEX	T. Treu	31996L0034_en-hu
	[1] HL C 316., 1984.11.27., 7. o.	31996L0034_en-hu
	[2] HL C 333., 1983.12.9., 6. o.	31996L0034_en-hu
FRAMEWORK AGREEMENT ON PARENTAL LEAVE	[3] HL C 368., 1994.12.23., 6. o.	31996L0034_en-hu
	-------------------------------------------------- MELLÉKLET	31996L0034_en-hu
	Keretmegállapodás A SzülŐi Szabadságról	31996L0034_en-hu
PREAMBLE	PREAMBULUM	31996L0034_en-hu
The enclosed framework agreement represents an undertaking by Unice, CEEP and the ETUC to set out minimum requirements on parental leave and time off from work on grounds of force majeure, as an important means of reconciling work and family life and promoting equal opportunities and treatment between men and women.	A mellékelt keretmegállapodásbanaz UNICE, a CEEP és az ESZSZ kötelezettséget vállalt arra, hogy közösen meghatározzák a szülőiszabadságra és a munkából vis maior miatti távolmaradásra vonatkozó minimumkövetelményeket, mely a hivatás és a családiélet összeegyeztetésének fontos eszköze, ezze lis támogatva a férfiak és a nők egyenlőlehetőségeinek és a velük való egyenlő bánásmódnak a biztosítását.	31996L0034_en-hu
ETUC, Unice and CEEP request the Commission to submit this framework agreement to the Council for a Council Decision making these minimum requirements binding in the Member States of the European Community, with the exception of the United Kingdom of Great Britain and Northern Ireland.	Az ESZSZ, az UNICE és a CEEP felkéri a Bizottságot, hogy terjessze ezt a keretmegállapodást a Tanács elé olyan határozat meghozatala céljából, amely ezeket a minimumkövetelményeket kötelezővé teszi az Európai Közösség tagállamai számára, Nagy-Britannia és Észak-Írország Egyesült Királysága kivételével.	31996L0034_en-hu
I. GENERAL CONSIDERATIONS	I. ÁLTALÁNOS SZEMPONTOK	31996L0034_en-hu
1. Having regard to the Agreement on social policy annexed to the Protocol on social policy, annexed to the Treaty establishing the European Community, and in particular Articles 3 (4) and 4 (2) thereof;	1. Tekintettel az Európai Közösséget létrehozó szerződés mellékletét képező, a szociálpolitikáról szóló jegyzőkönyv mellékletében szereplő, a szociálpolitikáról szóló megállapodásra, és különösen annak 3. cikke (4) bekezdéséreés 4. cikke (2) bekezdésére;	31996L0034_en-hu
2. Whereas Article 4 (2) of the Agreement on social policy provides that agreements concluded at Community level shall be implemented, at the joint request of the signatory parties, by a Council decision on a proposal from the Commission;	2. mivel a szociálpolitikáról szóló megállapodás 4.cikkének (2) bekezdése arról rendelkezik, hogy a közösségis zintenkötött megállapodásokat az aláíró felek közös kérésére, a Bizottság javaslatára a Tanács által hozott határozattal lehet végrehajtani;	31996L0034_en-hu
3. Whereas the Commission has announced its intention to propose a Community measure on the reconciliation of work and family life;	3. mivel a Bizottság kinyilvánította azt a szándékát, hogy közösségi intézkedésekre tegyen javaslatot a hivatás és a családi élet összehangolása érdekében;	31996L0034_en-hu
4. Whereas the Community Charter of Fundamental Social Rights stipulates at point 16 dealing with equal treatment that measures should be developed to enable men and women to reconcile their occupational and family obligations;	4. mivel a munkavállalók alapvető szociális jogairól szóló közösségi charta 16. pontja az egyenlő bánásmódrólolyan intézkedések kidolgozásá tírja elő, amelyek a férfiak és a nők számára lehetővé teszik a hivatásbeli és a családi kötelezettségeik összeegyeztetését;	31996L0034_en-hu
5. Whereas the Council Resolution of 6 December 1994 recognizes that an effective policy of equal opportunities presupposes an integrated overall strategy allowing for better organization of working hours and greater flexibility, and for an easier return to working life, and notes the important role of the two sides of industry in this area and in offering both men and women an opportunity to reconcile their work responsibilities with family obligations;	5. mivel a Tanács 1994. december 6-i állásfoglalása elismeri, hogy az egyenlő lehetőségek hatékony politikája a munkaidő jobb megszervezését, nagyobb rugalmasságot és a foglalkoztatásba való könnyebb visszatérést elősegítő integrált átfogó stratégiát feltételez, és kiemeli a szociális partnerek fontos szerepét ezen a téren, valamint azt, hogy a férfiak és a nők egyaránt lehetőséget kapjanak a hivatásból adódó feladataik és a családi kötelezettségeik összehangolására;	31996L0034_en-hu
6. Whereas measures to reconcile work and family life should encourage the introduction of new flexible ways of organizing work and time which are better suited to the changing needs of society and which should take the needs of both undertakings and workers into account;	6. mivel a hivatás és a családi élet összehangolását célzó intézkedéseknek ösztönözniük kell a munkavégzés és a munkaidő olyan új, rugalmasabb szervezésimódjainak bevezetését, amelyek jobban megfelelnek a társadalomváltozó igényeinek, és amelyek egyaránt figyelembe veszik a vállalkozások és a munkavállalók szükségleteit;	31996L0034_en-hu
7. Whereas family policy should be looked at in the context of demographic changes, the effects of the ageing population, closing the generation gap and promoting women's participation in the labour force;	7. mivel a családpolitikát a demográfiai változásoknak, a népesség elöregedése következményeinek, a generációs ellentét megszüntetésének, a női munkavállalás ösztönzésének az összefüggésében kell vizsgálni;	31996L0034_en-hu
8. Whereas men should be encouraged to assume an equal share of family responsibilities, for example they should be encouraged to take parental leave by means such as awareness programmes;	8. mivel a férfiakat arra kell ösztönözni, hogy egyenlő részt vállaljanak a családi kötelezettségekben, például figyelemfelkeltő programok révén bátorítani kell őket a szülői szabadság igénybevételére;	31996L0034_en-hu
9. Whereas the present agreement is a framework agreement setting out minimum requirements and provisions for parental leave, distinct from maternity leave, and for time off from work on grounds of force majeure, and refers back to Member States and social partners for the establishment of the conditions of access and detailed rules of application in order to take account of the situation in each Member State;	9. mivel ez a megállapodás keretmegállapodás, amely a szülési szabadságtól eltérő szülőiszabadság, illetve a vis maior következtében a munkából való távolmaradás minimumkövetelményeit és feltételeit határozza meg, és az egyes tagállamokban fennálló helyzetre tekintettel a tagállamokra, illetve a szociális partnerekre bízza az igénybevétel feltételei és alkalmazása részletes szabályainak a kidolgozását;	31996L0034_en-hu
10. Whereas Member States should provide for the maintenance of entitlements to benefits in kind under sickness insurance during the minimum period of parental leave;	10. mivel a tagállamoknak gondoskodniuk kell arról, hogy a szülői szabadság minimális időszaka alatt a betegbiztosításon alapuló természetbeni ellátásokra való jogosultság fennmaradjon;	31996L0034_en-hu
11. Whereas Member States should also, where appropriate under national conditions and taking into account the budgetary situation, consider the maintenance of entitlements to relevant social security benefits as they stand during the minimum period of parental leave;	11. mivel a tagállamoknak – amennyiben a nemzeti feltételek mellett és költségvetési helyzetük figyelembevételével lehetséges – meg kell fontolniuk a szülői szabadságminimálisidőszaka alatt a változatlan szociálisbiztonságiellátásokra való jogosultságokfenntartását;	31996L0034_en-hu
12. Whereas this agreement takes into consideration the need to improve social policy requirements, to enhance the competitiveness of the Community economy and to avoid imposing administrative, financial and legal constraints in a way which would impede the creation and development of small and medium-sized undertakings;	12. mivel ez a megállapodás figyelembe veszi a szociálpolitikakövetelményrendszerénekjavítására, a Közösség gazdaságiversenyképességénekfokozására ésaz olyan közigazgatási, pénzügyiés jogi korlátokelkerülésére irányulóigényt, amelyekhátráltathatják a kis- ésközépvállalkozásokalapításátés fejlődését;	31996L0034_en-hu
13. Whereas management and labour are best placed to find solutions that correspond to the needs of both employers and workers and must therefore have conferred on them a special role in the implementation and application of the present agreement,	13. mivel a szociális partnerek helyzetüktől fogva alkalmasakarra, hogy olyan megoldásokat találjanak, amelyek megfelelnekminda munkaadók, mind a munkavállalók igényeinek, és ezért különös szerepet kell kapniuk e megállapodásvégrehajtásaés alkalmazása során,	31996L0034_en-hu
THE SIGNATORY PARTIES HAVE AGREED THE FOLLOWING:	AZ ALÁÍRÓ FELEK A KÖVETKEZŐKBENJUTOTTAKMEGÁLLAPODÁSRA:	31996L0034_en-hu
II. CONTENT	II. TARTALOM	31996L0034_en-hu
Clause 1: Purpose and scope	1. szakasz: Cél és hatály	31996L0034_en-hu
1. This agreement lays down minimum requirements designed to facilitate the reconciliation of parental and professional responsibilities for working parents.	1. Ez a megállapodás a dolgozó szülők szülőiésmunkavállalói kötelezettségeinek összehangolásátelősegítőminimumkövetelményeket rögzíti.	31996L0034_en-hu
2. This agreement applies to all workers, men and women, who have an employment contract or employment relationship as defined by the law, collective agreements or practices in force in each Member State.	2. Ez a megállapodás minden olyan férfi és nőimunkavállalórakiterjed, akik az egyes tagállamokbanhatályos jogszabályok, kollektív szerződésekvagy gyakorlat által meghatározottmunkaszerződéssel, illetve munkaviszonnyal rendelkeznek.	31996L0034_en-hu
Clause 2: Parental leave	2. szakasz: Szülői szabadság	31996L0034_en-hu
1. This agreement grants, subject to clause 2.2, men and women workers an individual right to parental leave on the grounds of the birth or adoption of a child to enable them to take care of that child, for at least three months, until a given age up to 8 years to be defined by Member States and/or management and labour.	1. Ez a megállapodás a 2. cikk 2) pontjára figyelemmelgyermekszületése, illetve örökbefogadása eseténegyénijogot biztosít a férfi és a nőimunkavállalóknakszülői szabadság igénybevételére, hogy legalább három hónapon át gondozhassákgyermeküket, annak meghatározott életkoráig, delegfeljebb a gyermek8 éves koráig.	31996L0034_en-hu
	A tagállamok és/vagya szociálispartnerek határozzák meg a részletesszabályokat.	31996L0034_en-hu
2. To promote equal opportunities and equal treatment between men and women, the parties to this agreement consider that the right to parental leave provided for under clause 2.1 should, in principle, be granted on a non-transferable basis.	2. A férfiak és a nők egyenlő lehetőségeinekésa velük való egyenlő bánásmódnakazelőmozdítása érdekében a szerződőfelekúgy határoznak, hogy a 2. cikk 1) pontjában meghatározottszülőiszabadságot, alapvetően, át nem ruházhatómódonkell biztosítani.	31996L0034_en-hu
3. The conditions of access and detailed rules for applying parental leave shall be defined by law and/or collective agreement in the Member States, as long as the minimum requirements of this agreement are respected.	3. A tagállamokban a szülői szabadság igénybevételénekfeltételeités az alkalmazás részletes szabályaitjogszabályokbanés/vagy kollektív szerződésbenkell meghatározniaz egyezmény minimumkövetelményeinektiszteletben tartásával.	31996L0034_en-hu
Member States and/or management and labour may, in particular:	A tagállamok és/vagya szociális partnerek különösen:	31996L0034_en-hu
(a) decide whether parental leave is granted on a full-time or part-time basis, in a piecemeal way or in the form of a time-credit system;	a) meghatározhatják, hogy a szülői szabadságotateljes munkaidő, illetve részmunkaidő figyelembevételévelrészletekben, illetve munkaidő-jóváírásosrendszerbenbiztosítsák;	31996L0034_en-hu
(b) make entitlement to parental leave subject to a period of work qualification and/or a length of service qualification which shall not exceed one year;	b) a szülői szabadságra való jogosultságotamunkaviszonyban töltött időhöz és/vagy az adottmunkáltatónálmunkaviszonyban töltött időhosszához köthetik, mely idő azonban nem haladhatja megaz egy évet;	31996L0034_en-hu
(c) adjust conditions of access and detailed rules for applying parental leave to the special circumstances of adoption;	c) a szülői szabadság igénybevételénekfeltételeités részletes szabályait az örökbefogadáskülönlegeskörülményeihez igazíthatják;	31996L0034_en-hu
(d) establish notice periods to be given by the worker to the employer when exercising the right to parental leave, specifying the beginning and the end of the period of leave;	d) meghatározhatnak bejelentési határidőket, amikoramunkavállalónak a munkáltatót tájékoztatniakell, ha élni kíván a szülői szabadsághozvalójogával, megadva a szabadság idejének kezdetétésvégét;	31996L0034_en-hu
(e) define the circumstances in which an employer, following consultation in accordance with national law, collective agreements and practices, is allowed to postpone the granting of parental leave for justifiable reasons related to the operation of the undertaking (e.g. where work is of a seasonal nature, where a replacement cannot be found within the notice period, where a significant proportion of the workforce applies for parental leave at the same time, where a specific function is of strategic importance).	(e) meghatározhatják azokat a körülményeket, amelyek mellett a munkaadó a nemzeti jogszabályoknak, a kollektívszerződéseknekés az alkalmazott gyakorlatnak megfelelőkonzultációtkövetően, elhalaszthatja a szülőiszabadságkiadását a vállalkozás működéséhezkapcsolódó, megalapozott indokkal (például haa munka idényjellegű, ha a bejelentési idő alattnem lehet helyettest találni, ha a munkaerő-állományjelentős százalékaugyanabban az időben igényelszülői szabadságot, ha az adott beosztás stratégiaijelentősségű).	31996L0034_en-hu
Any problem arising from the application of this provision should be dealt with in accordance with national law, collective agreements and practices;	E rendelkezés alkalmazásábólfakadó bármelyproblémát a nemzeti jogszabályokkal, a kollektívszerződésekkel és gyakorlattal összhangbankell kezelni;	31996L0034_en-hu
(f) in addition to (e), authorize special arrangements to meet the operational and organizational requirements of small undertakings.	f) az e) pontot kiegészítve, különleges megoldásokalkalmazásátengedélyezhetik a kisvállalkozásokműködésiés szervezeti követelményeinekkielégítésecéljából.	31996L0034_en-hu
4. In order to ensure that workers can exercise their right to parental leave, Member States and/or management and labour shall take the necessary measures to protect workers against dismissal on the grounds of an application for, or the taking of, parental leave in accordance with national law, collective agreements or practices.	4. Annak biztosítása érdekében, hogy a munkavállalókérvényesíthesséka szülői szabadsághozvaló jogukat, a tagállamoknakés/vagy a szociálispartnereknek meg kell tenniük az ahhozszükséges intézkedéseket, hogy védelmet biztosítsanaka munkavállalók elbocsátásaellen, ha arra a szülőiszabadság nemzeti jogszabályok, kollektív szerződésekvagy gyakorlatok alapjánvaló kérelmezése, illetveigénybevételemiatt kerül sor.	31996L0034_en-hu
5. At the end of parental leave, workers shall have the right to return to the same job or, if that is not possible, to an equivalent or similar job consistent with their employment contract or employment relationship.	5. A szülői szabadság leteltével a munkavállalókjogosultakkorábbi munkahelyükre visszatérni, vagy ha eznem lehetséges, akkor munkaszerződésükkel vagy munkaviszonyukkalegyező, az előző munkahelyüknek megfelelővagy ahhoz hasonlómunkahelyet elfoglalni.	31996L0034_en-hu
6. Rights acquired or in the process of being acquired by the worker on the date on which parental leave starts shall be maintained as they stand until the end of parental leave.	6. A munkavállaló által a szülői szabadságmegkezdéséigmegszerzett vagy a szerzés folyamatábanlévő jogoka szülői szabadság végéigváltozatlanokmaradnak.	31996L0034_en-hu
At the end of parental leave, these rights, including any changes arising from national law, collective agreements or practice, shall apply.	A szülői szabadság végévelezeka jogok érvényesülnek, beleértve a nemzetijogszabályokból, kollektív szerződésekből, illetve gyakorlatbólszármazó bármely változástis.	31996L0034_en-hu
7. Member States and/or management and labour shall define the status of the employment contract or employment relationship for the period of parental leave.	7. A tagállamok és/vagy a szociális partnerek határozzákmega munkaszerződés, illetve a munkaviszony jellegéta szülőiszabadság idejére.	31996L0034_en-hu
