0,Chapter 25: The General Law of Capitalist Accumulation 1.,DREIUNDZWANZIGSTES KAPITEL. TEIL I.,3.9542573176185387
228,The importance of this element in the formation of the relative surplus population is shown by the example of England.,"Wie wichtig dies Moment in der Bildung der relativen Übervölkerung, beweist z. B. England.",3.0296005555218986
229,Her technical means for the ‘saving’ of labour are colossal.,"Seine technischen Mittel zur ""Ersparung"" von Arbeit sind kolossal.",3.0039688532404747
230,"Nevertheless, if tomorrow morning labour were universally to be reduced to a rational amount, and proportioned to the different sections of the working class according to age and sex, the available working population would be absolutely insufficient to carry on the nation’s production on its present scale.","Dennoch, würde morgen allgemein die Arbeit auf ein rationelles Maß beschränkt und für die verschiednen Schichten der Arbeiterklasse wieder entsprechend nach Alter und Geschlecht abgestuft, so wäre die vorhandne Arbeiterbevölkerung absolut unzureichend zur Fortführung der nationalen Produktion auf ihrer jetzigen Stufenleiter.",2.712208930661243
231,The great majority of the now ‘unproductive’ workers would have to be turned into ‘productive’ones.,"Die große Mehrheit der jetzt ""unproduktiven"" Arbeiter müßte in ""produktive"" verwandelt werden.",2.859864315104501
232,"Taking them as a whole, the general movements of wages are exclusively regulated by the expansion and contraction of the industrial reserve army, and this in turn corresponds to the periodic alternations of the industrial cycle.","Im großen und ganzen sind die allgemeinen Bewegungen des Arbeitslohns ausschließlich reguliert durch die Expansion und Kontraktion der industriellen Reservearmee, welche dem Periodenwechsel des industriellen Zyklus entsprechen.",2.6035687301290196
233,"They are not therefore determined by the variations of the absolute numbers of the working population, but by the varying proportions in which the working class is divided into an active army and a reserve army, by the increase or diminution in the relative amount of the surplus population, by the extent to which it is alternately absorbed and set free.","Sie sind also nicht bestimmt durch die Bewegung der absoluten Anzahl der Arbeiterbevölkerung, sondern durch das wechselnde Verhältnis, worin die Arbeiterklasse in aktive Armee und Reservearmee zerfällt, durch die Zunahme und Abnahme des relativen Umfangs der Übervölkerung, durch den Grad, worin sie bald absorbiert, bald wieder freigesetzt wird.",2.8260556798878724
234,"The appropriate law for modern industry, with its decennial cycles and periodic phases which, as accumulation advances, are complicated by irregular oscillations following each other more and more quickly, is the law of the regulation of the demand and supply of labour by the alternate expansion and contraction of capital, i.e. by the level of capital’s valorization requirements at the relevant moment, the labour-market sometimes appearing relatively under-supplied because capital is expanding, and sometimes relatively over-supplied because it is contracting. It would be utterly absurd, in place of this, to lay down a law according to which the movement of capital depended simply on the movement of the population.","Für die moderne Industrie mit ihrem zehnjährigen Zyklus und seinen periodischen Phasen, die außerdem im Fortgang der Akkumulation durch stets rascher aufeinander folgende unregelmäßige Oszillationen durchkreuzt werden, wäre es in der Tat ein schönes Gesetz, welches die Nachfrage und Zufuhr von Arbeit nicht durch die Expansion und Kontraktion des Kapitals, also nach seinen jedesmaligen Verwertungsbedürfnissen regelte, so daß der Arbeitsmarkt bald relativ untervoll erscheint, weil das Kapital sich expandiert, bald wieder übervoll, weil es sich kontrahiert, sondern umgekehrt die Bewegung des Kapitals von der absoluten Bewegung der Bevölkerungsmenge abhängig machte.",2.9270617194250548
235,Yet this is the dogma of the economists.,Dies jedoch ist das ökonomische Dogma.,2.6517323756526925
236,"According to them, wages rise as a result of the accumulation of capital.",Nach demselben steigt infolge der Kapitalakkumulation der Arbeitslohn.,3.3632352549913427
237,"Higher wages stimulate the working population to more rapid multiplication, and this goes on until the labour-market becomes over-supplied, and hence capital becomes insufficient in relation to the supply of labour.","Der erhöhte Arbeitslohn spornt zur rascheren Vermehrung der Arbeiterbevölkerung, und diese dauert fort, bis der Arbeitsmarkt überfüllt, also das Kapital relativ zur Arbeiterzufuhr unzureichend geworden ist.",3.2661272828551176
238,"Wages fall, and now we have the obverse side of the medal.","Der Arbeitslohn sinkt, und nun die Kehrseite der Medaille.",3.0592222988991464
239,"The working population is, little by little, decimated by the fall in wages, so that capital is again in excess in relation to the workers, or, as others explain it, the fall in wages and the corresponding increase in the exploitation of the workers again accelerates accumulation, while, at the same time, the lower wages hold the growth of the working class in check.","Durch den fallenden Arbeitslohn wird die Arbeiterbevölkerung nach und nach dezimiert, so daß ihr gegenüber das Kapital wieder überschüssig wird, oder auch, wie andre es erklären, der fallende Arbeitslohn und die entsprechende erhöhte Exploitation des Arbeiters beschleunigt wieder die Akkumulation, während gleichzeitig der niedere Lohn das Wachstum der Arbeiterklasse in Schach hält.",2.893435763532308
240,"Then the time comes round again when the supply of labour is less than the demand, wages rise, and so on. This would indeed be a beautiful form of motion for developed capitalist production!","So tritt wieder das Verhältnis ein, worin die Arbeitszufuhr niedriger als die Arbeitsnachfrage, der Lohn steigt usw. Eine schöne Bewegungsmethode dies für die entwickelte kapitalistische Produktion!",2.7490213905429965
241,"Before the rise in wages could produce any positive increase of the population really fit for work, the deadline would long since have passed within which the industrial campaign would have to have been carried through, and the battle fought to a conclusive finish.","Bevor infolge der Lohnerhöhung irgendein positives Wachstum der wirklich arbeitsfähigen Bevölkerung eintreten könnte, wäre die Frist aber und abermal abgelaufen, worin der industrielle Feldzug geführt, die Schlacht geschlagen und entschieden sein muß.",2.950212531252904
242,"Between 1849 and 1859 a rise of wages which was in practice merely nominal, although it was accompanied by a fall in the price of corn, took place in the English agricultural districts. In Wiltshire, for example, the weekly wage rose from 7s. to 8s. ; in Dorsetshire it rose from 7s. or 8s. to 9s., and so on. This was the result of an unusual exodus of the agricultural surplus population caused by wartime demands,* and by the vast extension of railways, factories, mines etc. The lower the wage, the higher is the proportion in which even a very insignificant increase is expressed.","Zwischen 1849 und 1859 trat, zugleich mit fallenden Getreidepreisen, eine praktisch betrachtet nur nominelle Lohnerhöhung in den englischen Agrikulturdistrikten ein, z.B. in Wiltshire stieg der Wochenlohn von 7 auf 8 sh., in Dorsetshire von 7 oder 8 auf 9 sh. usw. Es war dies Folge des übergewöhnlichen Abflusses der agrikolen Übervölkerung, verursacht durch Kriegsnachfrage, massenhafte Ausdehnung der Eisenbahnbauten, Fabriken, Bergwerke etc. Je niedriger der Arbeitslohn, desto höher drückt sich jedes noch so unbedeutende Steigen desselben in Prozentzahlen aus.",2.9604717690467077
243,"If the weekly wage, for instance, is 20s. and it rises to 22s., that is a rise of 10 per cent; but if it is only 7s., and it rises to 9s., that is a rise of 28 4/ per cent, which sounds very fine.","Ist der Wochenlohn z.B. 20 sh. und steigt er auf 22, so um 10%; ist er dagegen nur 7 sh. und steigt auf 9, so um 284/7%, was sehr erklecklich klingt.",2.550207316290111
244,"Anyway, the farmers howled, and the London Economist, with reference to these starvation wages, prattled quite seriously of ‘a general and substantial advance’.","Jedenfalls heulten die Pächter und schwatzte sogar der ""London Economist"" ganz ernsthaft von ""a general and substantial advance"" <einer allgemeinen und beträchtlichen Erhöhung""> mit Bezug auf diese Hungerlöhne.",2.6396742290105015
245,What did the farmers do now?,Was taten nun die Pächter?,2.4737290572550203
246,"Did they wait until the agricultural labourers had so increased and multiplied as a result of this splendid remuneration that their wages had to fall again, which is the way things are supposed to happen according to the dogmatic economic brain?","Warteten sie, bis die Landarbeiter sich infolge dieser brillanten Zahlung so vermehrt hatten, daß ihr Lohn wieder fallen mußte, wie die Sache sich im dogmatisch ökonomischen Hirn zuträgt?",3.2141501661444694
247,"No, they introduced more machinery, and in a moment the labourers were ‘redundant’ again to a degree satisfactory even to the farmers.","Sie führten mehr Maschinerie ein, und im Umsehn waren die Arbeiter wieder ""überzählig"" in einem selbst den Pächtern genügenden Verhältnis.",3.013528281587934
248,"There was now ‘more capital’ laid out in agriculture than before, and in a more productive form.","Es war jetzt ""mehr Kapital"" in der Agrikultur an- gelegt als vorher und in einer produktiveren Form.",2.422876231776407
249,"With this the demand for labour fell, not only relatively, but absolutely.","Damit fiel die Nachfrage nach Arbeit nicht nur relativ, sondern absolut.",2.1657124985530665
250,"The economic fiction we have been dealing with confuses the laws that regulate the general movement of wages, or the ratio between the working class – i.e. the total sum of labour-power -and the total social capital, with the laws that distribute the working population over the different spheres of production.","Jene ökonomische Fiktion verwechselt die Gesetze, welche die allgemeine Bewegung des Arbeitslohns oder das Verhältnis zwischen Arbeiterklasse, d.h. Gesamtarbeitskraft und gesellschaftlichem Gesamtkapital regeln, mit den Gesetzen, welche die Arbeiterbevölkerung unter die besondren Produktionssphären verteilen.",2.8827247978637516
251,"If, for example owing to a favourable conjuncture, accumulation in a particular sphere of production becomes especially active, and profits in it, being greater than the average profits, attract additional capital, then of course the demand for labour rises, and wages rise as well.","Wenn z.B. infolge günstiger Konjunktur die Akkumulation in einer bestimmten Produktionssphäre besonders lebhaft, die Profite hier größer als die Durchschnittsprofite, Zuschußkapital dahin drängt, so steigt natürlich Arbeitsnachfrage und Arbeitslohn.",2.9909509467316213
252,"The higher wages draw a larger part of the working population into the more favoured sphere until it is glutted with labour-power, and wages at length fall again to their average level or below it, if the pressure is too great.","Der höhere Arbeitslohn zieht einen größeren Teil der Arbeiterbevölkerung in die begünstigte Sphäre, bis sie mit Arbeitskraft gesättigt ist und der Lohn auf die Dauer wieder auf sein früheres Durchschnittsniveau oder unter dasselbe fällt, falls der Zudrang zu groß war.",2.820508493031936
253,"At that point the influx of workers into the branch of industry in question not only ceases, but gives place to an outflow of workers.","Dann hört nicht nur die Einwanderung von Arbeitern in den fraglichen Geschäftszweig auf, sie macht sogar ihrer Auswanderung Platz.",2.969369747600222
254,"Here the political economist thinks he can grasp the situation, he thinks he can see an absolute diminution of workers accompanying an increase of wages, and a diminution of wages accompanying an absolute increase of workers. But he really sees only the local oscillations of the labour-market in a particular sphere of production – he sees only the phenomena which accompany the distribution of the working population into the different spheres of outlay of capital, according to its varying needs.","Hier glaubt der politische Ökonom zu sehn, ""wo und wie"", mit Zunahme des Lohns eine absolute Zunahme von Arbeitern, und mit der absoluten Zunahme der Arbeiter eine Abnahme des Lohns, aber er sieht in der Tat nur die lokale Oszillation des Arbeitsmarkts einer besondren Produktionssphäre, er sieht nur Phänomene der Verteilung der Arbeiterbevölkerung in die verschiednen Anlagesphären des Kapitals, je nach seinen wechselnden Bedürfnissen.",2.731260229832011
255,"The industrial reserve army, during the periods of stagnation and average prosperity, weighs down the active army of workers; during the periods of over-production and feverish activity, it puts a curb on their pretensions.",Die industrielle Reservearmee drückt während der Perioden der Stagnation und mittleren Prosperität auf die aktive Arbeiterarmee und hält ihre Ansprüche während der Periode der Überproduktion und des Paroxysmus im Zaum.,3.0645308919272995
256,The relative surplus population is therefore the background against which the law of the demand and supply of labour does its work.,"Die relative Übervölkerung ist also der Hintergrund, worauf das Gesetz der Nachfrage und Zufuhr von Arbeit sich bewegt.",2.4825866736982447
257,It confines the field of action of this law to the limits absolutely convenient to capital’s drive to exploit and dominate the workers.,Sie zwängt den Spielraum dieses Gesetzes in die der Exploitationsgier und Herrschsucht des Kapitals absolut zusagenden Schranken ein.,2.8741155474735076
258,This is the place to return to one of the great exploits of economic apologetics.,"Es ist hier der Ort, auf eine der Großtaten der ökonomischen Apologetik zurückzukommen.",2.4766504976837345
259,"It will be remembered that if through the introduction of new machinery, or the extension of old, a portion of variable capital is transformed into constant capital, the economic apologist interprets this operation, which ‘fixes’ capital and by that very act ‘sets free’ workers, in exactly the opposite way, pretending that capital is thereby set free for the workers.","Man erinnert sich, daß, wenn durch Einführung neuer oder Ausdehnung alter Maschinerie ein Stück variables Kapital in konstantes verwandelt wird, der ökonomische Apologet diese Operation, welche Kapital ""bindet"" und ebendadurch Arbeiter ""freisetzt"", umgekehrt so deutet, daß sie Kapital für den Arbeiter freisetzt.",3.112253701066027
260,Only now can one evaluate the true extent of the effrontery of these apologists.,Erst jetzt kann man die Unverschämtheit des Apologeten vollständig würdigen.,3.0829182700706728
261,"Not only are the workers directly turned out by the machines set free, but so are their future replacements in the rising generation, as well as the additional contingent which, with the usual extension of business on its old basis, would regularly be absorbed.","Was freigesetzt wird, sind nicht nur die unmittelbar durch die Maschine verdrängten Arbeiter, sondern ebenso ihre Ersatzmannschaft und das, bei gewohnter Ausdehnung des Geschäfts auf seiner alten Basis, regelmäßig absorbierte Zuschußkontingent.",2.778225870004872
262,They are now all ‘set free’ and every new bit of capital looking round for a function can take advantage of them.,"Sie sind jetzt alle ""freigesetzt"", und jedes neue funktionslustige Kapital kann über sie verfügen.",2.6759215665318883
263,"Whether it attracts them or others, the effect on the general demand for labour will be nil, if this capital is just sufficient to take out of the market as many workers as the machines threw into it.","Ob es sie oder andre attrahiert, die Wirkung auf die allgemeine Arbeitsnachfrage wird Null sein, solange dies Kapital gerade hinreicht, um den Markt von ebensoviel Arbeitern zu befreien, als die Maschinen auf ihn geworfen.",2.672148637195465
264,"If it employs a smaller number, the number of ‘redundant workers’ increases; if it employs a greater, the general demand for labour increases only to the extent of the excess of the employed over those ‘set free’.","Beschäftigt es eine geringere Zahl, so wächst die Menge der Überzähligen; beschäftigt es eine größere, so wächst die allgemeine Arbeitsnachfrage nur um den Überschuß der Beschäftigten über die ""Freigesetzten"".",2.874751332979734
265,The impulse that additional capital seeking an outlet would otherwise have given to the general demand for labour is therefore in every case neutralized until the supply of workers thrown out of employment by the machine has been exhausted.,"Der Aufschwung, den Anlage suchende Zusatzkapitale sonst der allgemeinen Arbeitsnachfrage gegeben hätten, ist also in jedem Fall insoweit neutralisiert, wie die von der Maschine aufs Pflaster geworfnen Arbeiter reichen.",3.098974377893797
266,"That is to say, the mechanism of capitalist production takes care that the absolute increase of capital is not accompanied by a corresponding rise in the general demand for labour.","D.h. also, der Mechanismus der kapitalistischen Produktion sorgt dafür, daß der absolute Zuwachs von Kapital von keiner entsprechenden Steigerung der allgemeinen Arbeitsnachfrage begleitet ist.",2.3053962908739387
267,"And the apologist calls this a compensation for the misery, the sufferings, the possible death of the displaced workers during the transitional period when they are banished into the industrial reserve army!","Und dies nennt der Apologet eine Kompensation für das Elend, die Leiden und den möglichen Untergang der deplacierten Arbeiter während der Übergangsperiode, welche sie in die industrielle Reservearmee bannt!",2.653497007090667
268,"The demand for labour is not identical with increase of capital, nor is supply of labour identical with increase of the working class. It is not a case of two independent forces working on each other.","Die Nachfrage nach Arbeit ist nicht identisch mit Wachstum des Kapitals, die Zufuhr der Arbeit nicht mit dem Wachstum der Arbeiterklasse, so daß zwei voneinander unabhängige Potenzen aufeinander einwirkten.",2.794741310248404
269,Les dés sont pipés. * Capital acts on both sides at once.,Les dés sont pipés. <Die Würfel sind gefälscht.> Das Kapital agiert auf beiden Seiten zugleich.,3.6846264448503607
270,"If its accumulation on the one hand increases the demand for labour, it increases on the other the supply of workers by ‘setting them free’, while at the same time the pressure of the unemployed compels those who are employed to furnish more labour, and therefore makes the supply of labour to a certain extent independent of the supply of workers.","Wenn seine Akkumulation einerseits die Nachfrage nach Arbeit vermehrt, vermehrt sie andrerseits die Zufuhr von Arbeitern durch deren ""Freisetzung"", während zugleich der Druck der Unbeschäftigten die Beschäftigten zur Flüssigmachung von mehr Arbeit zwingt, also in gewissem Grad die Arbeitszufuhr von der Zufuhr von Arbeitern unabhängig macht.",2.8726261851401245
271,The movement of the law of supply and demand of labour on this basis completes the despotism of capital.,Die Bewegung des Gesetzes der Nachfrage und Zufuhr von Arbeit auf dieser Basis vollendet die Despotie des Kapitals.,2.751537718732614
272,"Thus as soon as the workers learn the secret of why it happens that the more they work, the more alien wealth they produce, and that the more the productivity of their labour increases, the more does their very function as a means for the valorization of capital become precarious; as soon as they discover that the degree of intensity of the competition amongst themselves depends wholly on the pressure of the relative surplus population; as soon as, by setting up trade unions, etc., they try to organize planned co-operation between the employed and the unemployed in order to obviate or to weaken the ruinous effects of this natural law of capitalist production on their class, so soon does capital and its sycophant, political economy, cry out at the infringement of the ‘eternal’ and so to speak ‘sacred’ law of supply and demand.","Sobald daher die Arbeiter hinter das Geheimnis kommen, wie es angeht, daß im selben Maß, wie sie mehr arbeiten, mehr fremden Reichtum produzieren und die Produktivkraft ihrer Arbeit wächst, sogar ihre Funktion als Verwertungsmittel des Kapitals immer prekärer für sie wird; sobald sie entdecken, daß der Intensitätsgrad der Konkurrenz unter ihnen selbst ganz und gar von dem Druck der relativen Übervölkerung abhängt; sobald sie daher durch Trade's Unions usw. eine planmäßige Zusammenwirkung zwischen den Beschäftigten und Unbeschäftigten zu organisieren suchen, um die ruinierenden Folgen jenes Naturgesetzes der kapitalistischen Produktion auf ihre Klasse zu brechen oder zu schwächen, zetert das Kapital und sein Sykophant, der politische Ökonom, über Verletzung des ""ewigen"" und sozusagen ""heiligen"" Gesetzes der Nachfrage und Zufuhr.",2.6740054476326263
273,Every combination between employed and unemployed disturbs the ‘pure’ action of this law.,"Jeder Zusammenhalt zwischen den Beschäftigten und Unbeschäftigten stört nämlich das ""reine"" Spiel jenes Gesetzes.",3.0318785460739246
274,"But on the other hand, as soon as (in the colonies, for example) adverse circumstances prevent the creation of an industrial reserve army, and with it the absolute dependence of the working class upon the capitalist class, capital, along with its platitudinous Sancho Panza, rebels against the ‘sacred’ law of supply and demand, and tries to make up for its inadequacies by forcible means.","Sobald andrerseits, in den Kolonien z.B., widrige Umstände die Schöpfung der industriellen Reservearmee und mit ihr die absolute Abhängigkeit der Arbeiterklasse von der Kapitalistenklasse verhindern, rebelliert das Kapital, samt seinem gemeinplätzlichen Sancho Pansa, gegen das ""heilige"" Gesetz der Nachfrage und Zufuhr und sucht ihm durch Zwangsmittel unter die Arme zu greifen.",2.958590804755139
275,4. DIFFERENT FORMS OF EXISTENCE OF THE RELATIVE SURPLUS POPULATION.,4. Verschiedne Existenzformen der relativen Übervölkerung.,3.452431636833451
276,THE GENERAL LAW OF CAPITALIST ACCUMULATION The relative surplus population exists in all kinds of forms.,Das allgemeine Gesetz der kapitalistischen Akkumulation Die relative Übervölkerung existiert in allen möglichen Schattierungen.,2.933719810754359
277,Every worker belongs to it during the time when he is only partially employed or wholly unemployed.,"Jeder Arbeiter gehört ihr an während der Zeit, wo er halb oder gar nicht beschäftigt ist.",2.5805557524528853
278,"Leaving aside the large-scale and periodically recurring forms that the changing phases of the industrial cycle impress on it, so that it sometimes appears acute, in times of crisis, and sometimes chronic, in times when business is slack, we can identify three forms which it always possesses: the floating, the latent, and the stagnant.","Abgesehn von den großen, periodisch wiederkehrenden Formen, welche der Phasenwechsel des industriellen Zyklus ihr aufprägt, so daß sie bald akut in den Krisen erscheint, bald chronisch in den Zeiten flauen Geschäfts, besitzt sie fortwährend drei Formen: flüssige, latente und stockende.",3.2844494043396235
279,"In the centres of modern industry – factories, workshops, ironworks, mines, etc. – the workers are sometimes repelled, sometimes attracted again in greater masses, so that the number of those employed increases on the whole, although in a constantly decreasing proportion to the scale of production.","In den Zentren der modernen Industrie - Fabriken, Manufakturen, Hütten und Bergwerken usw. - werden Arbeiter bald repelliert, bald in größerem Umfang wieder attrahiert, so daß im großen und ganzen die Zahl der Beschäftigten zunimmt, wenn auch in stets abnehmendem Verhältnis zur Produktionsleiter.",2.7064674324239744
280,Here the surplus population exists in the floating form.,Die Übervölkerung existiert hier in fließender Form.,2.8221698015283794
281,"Both in the factories proper, and in the large workshops, where machinery enters as one factor, or even where no more than a division of labour of a modern type has been put into operation, large numbers of male workers are employed up to the age of maturity, but not beyond.","Sowohl in den eigentlichen Fabriken wie in allen großen Werkstätten, wo Maschinerie als Faktor eingeht oder auch nur die moderne Teilung der Arbeit durchgeführt ist, braucht man massenhaft männliche Arbeiter bis zur Zurücklegung des Jugendalters.",2.8595644348723313
282,"Once they reach maturity, only a very small number continue to find employment in the same branches of industry, while the majority are regularly dismissed.","Dieser Termin einmal erreicht, bleibt nur eine sehr geringe Anzahl in denselben Geschäftszweigen verwendbar, während die Mehrzahl regelmäßig entlassen wird.",2.9321068954426344
283,"This majority forms an element of the floating surplus population, which grows with the extension of those branches of industry.","Sie bildet ein Element der fließenden Übervölkerung, das mit dem Umfang der Industrie wächst.",2.8532484781536778
284,"Some of these workers emigrate; in fact they are merely following capital, which has itself emigrated.",Ein Teil davon wandert aus und reist in der Tat nur dem auswandernden Kapital nach.,3.1843690211644353
285,A further consequence is that the female population grows more rapidly than the male – witness England.,"Eine der Folgen ist, daß die weibliche Bevölkerung rascher wächst als die männliche, teste England.",2.652075581127094
286,"That the natural increase of the number of workers does not satisfy the requirements of the accumulation of capital, and yet, at the same time, exceeds those requirements, is a contradiction inherent in capital’s very movement.","Daß der natürliche Zuwachs der Arbeitermasse die Akkumulationsbedürfnisse des Kapitals nicht sättigt und sie dennoch zugleich überschreitet, ist ein Widerspruch seiner Bewegung selbst.",2.6706082798030364
287,"Capital demands more youthful workers, fewer adults.","Es braucht größere Massen Arbeiter im früheren Alter, geringere im männlichen.",4.310285426358701
288,"This contradiction is no more glaring than the other contradiction, namely that a shortage of ‘hands’ is complained of, while, at the same time, many thousands are out of work, because the division of labour chains them to a particular branch of industry.","Der Widerspruch ist nicht schreiender als der andre, daß über Mangel an Händen geklagt wird zur selben Zeit, wo viele Tausende auf dem Pflaster liegen, weil die Teilung der Arbeit sie an einen bestimmten Geschäftszweig kettet.",2.65765907221555
289,"Moreover, the consumption of labour-power by capital is so rapid that the worker has already more or less completely lived himself out when he is only half-way through his life.","Der Konsum der Arbeitskraft durch das Kapital ist zudem so rasch, daß der Arbeiter von mittlerem Alter sich meist schon mehr oder minder überlebt hat.",2.7756173115310125
290,"He falls into the ranks of the surplus population, or is thrust down from a higher to a lower step in the scale.",Er fällt in die Reihen der Überzähligen oder wird von einer höheren auf eine niedrigere Staffel hinabgedrängt.,2.6307800634984173
291,It is precisely among the workers in large-scale industry that we meet with the shortest life-expectancy.,Gerade bei den Arbeitern der großen Industrie stoßen wir auf die kürzeste Lebensdauer.,2.9925669421950025
292,"‘Dr Lee, Medical Officer of Health for Manchester, stated that the average age at death of the Manchester… upper middle class was 38 years, while the average age at death of the labouring class was 17; while at Liverpool those figures were represented as 35 against 15.","Dr. Lee, der Gesundheitsbeamte von Manchester, hat festgestellt, daß in jener Stadt die mittlere Lebensdauer der wohlhabenden Klasse 38, die der Arbeiterklasse nur 17 Jahre ist. In Liverpool beträgt sie 35 Jahre für die erstere, 15 für die Zweite.	ch25_clean.en-ch25_clean.de
It thus appeared that the well-to-do classes had a lease of life which was more than double the value of that which fell to the lot of the less favoured citizens.’	Es folgt also, daß die privilegierte Klasse eine Anweisung aufs Leben hat (have a lease of life) mehr als doppelt so groß als die ihrer weniger begünstigten Mitbürger.	ch25_clean.en-ch25_clean.de
Under these circumstances, the absolute increase of this section of the proletariat must take a form which swells their numbers, despite the rapid wastage of their individual elements.	(85a) Unter diesen Umständen erheischt das absolute Wachstum dieser Fraktion des Proletariats eine Form, welche ihre Zahl schwellt, obgleich ihre Elemente sich schnell abnutzen.",4.157290473187881
293,"Hence, rapid replacement of one generation of workers by another (this law does not hold for the other classes of the population).",Also rasche Ablösung der Arbeitergenerationen. (Dasselbe Gesetz gilt nicht für die übrigen Klassen der Bevölkerung.),2.6324982715023735
294,"This social requirement is met by early marriages, which are a necessary consequence of the conditions in which workers in large-scale industry live, and by the premium that the exploitation of the workers’ children sets on their production.","Dies gesellschaftliche Bedürfnis wird befriedigt durch frühe Ehen, notwendige Folge der Verhältnisse, worin die Arbeiter der großen Industrie leben, und durch die Prämie, welche die Exploitation der Arbeiterkinder auf ihre Produktion setzt.",2.5808548487338996
295,"As soon as capitalist production takes possession of agriculture, and in proportion to the extent to which it does so, the demand for a rural working population falls absolutely, while the accumulation of the capital employed in agriculture advances, without this repulsion being compensated for by a greater attraction of workers, as is the case in non-agricultural industries.","Sobald sich die kapitalistische Produktion der Agrikultur, oder im Grad, worin sie sich derselben bemächtigt hat, nimmt mit der Akkumulation des hier funktionierenden Kapitals die Nachfrage für die ländliche Arbeiterbevölkerung absolut ab, ohne daß ihre Repulsion, wie in der nicht agrikolen Industrie, durch größere Attraktion ergänzt wäre.",2.801833993843333
296,"Part of the agricultural population is therefore constantly on the point of passing over into an urban or manufacturing proletariat, and on the lookout for opportunities to complete this transformation.","Ein Teil der Landbevölkerung befindet sich daher fortwährend auf dem Sprung, in städtisches oder Manufakturproletariat überzugehn, und in der Lauer auf dieser Verwandlung günstige Umstände.",3.0780259309520286
297,(The term ‘manufacture’ is used here to cover all non-agricultural industries.),(Manufaktur hier im Sinn aller nichtagrikolen Industrie.),3.093221778999173
298,There is thus a constant flow from this source of the relative surplus population.,Diese Quelle der relativen Übervölkerung fließt also beständig.,3.2342498272126203
299,"But the constant movement towards the towns presupposes, in the countryside itself, a constant latent surplus population, the extent of which only becomes evident at those exceptional times when its distribution channels are wide open.","Aber ihr beständiger Fluß nach den Städten setzt auf dem Lande selbst eine fortwährend latente Übervölkerung voraus, deren Umfang nur sichtbar wird, sobald sich die Abzugskanäle ausnahmsweise weit öffnen.",3.2000240312014334
300,"The wages of the agricultural labourer are therefore reduced to a minimum, and he always stands with one foot already in the swamp of pauperism.",Der Landarbeiter wird daher auf das Minimum des Salairs herabgedrückt und steht mit einem Fuß stets im Sumpf des Pauperismus.,2.774565510588887
301,"The third category of the relative surplus population is the stagnant population. This forms a part of the active labour army, but with extremely irregular employment.","Die dritte Kategorie der relativen Übervölkerung, die stockende, bildet einen Teil der aktiven Arbeiterarmee, aber mit durchaus unregelmäßiger Beschäftigung.",2.8323534763288034
302,Hence it offers capital an inexhaustible reservoir of disposable labour-power.,Sie bietet so dem Kapital einen unerschöpflichen Behälter disponibler Arbeitskraft.,3.72056992938973
303,"Its conditions of life sink below the average normal level of the working class, and it is precisely this which makes it a broad foundation for special branches of capitalist exploitation.","Ihre Lebenslage sinkt unter das durchschnittliche Normalniveau der arbeitenden Klasse, und grade dies macht sie zur breiten Grundlage eigner Exploitationszweige des Kapitals.",3.2286720407333878
304,It is characterized by a maximum of working time and a minimum of wages.,Maximum der Arbeitszeit und Minimum des Salairs charakterisieren sie.,3.1038310429579403
305,We have already become familiar with its chief form under the rubric of’ domestic industry’.,Wir haben unter der Rubrik der Hausarbeit ihre Hauptgestalt bereits kennengelernt.,3.066691636895944
306,"It is constantly recruited from workers in large-scale industry and agriculture who have become redundant, and especially from those decaying branches of industry where handicraft is giving way to manufacture, and manufacture to machinery.","Sie rekrutiert sich fortwährend aus den Überzähligen der großen Industrie und Agrikultur und namentlich auch aus untergehenden Industriezweigen, wo der Handwerksbetrieb dem Manufakturbetrieb, letztrer dem Maschinenbetrieb erliegt.",3.0821501325960052
307,"Its extent grows in proportion as, with the growth in the extent and energy of accumulation, the creation of a surplus population also advances.","Ihr Umfang dehnt sich, wie mit Umfang und Energie der Akkumulation die ""Überzähligmachung"" fortschreitet.",3.135385989613941
308,"But it forms at the same time a self-reproducing and self-perpetuating element of the working class, taking a proportionally greater part in the general increase of that class than the other elements.","Aber sie bildet zugleich ein sich selbst reproduzierendes und verewigendes Element der Arbeiterklasse, das verhältnismäßig größeren Anteil am Gesamtwachstum derselben nimmt als die übrigen Elemente.",2.747224733168875
309,"In fact, not only the number of births and deaths, but the absolute size of families, stands in inverse proportion to the level of wages, and therefore to the amount of the means of subsistence at the disposal of different categories of worker.","In der Tat steht nicht nur die Masse der Geburten und Todesfälle, sondern die absolute Größe der Familien in umgekehrtem Verhältnis zur Höhe des Arbeitslohns, also zur Masse der Lebensmittel, worüber die verschiednen Arbeiterkategorien verfügen.",2.5833502909593404
310,"This law of capitalist society would sound absurd to savages, or even to civilized colonists.",Dies Gesetz der kapitalistischen Gesellschaft klänge unsinnig unter Wilden oder selbst zivilisierten Kolonisten.,2.9974091670421683
311,It calls to mind the boundless reproduction of animals individually weak and constantly hunted down.,Es erinnert an die massenhafte Reproduktion individuell schwacher und vielgehetzter Tierarten.,3.754235888581314
312,"Finally, the lowest sediment of the relative surplus population dwells in the sphere of pauperism.",Der tiefste Niederschlag der relativen Übervölkerung endlich behaust die Sphäre des Pauperismus.,3.561185229695808
