0,Chapter 28: Bloody Legislation against the Expropriated since the End of the Fifteenth Century.,3. Blutgesetzgebung gegen die Expropriierten seit Ende des 15. Jahrhunderts.,2.9662053754828546
11,For the second arrest for vagabondage the whipping is to be repeated and half the ear sliced off; but for the third relapse the offender is to be executed as a hardened criminal and enemy of the common weal.,"Bei zweiter Ertappung auf Vagabundage soll die Auspeitschung wiederholt und das halbe Ohr abgeschnitten, bei drittem Rückfall aber der Betroffne als schwerer Verbrecher und Feind des Gemeinwesens hingerichtet werden.",3.1191817314025827
12,"Edward VI: A statute of the first year of his reign, 1547,* ordains that if anyone refuses to work, he shall be condemned as a slave to the person who has denounced him as an idler.","Edward VI. : Ein Statut aus seinem ersten Regierungsjahr, 1547, verordnet, daß, wenn jemand zu arbeiten weigert, soll er als Sklave der Person zugeurteilt werden, die ihn als Müßiggänger denunziert hat.",2.6907300820026396
13,"The master shall feed his slave on bread and water, weak broth and such refuse meat as he thinks fit.","Der Meister soll seinen Sklaven mit Brot und Wasser nähren, schwachem Getränk und solchen Fleischabfällen, wie ihm passend dünkt.",3.3848645783045685
14,"He has the right to force him to do any work, no matter how disgusting, with whip and chains.","Er hat das Recht, ihn zu jeder auch noch so eklen Arbeit durch Auspeitschung und Ankettung zu treiben.",2.6250450591613808
15,"If the slave is absent for a fortnight, he is condemned to slavery for life and is to be branded on forehead or back with the letter S; if he runs away three times, he is to be executed as a felon.","Wenn sich der Sklave für 14 Tage entfernt, ist er zur Sklaverei auf Lebenszeit verurteilt und soll auf Stirn oder Backen mit dem Buchstaben S gebrandmarkt, wenn er zum drittenmal fortläuft, als Staatsverräter hingerichtet werden.",2.8458109812395276
16,"The master can sell him, bequeath him, let him out on hire as a slave, just as he can any other personal chattel or cattle.","Der Meister kann ihn verkaufen, vermachen, als Sklaven ausdingen, ganz wie andres bewegliches Gut und Vieh.",3.469704359775754
17,"If the slaves attempt anything against the masters, they are also to be executed.","Unternehmen die Sklaven etwas gegen die Herrschaft, so sollen sie ebenfalls hingerichtet werden.",2.4641038954221055
18,"Justices of the peace, on information, are to hunt the rascals down.",Friedensrichter sollen auf Information den Kerls nachspüren.,2.7693075852738627
19,"If it happens that a vagabond has been idling about for three days, he is to be taken to his birthplace, branded with a red hot iron with the letter V on the breast, and set to work, in chains, on the roads or at some other labour.","Findet sich, daß ein Herumstreicher drei Tage gelungert hat, so soll er nach seinem Geburtsort gebracht, mit rotglühendem Eisen auf die Brust mit dem Zeichen V gebrandmarkt, und dort in Ketten auf der Straße oder zu sonstigen Diensten verwandt werden.",2.842285021281055
20,"If the vagabond gives a false birthplace, he is then to become the slave for life of that place, of its inhabitants, or its corporation, and to be branded with an S. All persons have the right to take away the children of the vagabonds and keep them as apprentices, the young men until they are 24, the girls until they are 20.","Gibt der Vagabund einen falschen Geburtsort an, so soll er zur Strafe der lebenslängliche Sklave dieses Orts, der Einwohner oder Korporation sein und mit S gebrandmarkt werden. Alle Personen haben das Recht, den Vagabunden ihre Kinder wegzunehmen und als Lehrlinge, Jungen bis zum 24. Jahr, Mädchen bis zum 20. Jahr, zu halten.",2.7689667672581706
21,"If they run away, they are to become, until they reach these ages, the slaves of their masters, who can put them in irons, whip them, etc. if they like.","Laufen sie weg, so sollen sie bis zu diesem Alter die Sklaven der Lehrmeister sein, die sie in Ketten legen, geißeln etc. können, wie sie wollen.",2.879672477765848
22,"Every master may put an iron ring round the neck, arms or legs of his slave, by which to know him more easily and to be more certain of him.","Jeder Meister darf einen eisernen Ring um Hals, Arme oder Beine seines Sklaven legen, damit er ihn besser kennt und seiner sicherer ist.",3.3558346532289245
23,The last part of this statute provides that certain poor people may be employed by a place or by persons who are willing to give them food and drink and to find them work.,"Der letzte Teil dieses Status sieht vor, daß gewisse Arme von dem Ort oder den Individuen beschäftigt werden sollen, die ihnen zu essen und zu trinken geben und Arbeit für sie finden wollen.",2.319522504791392
24,Slaves of the parish of this kind were still to be found in England in the mid nineteenth century under the name of ‘roundsmen’.,Diese Sorte Pfarreisklaven hat sich bis tief ins 19. Jahrhundert in England erhalten unter dem Namen roundsmen (Umgeher).,3.165069351727236
25,"Elizabeth, 1572:† Unlicensed beggars above 14 years of age are to be severely flogged and branded on the left ear unless someone will take them into service for two years; in case of a repetition of the offence, if they are over 18, they are to be executed, unless someone will take them into service for two years; but for the third offence they are to be executed without mercy as felons.","Elisabeth, 1572: Bettler ohne Lizenz und über 14 Jahre alt sollen hart gepeitscht und am linken Ohrlappen gebrandmarkt werden, falls sie keiner für zwei Jahre in Dienst nehmen will; im Wiederholungsfall, wenn über 18 Jahre alt, sollen sie - hingerichtet werden, falls sie niemand für zwei Jahre in Dienst nehmen will, bei dritter Rezidive aber ohne Gnade als Staatsverräter hingerichtet werden.",2.8819374828744793
26,"Similar statutes: 18 Elizabeth, c.",Ähnliche Statute: 18 Elisabeth c. 13 und 1597.,4.187691716244983
27,"13, and another of 1597. James I: Anyone wandering about and begging is declared a rogue and a vagabond.",(221a) Jakob 1.: Eine herumwandernde und bettelnde Person wird für einen Landstreicher und Vagabunden erklärt.,3.136623431590161
28,"Justices of the peace in Petty Sessions are authorized to have them publicly whipped and to imprison them for six months for the first offence, and two years for the second.","Die Friedensrichter in den Petty Sessions sind bevollmächtigt, sie öffentlich auspeitschen zu lassen und bei erster Ertappung 6 Monate, bei zweiter 2 Jahre ins Gefängnis zu sper- ren.",2.8599259208716203
29,"While in prison they are to be whipped as much and as often as the justices of the peace think fit… Incorrigible and dangerous rogues are to be branded with an R on the left shoulder and set to hard labour, and if they are caught begging again, to be executed without mercy.","Während des Gefängnisses soll sie so oft und soviel gepeitscht werden, als die Friedensrichter für gut halten ... Die unverbesserlichen und gefährlichen Landstreicher sollen auf der linken Schulter mit R gebrandmarkt und an die Zwangsarbeit gesetzt, und wenn man sie wieder auf dem Bettel ertappt, ohne Gnade hingerichtet werden.",2.8179551006951047
30,"These statutes were legally binding until the beginning of the eighteenth century; they were only repealed by 12 Anne, c.","Diese Anordnungen, gesetzlich bis in die erste Zeit des 18. Jahrhunderts, wurden erst aufgehoben durch 12 Anna c. 23. Ähnliche Gesetze in Frankreich, wo sich Mitte des 17. Jahrhunderts ein Vagabundenkönigreich (royaume des truands) zu Paris etabliert hatte.",3.3648052910260824
31,"23. There were similar laws in France, where by the middle of the seventeenth century a kingdom of vagabonds (royaume des truands) had been established in Paris.",Noch in der ersten Zeit Ludwigs XVI.,3.47125327376451
32,"Even at the beginning of the reign of Louis XVI, the Ordinance of 13 July 1777 provided that every man in good health from 16 to 60 years of age, if without means of subsistence and not practising a trade, should be sent to the galleys.","(Ordonnanz vom 13. Juli 1777) sollte jeder gesund gebaute Mensch vom 16. bis 60. Jahr, wenn ohne Existenzmittel und Ausübung einer Profession, auf die Galeeren geschickt werden.",3.158326400867201
33,"The Statute of Charles V for the Netherlands (October 1537), the first Edict of the States and Towns of Holland ( March 1614) and the Plakaat of the United Provinces ( June 1649) are further examples of the same kind. Thus were the agricultural folk first forcibly expropriated from the soil, driven from their homes, turned into vagabonds, and then whipped, branded and tortured by grotesquely terroristic laws into accepting the discipline necessary for the system of wage-labour.","Ähnlich das Statut Karls V. für die Niederlande vom Oktober 1537, das erste Edikt der Staaten und Städte von Holland vom 19. März 1614, das Plakat der Vereinigten Provinzen vom 25. Juni 1649 usw. So wurde das von Grund und Boden gewaltsam expropriierte, verjagte und zum Vagabunden gemachte Landvolk durch grotesk-terroristische Gesetze in eine dem System der Lohnarbeit notwendige Disziplin hineingepeitscht, -gebrandmarkt, -gefoltert.",2.7462388273354192
34,"It is not enough that the conditions of labour are concentrated at one pole of society in the shape of capital, while at the other pole are grouped masses of men who have nothing to sell but their labour-power.","Es ist nicht genug, daß die Arbeitsbedingungen auf den einen Pol als Kapital treten und auf den andren Pol Menschen, welche nichts zu verkaufen haben als ihre Arbeitskraft.",2.7753173579740973
35,Nor is it enough that they are compelled to sell themselves voluntarily.,"Es genügt auch nicht, sie zu zwingen, sich freiwillig zu verkaufen.",2.2830491942670204
36,"The advance of capitalist production develops a working class which by education, tradition and habit looks upon the requirements of that mode of production as self-evident natural laws.","Im Fortgang der kapitalistischen Produktion entwickelt sich eine Arbeiterklasse, die aus Erziehung, Tradition, Gewohnheit die Anforderungen jener Produktionsweise als selbstverständliche Naturgesetze anerkennt.",3.027207811356524
37,"The organization of the capitalist process of production, once it is fully developed, breaks down all resistance. The constant generation of a relative surplus population keeps the law of the supply and demand of labour, and therefore wages, within narrow limits which correspond to capital’s valorization requirements. The silent compulsion of economic relations sets the seal on the domination of the capitalist over the worker.","Die Organisation des ausgebildeten kapitalistischen Produktionsprozesses bricht jeden Widerstand, die beständige Erzeugung einer relativen Übervölkerung hält das Gesetz der Zufuhr von und Nachfrage nach Arbeit und daher den Arbeitslohn in einem den Verwertungsbedürfnissen des Kapitals entsprechenden Gleise, der stumme Zwang der ökonomischen Verhältnisse besiegelt die Herrschaft des Kapitalisten über den Arbeiter.",3.1405989820357965
38,"Direct extra-economic force is still of course used, but only in exceptional cases.","Außerökonomische, unmittelbare Gewalt wird zwar immer noch angewandt, aber nur ausnahmsweise.",2.6326741343063387
39,"In the ordinary run of things, the worker can be left to the ‘natural laws of production’, i.e. it is possible to rely on his dependence on capital, which springs from the conditions of production themselves, and is guaranteed in perpetuity by them.","Für den gewöhnlichen Gang der Dinge kann der Arbeiter den ""Naturgesetzen der Produktion"" überlassen bleiben, d.h. seiner aus den Produktionsbedingungen selbst entspringenden, durch sie garantierten und verewigten Abhängigkeit vom Kapital.",2.7088933151264443
40,It is otherwise during the historical genesis of capitalist production.,Anders während der historischen Genesis der kapitalistischen Produktion.,2.553567485470214
41,"The rising bourgeoisie needs the power of the state, and uses it to ‘regulate’ wages, i.e. to force them into the limits suitable for making a profit, to lengthen the working day, and to keep the worker himself at his normal level of dependence.","Die aufkommende Bourgeoisie braucht und verwendet die Staatsgewalt, um den Arbeitslohn zu ""regulieren"", d.h. innerhalb der Plusmacherei zusagender Schranken zu zwängen, um den Arbeitstag zu verlängern und den Arbeiter selbst in normalem Abhängigkeitsgrad zu erhalten.",3.30306960128237
42,This is an essential aspect of so-called primitive accumulation.,Es ist dies ein wesentliches Moment der sog. ursprünglichen Akkumulation.,3.649489552735747
43,"The class of wage-labourers, which arose in the latter half of the fourteenth century, formed then and in the following century only a very small part of the population, well protected in its position by the independent peasant proprietors in the countryside and by the organization of guilds in the towns.","Die Klasse der Lohnarbeiter, die in der letzten Hälfte des 14. Jahrhunderts entstand, bildete damals und im folgenden Jahrhundert nur einen sehr geringen Volksbestandteil, der in seiner Stellung stark beschützt war durch die selbständige Bauernwirtschaft auf dem Land und die Zunftorganisation der Stadt.",2.5926799210604994
44,Masters and artisans were not separated by any great social distance either on the land or in the towns.,In Land und Stadt standen sich Meister und Arbeiter sozial nahe.,3.381489088841941
45,"The subordination of labour to capital was only formal, i.e. the mode of production itself had as yet no specifically capitalist character.","Die Unterordnung der Arbeit unter das Kapital war nur formell, d.h. die Produktionsweise selbst besaß noch keinen spezifisch kapitalistischen Charakter.",2.835210983283822
46,The variable element in capital preponderated greatly over the constant element.,Das variable Element des Kapitals wog sehr vor über sein konstantes.,3.3010372893963393
47,"The demand for wage-labour therefore grew rapidly with every accumulation of capital, while the supply only followed slowly behind.","Die Nachfrage nach Lohnarbeit wuchs daher rasch mit jeder Akkumulation des Kapitals, während die Zufuhr von Lohnarbeit nur langsam nachfolgte.",3.1448185912583533
48,A large part of the national product which was later transformed into a fund for the accumulation of capital still entered at that time into the consumption-fund of the workers.,"Ein großer Teil des nationalen Produkts, später in Akkumulationsfonds des Kapitals verwandelt, ging damals noch ein in den Konsumtionsfonds des Arbeiters.",2.832711704082765
49,"Legislation on wage-labour, which aimed from the first at the exploitation of the worker and, as it progressed, remained equally hostile to him, begins in England with the Statute of Labourers issued by Edward III in 1349.","Die Gesetzgebung über die Lohnarbeit, von Haus aus auf Exploitation des Arbeiters gemünzt und ihm in ihrem Fortgang stets gleich feindlich , wird in England eröffnet durch das Statute of Labourers <Arbeiterstatut> Edwards III., 1349.",3.086052029714614
50,"The Ordinance of 1350 in France, issued in the name of King John, corresponds to it.","Ihm entspricht in Frankreich die Ordonnanz von 1350, erlassen im Namen des Königs Jean.",2.9551746271971977
51,The English and French laws run parallel and are identical in content.,Die englische und französische Gesetzgebung laufen parallel und sind dem Inhalt nach identisch.,2.038436459135769
52,"Where these labour-statutes aim at a compulsory extension of the working day, I shall not return to them, as we discussed this point earlier (in Chapter 10, Section 5).","Soweit die Arbeiterstatuten Verlängerung des Arbeitstags zu erzwingen suchen, komme ich nicht auf sie zurück, da dieser Punkt früher (8. Kapitel. 5) erörtert.",2.583555384955725
53,The Statute of Labourers was passed at the urgent insistence of the House of Commons.,Das Statute of Labourers wurde erlassen auf dringende Klage des Hauses der Gemeinen.,3.501776007494312
54,A Tory says naively: ‘Formerly the poor demanded such high wages as to threaten industry and wealth.,"Früher, sagt naiv ein Tory, ""verlangten die Armen so hohen Arbeitslohn, daß sie Industrie und Reichtum bedrohten.",2.9966051983629023
55,"Next, their wages are so low as to threaten industry and wealth equally and perhaps more, but in another way.’","Jetzt ist ihr Lohn so niedrig, daß er ebenfalls Industrie und Reichtum bedroht, aber anders und vielleicht gefährlicher als damals.""",2.45247552074137
56,"A tariff of wages was fixed by law for town and country, for piece-work and day work.","Ein gesetzlicher Lohntarif ward festgesetzt für Stadt und Land, für Stückwerk und Tagwerk.",3.2227451466132813
57,,"Die ländlichen Arbeiter sollen sich aufs Jahr, die städtischen ""auf offnem Markt"" verdingen.",inf
58,"The agricultural labourers were to hire themselves out by the year, the urban workers were to do so ‘on the open market’.","Es wird bei Gefängnisstrafe untersagt, höheren als den statutarischen Lohn zu zahlen, aber der Empfang höheren Lohns wird stärker bestraft als seine Zahlung.",3.553357342912146
59,"It was forbidden, on pain of imprisonment, to pay higher wages than those fixed by the statute, but the taking of higher wages was more severely punished than the giving of them (similarly, in Sections 18 and 19 of Elizabeth’s Statute of Apprentices, ten days’ imprisonment is decreed for the person who pays the higher wages, but twenty-one days for the person who receives those wages).","So wird auch noch in Sect. 18 und 19 des Lehrlingsstatuts von Elisabeth zehntägige Gefängnisstrafe über den verhängt, der höheren Lohn zahlt, dagegen einundzwanzigtägige Gefängnisstrafe über den, der ihn nimmt.",3.143092268690793
60,A statute of 1360 increased the penalties and authorized the masters to extort labour at the legal rate of wages by using corporal punishment.,"Ein Statut von 1360 verschärfte die Strafen und ermächtigte den Meister sogar, durch körperlichen Zwang Arbeit zum gesetzlichen Lohntarif zu erpressen.",3.3227258003877793
61,"All combinations, contracts, oaths, etc. by which masons and carpenters reciprocally bound themselves were declared null and void.","Alle Kombinationen, Verträge, Eide usw., wodurch sich Maurer und Zimmerleute wechselseitig banden, werden für null und nichtig erklärt.",3.7119720488209675
62,"Workers’ combinations are treated as heinous crimes from the fourteenth century until 1825, the year of the repeal of the laws against combinations.","Arbeiterkoalition wird als schweres Verbrechen behandelt vom 14. Jahrhundert bis 1825, dem Jahr der Abschaffung der Antikoalitionsgesetze.",3.0825345347894126
63,"The spirit of the Statute of Labourers of 1349 and its offshoots shines out clearly in the fact that while the state certainly dictates a maximum of wages, it on no account fixes a minimum.","Der Geist des Arbeiterstatuts von 1349 und seiner Nachgeburten leuchtet hell daraus hervor, daß zwar ein Maximum des Arbeitslohns von Staats wegen diktiert wird, aber beileibe kein Minimum.",3.2288171079916057
64,"In the sixteenth century, as we know, the condition of the workers became much worse.","Im 16. Jahrhundert hatte sich, wie man weiß, die Lage der Arbeiter sehr verschlechtert.",2.5849010519009465
65,"The money wage rose, but not in proportion to the depreciation of money and the corresponding rise in the prices of commodities.","Der Geldlohn stieg, aber nicht im Verhältnis zur Depreziation des Geldes und dem entsprechenden Steigen der Warenpreise.",2.6435631608693813
66,Real wages therefore fell.,Der Lohn fiel also in der Tat.,3.3089769075960818
67,"Nevertheless, the laws for keeping them down remained in force, together with the ear-clipping and branding of those ‘whom no one was willing to take into service’.","Dennoch dauerten die Gesetze zum Behuf seiner Herabdrückung fort zugleich mit dem Ohrenabschneiden und Brandmarken derjenigen, ""die niemand in Dienst nehmen wollte"".",2.939717901083725
68,"By 5 Elizabeth, c. (the Statute of Apprentices), the justices of the peace were given the power to fix certain wages and to modify them according to the time of the year and the current prices of commodities.","Durch das Lehrlingsstatut 5 Elisabeth c. 3 wurden die Friedensrichter ermächtigt, gewisse Löhne festzusetzen und nach Jahreszeiten und Warenpreisen zu modifizieren.",3.290953540180333
69,"James I extended these labour regulations to weavers, spinners and indeed to all other possible categories of worker.","Jakob I. dehnte diese Arbeitsregulation auch auf Weber, Spinner und alle möglichen Arbeiterkategorien aus , Georg II. die Gesetze gegen Arbeiterkoalition auf alle Manufakturen.",3.3362913333233934
70,"George II extended the laws against combinations of workers to all manufactures. * In the period of manufacture properly so called, the capitalist mode of production had become sufficiently strong to render legal regulation of wages as impracticable as it was unnecessary; but the ruling classes were unwilling to be without the weapons of the old arsenal in case some emergency should arise.","In der eigentlichen Manufakturperiode war die kapitalistische Produktionsweise hinreichend erstarkt, um gesetzliche Regulation des Arbeitslohns ebenso unausführbar als überflüssig zu machen, aber man wollte für den Notfall die Waffen des alten Arsenals nicht entbehren.",3.282002265645756
71,"Hence, even in the eighteenth century, 7 George I, c. 13, forbade a daily wage higher than 2s.",Noch 8 George II. verbot für Schneidergesellen in London und Umgegend mehr als 2 sh.,3.59652507606341
72,"71/2d. for journeymen tailors in and around London, except in cases of general mourning; 13 George III, c. 68, handed over to the justices of the peace the task of regulating the wages of silk-weavers; in 1796 it required two judgements of the higher courts to decide whether the orders made by justices of the peace as to wages also held good for non-agricultural workers; and in 1799 Parliament confirmed that the wages of mining workers in Scotland should continue to be regulated by a statute of Elizabeth and two Scottish Acts of 1661 and 1671.","71/2 d. Taglohn, außer in Fällen allgemeiner Trauer; noch 13 George III. c. 68 überwies die Reglung des Arbeitslohns der Seidenwirker den Friedensrichtern; noch 1796 bedurfte es zweier Urteile der höheren Gerichtshöfe zur Entscheidung, ob friedensrichterliche Befehle über Arbeitslohn auch für Nichtagrikulturarbeiter gültig seien; noch 1799 bestätigte ein Parlamentsakt, daß der Lohn der Grubenarbeiter von Schottland durch ein Statut der Elisabeth und zwei schottische Akte von 1661 und 1671 reguliert sei.",2.8500774476482627
73,How completely the situation had been transformed in the meantime is proved by a hitherto unheard-of occurrence in the House of Commons.,"Wie sehr sich unterdes die Verhältnisse umgewälzt, bewies ein im englischen Unterhaus unerhörter Vorfall.",3.602155259423202
74,"There, where for more than 400 years laws had been made for the maximum beyond which wages absolutely must not rise, Whitbread in 1796 proposed a legal minimum wage for agricultural labourers.","Hier, wo man seit mehr als 400 Jahren Gesetze fabriziert hatte über das Maximum, welches der Arbeitslohn platterdings nicht übersteigen dürfe, schlug Whitbread 1796 für Ackerbautaglöhner ein gesetzliches Lohnminimum vor.",3.0922556254145515
75,"Pitt opposed this, but conceded that the ‘condition of the poor was cruel’.","Pitt widersetzte sich, gab aber zu, die ""Lage der Armen sei grausam (cruel)"".",2.9501586812799556
76,"Finally, in 1813, the laws for the regulation of wages were repealed.","Endlich, 1813, wurden die Gesetze über Lohnregulation abgeschafft.",2.8197589124930875
77,"They became an absurd anomaly as soon as the capitalist began to regulate his factory by his own private legislation, and was able to make up the wage of the agricultural labourer to the indispensable minimum by means of the poor-rate.","Sie waren eine lächerliche Anomalie, seitdem der Kapitalist die Fabrik durch seine Privatgesetzgebung regulierte und durch die Armensteuer den Lohn des Landarbeiters zum unentbehrlichen Minimum ergänzen ließ.",3.0745493140990434
78,"The provisions of the statutes of labourers as to. contracts between master and workman, regarding giving notice and the like, which allow only a civil action against the master who breaks his contract, but permit, on the contrary, a criminal action against the worker who breaks his contract, are still in full force at this moment. * The barbarous laws against combinations of workers collapsed in 1825 in the face of the threatening attitude of the proletariat.","Die Bestimmungen der Arbeiterstatute <3. und 4. Auflage: Arbeitsstatute>, über Kontrakte zwischen Meister und Lohnarbeiter, über Terminkündigungen u. dergl., welche nur eine Zivilklage gegen die kontraktbrüchigen Meister, aber Kriminalklage gegen den kontraktbrüchigen Arbeiter erlauben, stehn bis zur Stunde in voller Blüte. Die grausamen Gesetze gegen die Koalitionen fielen 1825 vor der drohenden Haltung des Proletariats.",3.07241194139454
79,"Despite this, they disappeared only in part.",Trotzdem fielen sie nur zum Teil.,2.537395254857002
80,Certain pretty survivals of the old statutes did not vanish until 1859.,Einige schöne Überbleibsel der alten Statute verschwanden erst 1859.,3.8467523549763207
81,,Endlich be- anspruchte der Parlamentsakt vom 29. Juni 1871 die letzten Spuren dieser Klassengesetzgebung zu beseitigen durch gesetzliche Anerkennung der Trades' Unions.,inf
82,"Finally, the Act of 29 June 1871 purported to remove the last traces of this class legislation by giving legal recognition to trade unions.† But another Act, of the same date (‘An act to amend the criminal law relating to violence, threats and molestation’),‡ in fact reestablished the previous situation in a new form.","Aber ein Parlamentsakt vom selben Datum (An act to amend the criminal law relating to violence, threats and molestation <Ein Gesetz zur Ergänzung der Kriminalgesetzgebung über Gewaltakte, Bedrohung und Belästigung>) stellte tatsächlich den vorigen Stand in neuer Form wieder her.",3.384584381204892
83,"This Parliamentary conjuring-trick withdrew the means the workers could use in a strike or lock-out from the common law and placed them under exceptional penal legislation, the interpretation of which fell to the manufacturers themselves in their capacity of justices of the peace.","Durch diese parlamentarische Eskamotage wurden die Mittel, deren sich die Arbeiter bedienen können bei einem Strike oder Lock-out (Strike der verbündeten Fabrikanten durch gleichzeitigen Schluß ihrer Fabriken), dem gemeinen Recht entzogen und unter eine Ausnahms-Strafgesetzgebung gestellt, deren Interpretation den Fabrikanten selbst, in ihrer Eigenschaft als Friedensrichter, anheimfiel.",2.8092627852341785
84,"Two years earlier, the same House of Commons, and the same Mr Gladstone, in the customary honourable fashion, had brought in a bill for the removal of all exceptional penal legislation against the working class.",Zwei Jahre vorher hatten dasselbe Unterhaus und derselbe Herr Gladstone in bekannter ehrlicher Weise einen Gesetzentwurf eingebracht zur Abschaffung aller Ausnahms-Strafgesetze gegen die Arbeiterklasse.,3.0005650107963766
85,"But it was never allowed to go beyond the second reading, and the matter was drawn out in this way until at length the ‘great Liberal party’, by an alliance with the Tories, found the courage to turn decisively against the very proletariat that had carried it into power.","Aber weiter als zur zweiten Lesung ließ man es nie kommen, und so schleppte man die Sache in die Länge, bis endlich die ""große liberale Partei"" durch eine Allianz mit den Tories den Mut gewann, sich entschieden gegen dasselbe Proletariat zu wenden, das sie zur Herrschaft gebracht hatte.",2.487589905016746
86,"Not content with this betrayal, the ‘great Liberal party’ allowed the English judges, ever ready to wag their tails for the ruling classes, to exhume the earlier laws against ‘conspiracy’ and apply them to combinations of workers.","Nicht zufrieden mit diesem Verrat, erlaubte die ""große liberale Partei"" den im Dienst der herrschenden Klassen allzeit schweifwedelnden englischen Richtern, die verjährten Gesetze über ""Konspirationen"" wieder auszugraben und sie auf Arbeiterkoalitionen anzuwenden.",3.058514621059553
87,"It is evident that only against its will, and under the pressure of the masses, did the English Parliament give up the laws against strikes and trade unions, after it had itself, with shameless egoism, held the position of a permanent trade union of the capitalists against the workers throughout five centuries.","Man sieht, nur widerwillig und unter dem Druck der Massen verzichtete das englische Parlament auf die Gesetze gegen Strikes und Trades' Unions, nachdem es selbst, fünf Jahrhunderte hindurch, mit schamlosem Egoismus die Stellung einer permanenten Trades' Union der Kapitalisten gegen die Arbeiter behauptet hatte.",2.6172046413860115
88,"During the very first storms of the revolution, the French bourgeoisie dared to take away from the workers the right of association they had just acquired.",Gleich im Beginn des Revolutionssturms wagte die französische Bourgeoisie das eben erst eroberte Assoziationsrecht den Arbeitern wieder zu entziehn.,3.3344109360041054
89,"By a decree of 14 June 1791, they declared that every combination by the workers was ‘an assault on liberty and the declaration of the rights of man’, punishable by a fine of 500 livres, together with deprivation of the rights of an active citizen for one year.","Durch Dekret vom 14. Juni 1791 erklärte sie alle Arbeiterkoalition für ein ""Attentat auf die Freiheit und die Erklärung der Menschenrechte"", strafbar mit 500 Livres nebst einjähriger Entziehung der aktiven Bürgerrechte.",2.979573996392912
90,"This law, which used state compulsion to confine the struggle between capital and labour within limits convenient for capital, has outlived revolutions and changes of dynasties.","Dies Gesetz, welches den Konkurrenzkampf zwischen Kapital und Arbeit staatspolizeilich innerhalb dem Kapital bequemer Schranken einzwängt, überlebte Revolutionen und Dynastiewechsel.",3.2733776398511023
91,Even the Terror left it untouched.,Selbst die Schreckensregierung ließ es unangetastet.,3.240923083361927
