0,Chapter 30: Impact of the Agricultural Revolution on Industry.,5. Rückwirkung der agrikolen Revolution auf die Industrie.,2.78351008239123
16,"The extra labour expended in flax-spinning was realized formerly in extra income to numerous peasant families, or perhaps, in the time of Frederick II, in taxes pour le roi de Prusse. * Now it is realized in profit for a few capitalists.","Die in der Flachsspinnerei verausgabte Extraarbeit realisierte sich früher in Extraeinkommen zahlloser Bauernfamilien oder auch, zu Friedrichs II. Zeit, in Steuern pour le roi de Prusse <für den König von Preußen>. Sie realisiert sich jetzt im Profit weniger Kapitalisten.",3.0449533349313276
17,"The spindles and looms, formerly scattered over the face of the countryside, are now crowded together in a few great labour-barracks, together with the workers and the raw material.","Die Spindeln und Webstühle, früher verteilt über das flache Land, sind jetzt in wenig große Arbeitskasernen zusammengerückt, wie die Arbeiter, wie das Rohmaterial.",3.118462319005529
18,"And spindles, looms and raw material are now transformed from means for the independent existence of the spinners and weavers into means for commanding them and extracting unpaid labour from them.","Und Spindeln und Webstühle und Rohmaterial sind aus Mitteln unabhängiger Existenz für Spinner und Weber von nun an verwandelt in Mittel, sie zu kommandieren und ihnen unbezahlte Arbeit auszusaugen.",2.7598113464019773
19,"You cannot tell from looking at the large factories and the large farms that they have originated from the combination of many small centres of production, and have been built up by the expropriation of many small independent producers.","Den großen Manufakturen, wie den großen Pachtungen, sieht man es nicht an, daß sie aus vielen kleinen Produktionsstätten zusammengeschlagen und durch die Expropriation vieler kleinen unabhängigen Produzenten gebildet sind.",2.667050350418411
20,"Nevertheless, unprejudiced observers did not allow themselves to be deceived.",Jedoch läßt sich die unbefangne Anschauung nicht beirren.,3.702548514678801
21,"In the time of Mirabeau, the ‘lion of the revolution’,* the great factories were still called manufactures réunies, or workshops thrown into one, as we speak of fields thrown into one.","Zur Zeit Mirabeaus, des Revolutionslöwen, hießen die großen Manufakturen noch manufactures réunies, zusammengeschlagne Werkstätten, wie wir von zusammengeschlagnen Äckern sprechen.",3.2309783437821182
22,"Says Mirabeau: ‘We only pay attention to the large-scale factories, in which hundreds of men work under a director, and which are commonly called manufactures réunies.","Man sieht nur, sagt Mirabeau, ""die großen Manufakturen, wo Hunderte von Menschen unter einem Direktor arbeiten und die man gewöhnlich vereinigte Manu- fakturen (rnanufactures réunies) nennt.",2.9262231374424843
23,Those where a very large number of workers work in isolation and on their own account are hardly considered worthy of a glance.,"Diejenigen dagegen, wo eine sehr große Anzahl Arbeiter zersplittert und jeder für seine eigne Rechnung arbeitet, werden kaum eines Blicks gewürdigt.",2.840495298042706
24,They are put entirely into the background.,Man stellt sie ganz in den Hintergrund.,2.4030052047870853
25,"This is a very great mistake, as the latter alone form a really important component of the national wealth… The combined workshop (fabrique réunie) will prodigiously enrich one or two entrepreneurs, but the workers will only be journeymen, paid more or less [according to circumstances], and will not have any share in the success of the undertaking.","Dies ist ein sehr großer Irrtum, denn sie allein bilden einen wirklich wichtigen Bestandteil des Volksreichtums ... Die vereinigte Fabrik (fabrique réunie) wird einen oder zwei Unternehmer wunderbar bereichern, aber die Arbeiter sind nur besser oder schlechter bezahlte Taglöhner und nehmen in nichts am Wohlsein des Unternehmers teil.",2.5727000174381938
26,"In the isolated workshop (fabrique séparée), on the contrary, no one will become rich, but many workers will be comfortable.","In der getrennten Fabrik (fabrique séparée) dagegen wird niemand reich, aber eine Menge Arbeiter befindet sich im Wohlstand ...",3.1256435696562277
27,"The number of hard-working and economical workers will grow, because they will see in good conduct, and in activity, a means of substantially improving their situation, and not of obtaining a small increase of wages that can never be of any importance for the future, and whose sole result is to place men in the position to live a little better, but only from day to day… The isolated, individual workshops, for the most part combined with the cultivation of smallholdings, are the only free ones.’","Die Zahl der fleißigen und wirtschaftlichen Arbeiter wird wachsen, weil sie in weiser Lebensart, in Tätigkeit ein Mittel erblicken, ihre Lage wesentlich zu verbessern, statt eine kleine Lohnerhöhung zu gewinnen, die niemals ein wichtiger Gegenstand für die Zukunft sein kann, sondern die Leute höchstens befähigt, etwas besser von der Hand in den Mund zu leben. Die getrennten individuellen Manufakturen, meist mit kleiner Landwirtschaft verbunden, sind die freien.""",2.6829327799629845
28,"The expropriation and eviction of a part of the agricultural population not only set free for industrial capital the workers, their means of subsistence and the materials of their labour; it also created the home market In fact, the events that transformed the small peasants into wage-labourers, and their means of subsistence and of labour into material [sachliche] elements of capital, created, at the same time, a home market for capital.","Die Expropriation und Verjagung eines Teils des Landvolks setzt mit den Arbeitern nicht nur ihre Lebensmittel und ihr Arbeitsmaterial für das industrielle Kapital frei, sie schafft den innern Markt. In der Tat, die Ereignisse, die die Kleinbauern in Lohnarbeiter und ihre Lebens- und Arbeitsmittel in sachliche Elemente des Kapitals verwandeln, schaffen gleichzeitig diesem letztern seinen inneren Markt.",2.7104683821730284
29,"Formerly, the peasant family produced means of subsistence and raw materials, which they themselves for the most part consumed.","Früher erzeugte und bearbeitete die Bauernfamilie die Lebensmittel und Rohstoffe, die sie nachher größtenteils selbst verzehrte.",3.2920671236240384
30,"These raw materials and means of subsistence have now become commodities; the large-scale farmer sells them, he finds his market in the manufactures.","Diese Rohstoffe und Lebensmittel sind jetzt Waren geworden; der Großpächter verkauft sie, in den Manufakturen findet er seinen Markt.",2.8137392936259293
31,"Yarn, linen, coarse woollen stuffs – things whose raw materials had been within the reach of every peasant family, had been spun and woven by the family for its own use – are now transformed into articles of manufacture, the markets for which are found precisely in the country districts.","Garn, Leinwand, grobe Wollenzeuge, Dinge deren Rohstoffe sich im Bereich jeder Bauernfamilie vorfanden und von ihr zum Selbstgebrauch versponnen und verweht wurden - verwandeln sich jetzt in Manufakturartikel, deren Absatzmarkt grade die Landdistrikte bilden.",3.360851524469832
32,"Previously a mass of small producers, working on their own account, had found their natural counterpart in a large number of scattered customers; but now these customers are concentrated into one great market provided for by industrial capital.","Die zahlreiche zerstreute Kundschaft, bisher bedingt durch eine Menge kleiner, für eigne Rechnung arbeitender Produzenten, konzentriert sich jetzt zu einem großen, vom industriellen Kapital versorgten Markt.",3.0924481812614366
33,"Thus the destruction of the subsidiary trades of the countryside, the process whereby manufacture is divorced from agriculture, goes hand in hand with the expropriation of the previously self-supporting peasants and their separation from their own means of production.","So geht Hand in Hand mit der Expropriation früher selbstwirtschaftender Bauern und ihrer Losscheidung von ihren Produktionsmitteln die Vernichtung der ländlichen Nebenindustrie, der Scheidungsprozeß von Manufaktur und Agrikultur.",2.818618756958818
34,And only the destruction of rural domestic industry can give the home market of a country that extension and stability which the capitalist mode of production requires.,"Und nur die Vernichtung des ländlichen Hausgewerbes kann dem innern Markt eines Landes die Ausdehnung und den festen Bestand geben, deren die kapitalistische Produktionsweise bedarf.",2.4825884225117045
35,"Still, the manufacturing period, properly so called, does not succeed in carrying out this transformation radically and completely.",Jedoch bringt es die eigentliche Manufakturperiode zu keiner radikalen Umgestaltung.,3.161150856870894
36,"It will be remembered that manufacture conquers the domain of national production only very partially, and always rests on the handicrafts of the towns and the domestic subsidiary industries of the rural districts, which stand in the background as its basis.","Man erinnert sich, daß sie sich der nationalen Produktion nur sehr stückweis bemächtigt und immer auf städtischem Handwerk und häuslich-ländlicher Nebenindustrie als breitem Hintergrund ruht.",2.9946504205942115
37,"If it destroys these in one form, in particular branches at certain points, it resurrects them again elsewhere, because it needs them to some extent for the preparation of raw material.","Wenn sie letztre unter einer Form, in besondren Geschäftszweigen, auf gewissen Punkten vernichtet, ruft sie dieselbe auf andren wieder hervor, weil sie derselben zur Bearbeitung des Rohmaterials bis zu einem bestimmten Grad bedarf.",2.701204876957054
38,"It produces, therefore, a new class of small villagers who cultivate the soil as a subsidiary occupation, but find their chief occupation in industrial labour, the products of which they sell to the manufacturers directly, or through the medium of merchants.","Sie produziert daher eine neue Klasse kleiner Landleute, welche die Bodenbestellung als Nebenzweig und die industrielle Arbeit zum Verkauf des Produkts an die Manufaktur - direkt, oder auf dem Umweg des Kaufmanns - als Hauptgeschäft treiben.",2.988455723711846
39,"This is one cause, though not the chief one, of a phenomenon which at first puzzles the student of English history.","Dies ist ein Grund, wenn auch nicht der Hauptgrund, eines Phänomens, welches den Forscher der englischen Geschichte zunächst verwirrt.",2.6174830742127004
40,"From the last third of the fifteenth century we find continual complaints, only interrupted at certain intervals, about the encroachment of capitalist farming in the country districts and the progressive annihilation of the peasantry.","Vom letzten Dritteil des 15. Jahrhunderts an findet er fortlaufende, nur in gewissen Intervallen unterbrochne Klage über die zunehmende Kapitalwirtschaft auf dem Land und die progressive Vernichtung der Bauerschaft.",3.0756135642851343
41,"On the other hand, we always find that this peasantry turns up again, although in diminished number, and in a progressively worse situation.","Andrerseits findet er stets diese Bauerschaft wieder von neuem vor, wenn auch in verminderter Zahl und unter stets verschlechterter Form.",3.0228371286830433
42,"The chief cause is this: England is at certain epochs mainly a corn-growing country, at others mainly a cattle-breeding country. These periods alternate, and the alternation is accompanied by fluctuations in the extent of peasant cultivation.","Der Hauptgrund ist: England ist vorzugsweise bald Kornbauer, bald Viehzüchter, in Wechselperioden, und mit ihnen schwankt der Umfang des bäuerlichen Betriebs.",3.4602436361340514
43,"A consistent foundation for capitalist agriculture could only be provided by large-scale industry, in the form of machinery; it is large-scale industry which radically expropriates the vast majority of the agricultural population and completes the divorce between agriculture and rural domestic industry, tearing up the latter’s roots, which are spinning and weaving.","Erst die große Industrie liefert mit den Maschinen die konstante Grundlage der kapitalistischen Agrikultur, expropriiert radikal die ungeheure Mehrzahl des Landvolks und vollendet die Scheidung zwischen Ackerbau und häuslich-ländlichem Gewerbe, dessen Wurzeln sie ausreißt - Spinnerei und Weberei.",3.0622231486003253
44,"It therefore also conquers the entire home market for industrial capital, for the first time.8",Sie erobert daher auch erst dem industriellen Kapital den ganzen innern Markt.,2.71163613423834
