Chapter 28: Bloody Legislation Against the Expropriated, from the End of the 15th Century.	3. Blutgesetzgebung gegen die Expropriierten seit Ende des 15. Jahrhunderts.	ch28_clean.en-ch28_clean.de
For the second arrest for vagabondage the whipping is to be repeated and half the ear sliced off; but for the third relapse the offender is to be executed as a hardened criminal and enemy of the common weal.	Bei zweiter Ertappung auf Vagabundage soll die Auspeitschung wiederholt und das halbe Ohr abgeschnitten, bei drittem Rückfall aber der Betroffne als schwerer Verbrecher und Feind des Gemeinwesens hingerichtet werden.	ch28_clean.en-ch28_clean.de
Edward VI. : A statute of the first year of his reign, 1547, ordains that if anyone refuses to work, he shall be condemned as a slave to the person who has denounced him as an idler.	Edward VI. : Ein Statut aus seinem ersten Regierungsjahr, 1547, verordnet, daß, wenn jemand zu arbeiten weigert, soll er als Sklave der Person zugeurteilt werden, die ihn als Müßiggänger denunziert hat.	ch28_clean.en-ch28_clean.de
The master shall feed his slave on bread and water, weak broth and such refuse meat as he thinks fit.	Der Meister soll seinen Sklaven mit Brot und Wasser nähren, schwachem Getränk und solchen Fleischabfällen, wie ihm passend dünkt.	ch28_clean.en-ch28_clean.de
He has the right to force him to do any work, no matter how disgusting, with whip and chains.	Er hat das Recht, ihn zu jeder auch noch so eklen Arbeit durch Auspeitschung und Ankettung zu treiben.	ch28_clean.en-ch28_clean.de
If the slave is absent a fortnight, he is condemned to slavery for life and is to be branded on forehead or back with the letter S; if he runs away thrice, he is to be executed as a felon.	Wenn sich der Sklave für 14 Tage entfernt, ist er zur Sklaverei auf Lebenszeit verurteilt und soll auf Stirn oder Backen mit dem Buchstaben S gebrandmarkt, wenn er zum drittenmal fortläuft, als Staatsverräter hingerichtet werden.	ch28_clean.en-ch28_clean.de
The master can sell him, bequeath him, let him out on hire as a slave, just as any other personal chattel or cattle.	Der Meister kann ihn verkaufen, vermachen, als Sklaven ausdingen, ganz wie andres bewegliches Gut und Vieh.	ch28_clean.en-ch28_clean.de
If the slaves attempt anything against the masters, they are also to be executed.	Unternehmen die Sklaven etwas gegen die Herrschaft, so sollen sie ebenfalls hingerichtet werden.	ch28_clean.en-ch28_clean.de
Justices of the peace, on information, are to hunt the rascals down.	Friedensrichter sollen auf Information den Kerls nachspüren.	ch28_clean.en-ch28_clean.de
If it happens that a vagabond has been idling about for three days, he is to be taken to his birthplace, branded with a red-hot iron with the letter V on the breast and be set to work, in chains, in the streets or at some other labour.	Findet sich, daß ein Herumstreicher drei Tage gelungert hat, so soll er nach seinem Geburtsort gebracht, mit rotglühendem Eisen auf die Brust mit dem Zeichen V gebrandmarkt, und dort in Ketten auf der Straße oder zu sonstigen Diensten verwandt werden.	ch28_clean.en-ch28_clean.de
If the vagabond gives a false birthplace, he is then to become the slave for life of this place, of its inhabitants, or its corporation, and to be branded with an S. All persons have the right to take away the children of the vagabonds and to keep them as apprentices, the young men until the 24th year, the girls until the 20th.	Gibt der Vagabund einen falschen Geburtsort an, so soll er zur Strafe der lebenslängliche Sklave dieses Orts, der Einwohner oder Korporation sein und mit S gebrandmarkt werden. Alle Personen haben das Recht, den Vagabunden ihre Kinder wegzunehmen und als Lehrlinge, Jungen bis zum 24. Jahr, Mädchen bis zum 20. Jahr, zu halten.	ch28_clean.en-ch28_clean.de
If they run away, they are to become up to this age the slaves of their masters, who can put them in irons, whip them, &c., if they like.	Laufen sie weg, so sollen sie bis zu diesem Alter die Sklaven der Lehrmeister sein, die sie in Ketten legen, geißeln etc. können, wie sie wollen.	ch28_clean.en-ch28_clean.de
Every master may put an iron ring round the neck, arms or legs of his slave, by which to know him more easily and to be more certain of him.	Jeder Meister darf einen eisernen Ring um Hals, Arme oder Beine seines Sklaven legen, damit er ihn besser kennt und seiner sicherer ist.	ch28_clean.en-ch28_clean.de
The last part of this statute provides, that certain poor people may be employed by a place or by persons, who are willing to give them food and drink and to find them work.	Der letzte Teil dieses Status sieht vor, daß gewisse Arme von dem Ort oder den Individuen beschäftigt werden sollen, die ihnen zu essen und zu trinken geben und Arbeit für sie finden wollen.	ch28_clean.en-ch28_clean.de
This kind of parish slaves was kept up in England until far into the 19th century under the name of “roundsmen.”	Diese Sorte Pfarreisklaven hat sich bis tief ins 19. Jahrhundert in England erhalten unter dem Namen roundsmen (Umgeher).	ch28_clean.en-ch28_clean.de
Elizabeth, 1572: Unlicensed beggars above 14 years of age are to be severely flogged and branded on the left ear unless some one will take them into service for two years; in case of a repetition of the offence, if they are over 18, they are to be executed, unless some one will take them into service for two years; but for the third offence they are to be executed without mercy as felons.	Elisabeth, 1572: Bettler ohne Lizenz und über 14 Jahre alt sollen hart gepeitscht und am linken Ohrlappen gebrandmarkt werden, falls sie keiner für zwei Jahre in Dienst nehmen will; im Wiederholungsfall, wenn über 18 Jahre alt, sollen sie - hingerichtet werden, falls sie niemand für zwei Jahre in Dienst nehmen will, bei dritter Rezidive aber ohne Gnade als Staatsverräter hingerichtet werden.	ch28_clean.en-ch28_clean.de
Similar statutes: 18 Elizabeth, c.	Ähnliche Statute: 18 Elisabeth c. 13 und 1597.	ch28_clean.en-ch28_clean.de
13, and another of 1597. James 1: Any one wandering about and begging is declared a rogue and a vagabond.	(221a) Jakob 1.: Eine herumwandernde und bettelnde Person wird für einen Landstreicher und Vagabunden erklärt.	ch28_clean.en-ch28_clean.de
Justices of the peace in petty sessions are authorised to have them publicly whipped and for the first offence to imprison them for 6 months, for the second for 2 years.	Die Friedensrichter in den Petty Sessions sind bevollmächtigt, sie öffentlich auspeitschen zu lassen und bei erster Ertappung 6 Monate, bei zweiter 2 Jahre ins Gefängnis zu sper- ren.	ch28_clean.en-ch28_clean.de
Whilst in prison they are to be whipped as much and as often as the justices of the peace think fit...	Während des Gefängnisses soll sie so oft und soviel gepeitscht werden, als die Friedensrichter für gut halten ...	ch28_clean.en-ch28_clean.de
Incorrigible and dangerous rogues are to be branded with an R on the left shoulder and set to hard labour, and if they are caught begging again, to be executed without mercy.	Die unverbesserlichen und gefährlichen Landstreicher sollen auf der linken Schulter mit R gebrandmarkt und an die Zwangsarbeit gesetzt, und wenn man sie wieder auf dem Bettel ertappt, ohne Gnade hingerichtet werden.	ch28_clean.en-ch28_clean.de
These statutes, legally binding until the beginning of the 18th century, were only repealed by 12 Anne, c.	Diese Anordnungen, gesetzlich bis in die erste Zeit des 18. Jahrhunderts, wurden erst aufgehoben durch 12 Anna c. 23. Ähnliche Gesetze in Frankreich, wo sich Mitte des 17. Jahrhunderts ein Vagabundenkönigreich (royaume des truands) zu Paris etabliert hatte.	ch28_clean.en-ch28_clean.de
23. Similar laws in France, where by the middle of the 17th century a kingdom of vagabonds (truands) was established in Paris.	Noch in der ersten Zeit Ludwigs XVI.	ch28_clean.en-ch28_clean.de
Even at the beginning of Louis XVI.’s reign (Ordinance of July 13th, 1777) every man in good health from 16 to 60 years of age, if without means of subsistence and not practising a trade, is to be sent to the galleys.	(Ordonnanz vom 13. Juli 1777) sollte jeder gesund gebaute Mensch vom 16. bis 60. Jahr, wenn ohne Existenzmittel und Ausübung einer Profession, auf die Galeeren geschickt werden.	ch28_clean.en-ch28_clean.de
Of the same nature are the statute of Charles V. for the Netherlands (October, 1537), the first edict of the States and Towns of Holland (March 10, 1614), the “Plakaat” of the United Provinces (June 26, 1649), &c. Thus were the agricultural people, first forcibly expropriated from the soil, driven from their homes, turned into vagabonds, and then whipped, branded, tortured by laws grotesquely terrible, into the discipline necessary for the wage system.	Ähnlich das Statut Karls V. für die Niederlande vom Oktober 1537, das erste Edikt der Staaten und Städte von Holland vom 19. März 1614, das Plakat der Vereinigten Provinzen vom 25. Juni 1649 usw. So wurde das von Grund und Boden gewaltsam expropriierte, verjagte und zum Vagabunden gemachte Landvolk durch grotesk-terroristische Gesetze in eine dem System der Lohnarbeit notwendige Disziplin hineingepeitscht, -gebrandmarkt, -gefoltert.	ch28_clean.en-ch28_clean.de
It is not enough that the conditions of labour are concentrated in a mass, in the shape of capital, at the one pole of society, while at the other are grouped masses of men, who have nothing to sell but their labour-power.	Es ist nicht genug, daß die Arbeitsbedingungen auf den einen Pol als Kapital treten und auf den andren Pol Menschen, welche nichts zu verkaufen haben als ihre Arbeitskraft.	ch28_clean.en-ch28_clean.de
Neither is it enough that they are compelled to sell it voluntarily.	Es genügt auch nicht, sie zu zwingen, sich freiwillig zu verkaufen.	ch28_clean.en-ch28_clean.de
The advance of capitalist production develops a working class, which by education, tradition, habit, looks upon the conditions of that mode of production as self-evident laws of Nature.	Im Fortgang der kapitalistischen Produktion entwickelt sich eine Arbeiterklasse, die aus Erziehung, Tradition, Gewohnheit die Anforderungen jener Produktionsweise als selbstverständliche Naturgesetze anerkennt.	ch28_clean.en-ch28_clean.de
The organisation of the capitalist process of production, once fully developed, breaks down all resistance. The constant generation of a relative surplus-population keeps the law of supply and demand of labour, and therefore keeps wages, in a rut that corresponds with the wants of capital. The dull compulsion of economic relations completes the subjection of the labourer to the capitalist.	Die Organisation des ausgebildeten kapitalistischen Produktionsprozesses bricht jeden Widerstand, die beständige Erzeugung einer relativen Übervölkerung hält das Gesetz der Zufuhr von und Nachfrage nach Arbeit und daher den Arbeitslohn in einem den Verwertungsbedürfnissen des Kapitals entsprechenden Gleise, der stumme Zwang der ökonomischen Verhältnisse besiegelt die Herrschaft des Kapitalisten über den Arbeiter.	ch28_clean.en-ch28_clean.de
Direct force, outside economic conditions, is of course still used, but only exceptionally.	Außerökonomische, unmittelbare Gewalt wird zwar immer noch angewandt, aber nur ausnahmsweise.	ch28_clean.en-ch28_clean.de
In the ordinary run of things, the labourer can be left to the “natural laws of production,” i.e., to his dependence on capital, a dependence springing from, and guaranteed in perpetuity by, the conditions of production themselves.	Für den gewöhnlichen Gang der Dinge kann der Arbeiter den "Naturgesetzen der Produktion" überlassen bleiben, d.h. seiner aus den Produktionsbedingungen selbst entspringenden, durch sie garantierten und verewigten Abhängigkeit vom Kapital.	ch28_clean.en-ch28_clean.de
It is otherwise during the historic genesis of capitalist production.	Anders während der historischen Genesis der kapitalistischen Produktion.	ch28_clean.en-ch28_clean.de
The bourgeoisie, at its rise, wants and uses the power of the state to “regulate” wages, i.e., to force them within the limits suitable for surplus-value making, to lengthen the working day and to keep the labourer himself in the normal degree of dependence.	Die aufkommende Bourgeoisie braucht und verwendet die Staatsgewalt, um den Arbeitslohn zu "regulieren", d.h. innerhalb der Plusmacherei zusagender Schranken zu zwängen, um den Arbeitstag zu verlängern und den Arbeiter selbst in normalem Abhängigkeitsgrad zu erhalten.	ch28_clean.en-ch28_clean.de
This is an essential element of the so-called primitive accumulation.	Es ist dies ein wesentliches Moment der sog. ursprünglichen Akkumulation.	ch28_clean.en-ch28_clean.de
The class of wage labourers, which arose in the latter half of the 14th century, formed then and in the following century only a very small part of the population, well protected in its position by the independent peasant proprietary in the country and the guild-organisation in the town.	Die Klasse der Lohnarbeiter, die in der letzten Hälfte des 14. Jahrhunderts entstand, bildete damals und im folgenden Jahrhundert nur einen sehr geringen Volksbestandteil, der in seiner Stellung stark beschützt war durch die selbständige Bauernwirtschaft auf dem Land und die Zunftorganisation der Stadt.	ch28_clean.en-ch28_clean.de
In country and town master and workmen stood close together socially.	In Land und Stadt standen sich Meister und Arbeiter sozial nahe.	ch28_clean.en-ch28_clean.de
The subordination of labour to capital was only formal – i.e., the mode of production itself had as yet no specific capitalistic character.	Die Unterordnung der Arbeit unter das Kapital war nur formell, d.h. die Produktionsweise selbst besaß noch keinen spezifisch kapitalistischen Charakter.	ch28_clean.en-ch28_clean.de
Variable capital preponderated greatly over constant.	Das variable Element des Kapitals wog sehr vor über sein konstantes.	ch28_clean.en-ch28_clean.de
The demand for wage labour grew, therefore, rapidly with every accumulation of capital, whilst the supply of wage labour followed but slowly.	Die Nachfrage nach Lohnarbeit wuchs daher rasch mit jeder Akkumulation des Kapitals, während die Zufuhr von Lohnarbeit nur langsam nachfolgte.	ch28_clean.en-ch28_clean.de
A large part of the national product, changed later into a fund of capitalist accumulation, then still entered into the consumption-fund of the labourer.	Ein großer Teil des nationalen Produkts, später in Akkumulationsfonds des Kapitals verwandelt, ging damals noch ein in den Konsumtionsfonds des Arbeiters.	ch28_clean.en-ch28_clean.de
Legislation on wage labour (from the first, aimed at the exploitation of the labourer and, as it advanced, always equally hostile to him), is started in England by the Statute of Labourers, of Edward III., 1349.	Die Gesetzgebung über die Lohnarbeit, von Haus aus auf Exploitation des Arbeiters gemünzt und ihm in ihrem Fortgang stets gleich feindlich , wird in England eröffnet durch das Statute of Labourers <Arbeiterstatut> Edwards III., 1349.	ch28_clean.en-ch28_clean.de
The ordinance of 1350 in France, issued in the name of King John, corresponds with it.	Ihm entspricht in Frankreich die Ordonnanz von 1350, erlassen im Namen des Königs Jean.	ch28_clean.en-ch28_clean.de
English and French legislation run parallel and are identical in purport.	Die englische und französische Gesetzgebung laufen parallel und sind dem Inhalt nach identisch.	ch28_clean.en-ch28_clean.de
So far as the labour-statutes aim at compulsory extension of the working day, I do not return to them, as this point was treated earlier (Chap.	Soweit die Arbeiterstatuten Verlängerung des Arbeitstags zu erzwingen suchen, komme ich nicht auf sie zurück, da dieser Punkt früher (8. Kapitel.	ch28_clean.en-ch28_clean.de
X., Section 5).	5) erörtert.	ch28_clean.en-ch28_clean.de
The Statute of Labourers was passed at the urgent instance of the House of Commons.	Das Statute of Labourers wurde erlassen auf dringende Klage des Hauses der Gemeinen.	ch28_clean.en-ch28_clean.de
A Tory says naively: “Formerly the poor demanded such high wages as to threaten industry and wealth.	"Früher", sagt naiv ein Tory, "verlangten die Armen so hohen Arbeitslohn, daß sie Industrie und Reichtum bedrohten.	ch28_clean.en-ch28_clean.de
Next, their wages are so low as to threaten industry and wealth equally and perhaps more, but in another way.”	Jetzt ist ihr Lohn so niedrig, daß er ebenfalls Industrie und Reichtum bedroht, aber anders und vielleicht gefährlicher als damals."	ch28_clean.en-ch28_clean.de
A tariff of wages was fixed by law for town and country, for piece-work and day-work.	Ein gesetzlicher Lohntarif ward festgesetzt für Stadt und Land, für Stückwerk und Tagwerk.	ch28_clean.en-ch28_clean.de
The agricultural labourers were to hire themselves out by the year, the town ones “in open market.”	Die ländlichen Arbeiter sollen sich aufs Jahr, die städtischen "auf offnem Markt" verdingen.	ch28_clean.en-ch28_clean.de
It was forbidden, under pain of imprisonment, to pay higher wages than those fixed by the statute, but the taking of higher wages was more severely punished than the giving them.	Es wird bei Gefängnisstrafe untersagt, höheren als den statutarischen Lohn zu zahlen, aber der Empfang höheren Lohns wird stärker bestraft als seine Zahlung. So wird auch noch in Sect.	ch28_clean.en-ch28_clean.de
[So also in Sections 18 and 19 of the Statute of Apprentices of Elizabeth, ten days’ imprisonment is decreed for him that pays the higher wages, but twenty-one days for him that receives them.]	18 und 19 des Lehrlingsstatuts von Elisabeth zehntägige Gefängnisstrafe über den verhängt, der höheren Lohn zahlt, dagegen einundzwanzigtägige Gefängnisstrafe über den, der ihn nimmt.	ch28_clean.en-ch28_clean.de
A statute of 1360 increased the penalties and authorised the masters to extort labour at the legal rate of wages by corporal punishment.	Ein Statut von 1360 verschärfte die Strafen und ermächtigte den Meister sogar, durch körperlichen Zwang Arbeit zum gesetzlichen Lohntarif zu erpressen.	ch28_clean.en-ch28_clean.de
All combinations, contracts, oaths, &c., by which masons and carpenters reciprocally bound themselves, were declared null and void.	Alle Kombinationen, Verträge, Eide usw., wodurch sich Maurer und Zimmerleute wechselseitig banden, werden für null und nichtig erklärt.	ch28_clean.en-ch28_clean.de
Coalition of the labourers is treated as a heinous crime from the 14th century to 1825, the year of the repeal of the laws against Trades’ Unions.	Arbeiterkoalition wird als schweres Verbrechen behandelt vom 14. Jahrhundert bis 1825, dem Jahr der Abschaffung der Antikoalitionsgesetze.	ch28_clean.en-ch28_clean.de
The spirit of the Statute of Labourers of 1349 and of its offshoots comes out clearly in the fact, that indeed a maximum of wages is dictated by the State, but on no account a minimum.	Der Geist des Arbeiterstatuts von 1349 und seiner Nachgeburten leuchtet hell daraus hervor, daß zwar ein Maximum des Arbeitslohns von Staats wegen diktiert wird, aber beileibe kein Minimum.	ch28_clean.en-ch28_clean.de
In the 16th century, the condition of the labourers had, as we know, become much worse.	Im 16. Jahrhundert hatte sich, wie man weiß, die Lage der Arbeiter sehr verschlechtert.	ch28_clean.en-ch28_clean.de
The money wage rose, but not in proportion to the depreciation of money and the corresponding rise in the prices of commodities.	Der Geldlohn stieg, aber nicht im Verhältnis zur Depreziation des Geldes und dem entsprechenden Steigen der Warenpreise.	ch28_clean.en-ch28_clean.de
Wages, therefore, in reality fell.	Der Lohn fiel also in der Tat.	ch28_clean.en-ch28_clean.de
Nevertheless, the laws for keeping them down remained in force, together with the ear-clipping and branding of those “whom no one was willing to take into service.”	Dennoch dauerten die Gesetze zum Behuf seiner Herabdrückung fort zugleich mit dem Ohrenabschneiden und Brandmarken derjenigen, "die niemand in Dienst nehmen wollte".	ch28_clean.en-ch28_clean.de
By the Statute of Apprentices 5 Elizabeth, c. 3, the justices of the peace were empowered to fix certain wages and to modify them according to the time of the year and the price of commodities.	Durch das Lehrlingsstatut 5 Elisabeth c. 3 wurden die Friedensrichter ermächtigt, gewisse Löhne festzusetzen und nach Jahreszeiten und Warenpreisen zu modifizieren.	ch28_clean.en-ch28_clean.de
James I. extended these regulations of labour also to weavers, spinners, and all possible categories of workers. George II. extended the laws against coalitions of labourers to manufactures.	Jakob I. dehnte diese Arbeitsregulation auch auf Weber, Spinner und alle möglichen Arbeiterkategorien aus , Georg II. die Gesetze gegen Arbeiterkoalition auf alle Manufakturen.	ch28_clean.en-ch28_clean.de
In the manufacturing period par excellence, the capitalist mode of production had become sufficiently strong to render legal regulation of wages as impracticable as it was unnecessary; but the ruling classes were unwilling in case of necessity to be without the weapons of the old arsenal.	In der eigentlichen Manufakturperiode war die kapitalistische Produktionsweise hinreichend erstarkt, um gesetzliche Regulation des Arbeitslohns ebenso unausführbar als überflüssig zu machen, aber man wollte für den Notfall die Waffen des alten Arsenals nicht entbehren.	ch28_clean.en-ch28_clean.de
Still, 8 George II. forbade a higher day’s wage than 2s.	Noch 8 George II. verbot für Schneidergesellen in London und Umgegend mehr als 2 sh.	ch28_clean.en-ch28_clean.de
7½d. for journeymen tailors in and around London, except in cases of general mourning; still, 13 George III., c. 68, gave the regulation of the wages of silk-weavers to the justices of the peace; still, in 1706, it required two judgments of the higher courts to decide, whether the mandates of justices of the peace as to wages held good also for non-agricultural labourers; still, in 1799, an act of Parliament ordered that the wages of the Scotch miners should continue to be regulated by a statute of Elizabeth and two Scotch acts of 1661 and 1671.	71/2 d. Taglohn, außer in Fällen allgemeiner Trauer; noch 13 George III. c. 68 überwies die Reglung des Arbeitslohns der Seidenwirker den Friedensrichtern; noch 1796 bedurfte es zweier Urteile der höheren Gerichtshöfe zur Entscheidung, ob friedensrichterliche Befehle über Arbeitslohn auch für Nichtagrikulturarbeiter gültig seien; noch 1799 bestätigte ein Parlamentsakt, daß der Lohn der Grubenarbeiter von Schottland durch ein Statut der Elisabeth und zwei schottische Akte von 1661 und 1671 reguliert sei.	ch28_clean.en-ch28_clean.de
How completely in the meantime circumstances had changed, is proved by an occurrence unheard-of before in the English Lower House.	Wie sehr sich unterdes die Verhältnisse umgewälzt, bewies ein im englischen Unterhaus unerhörter Vorfall.	ch28_clean.en-ch28_clean.de
In that place, where for more than 400 years laws had been made for the maximum, beyond which wages absolutely must not rise, Whitbread in 1796 proposed a legal minimum wage for agricultural labourers.	Hier, wo man seit mehr als 400 Jahren Gesetze fabriziert hatte über das Maximum, welches der Arbeitslohn platterdings nicht übersteigen dürfe, schlug Whitbread 1796 für Ackerbautaglöhner ein gesetzliches Lohnminimum vor.	ch28_clean.en-ch28_clean.de
Pitt opposed this, but confessed that the “condition of the poor was cruel.”	Pitt widersetzte sich, gab aber zu, die "Lage der Armen sei grausam (cruel)".	ch28_clean.en-ch28_clean.de
Finally, in 1813, the laws for the regulation of wages were repealed.	Endlich, 1813, wurden die Gesetze über Lohnregulation abgeschafft.	ch28_clean.en-ch28_clean.de
They were an absurd anomaly, since the capitalist regulated his factory by his private legislation, and could by the poor-rates make up the wage of the agricultural labourer to the indispensable minimum.	Sie waren eine lächerliche Anomalie, seitdem der Kapitalist die Fabrik durch seine Privatgesetzgebung regulierte und durch die Armensteuer den Lohn des Landarbeiters zum unentbehrlichen Minimum ergänzen ließ.	ch28_clean.en-ch28_clean.de
The provisions of the labour statutes as to contracts between master and workman, as to giving notice and the like, which only allow of a civil action against the contract-breaking master, but on the contrary permit a criminal action against the contract-breaking workman, are to this hour (1873) in full force.	Die Bestimmungen der Arbeiterstatute <3. und 4. Auflage: Arbeitsstatute>, über Kontrakte zwischen Meister und Lohnarbeiter, über Terminkündigungen u. dergl., welche nur eine Zivilklage gegen die kontraktbrüchigen Meister, aber Kriminalklage gegen den kontraktbrüchigen Arbeiter erlauben, stehn bis zur Stunde in voller Blüte.	ch28_clean.en-ch28_clean.de
The barbarous laws against Trades’ Unions fell in 1825 before the threatening bearing of the proletariat.	Die grausamen Gesetze gegen die Koalitionen fielen 1825 vor der drohenden Haltung des Proletariats.	ch28_clean.en-ch28_clean.de
Despite this, they fell only in part.	Trotzdem fielen sie nur zum Teil.	ch28_clean.en-ch28_clean.de
Certain beautiful fragments of the old statute vanished only in 1859.	Einige schöne Überbleibsel der alten Statute verschwanden erst 1859.	ch28_clean.en-ch28_clean.de
Finally, the act of Parliament of June 29, 1871, made a pretence of removing the last traces of this class of legislation by legal recognition of Trades’ Unions.	Endlich be- anspruchte der Parlamentsakt vom 29. Juni 1871 die letzten Spuren dieser Klassengesetzgebung zu beseitigen durch gesetzliche Anerkennung der Trades' Unions.	ch28_clean.en-ch28_clean.de
But an act of Parliament of the same date (an act to amend the criminal law relating to violence, threats, and molestation), re-established, in point of fact, the former state of things in a new shape.	Aber ein Parlamentsakt vom selben Datum (An act to amend the criminal law relating to violence, threats and molestation <Ein Gesetz zur Ergänzung der Kriminalgesetzgebung über Gewaltakte, Bedrohung und Belästigung>) stellte tatsächlich den vorigen Stand in neuer Form wieder her.	ch28_clean.en-ch28_clean.de
By this Parliamentary escamotage the means which the labourers could use in a strike or lock-out were withdrawn from the laws common to all citizens, and placed under exceptional penal legislation, the interpretation of which fell to the masters themselves in their capacity as justices of the peace.	Durch diese parlamentarische Eskamotage wurden die Mittel, deren sich die Arbeiter bedienen können bei einem Strike oder Lock-out (Strike der verbündeten Fabrikanten durch gleichzeitigen Schluß ihrer Fabriken), dem gemeinen Recht entzogen und unter eine Ausnahms-Strafgesetzgebung gestellt, deren Interpretation den Fabrikanten selbst, in ihrer Eigenschaft als Friedensrichter, anheimfiel.	ch28_clean.en-ch28_clean.de
Two years earlier, the same House of Commons and the same Mr. Gladstone in the well-known straightforward fashion brought in a bill for the abolition of all exceptional penal legislation against the working class.	Zwei Jahre vorher hatten dasselbe Unterhaus und derselbe Herr Gladstone in bekannter ehrlicher Weise einen Gesetzentwurf eingebracht zur Abschaffung aller Ausnahms-Strafgesetze gegen die Arbeiterklasse.	ch28_clean.en-ch28_clean.de
But this was never allowed to go beyond the second reading, and the matter was thus protracted until at last the “great Liberal party,” by an alliance with the Tories, found courage to turn against the very proletariat that had carried it into power.	Aber weiter als zur zweiten Lesung ließ man es nie kommen, und so schleppte man die Sache in die Länge, bis endlich die "große liberale Partei" durch eine Allianz mit den Tories den Mut gewann, sich entschieden gegen dasselbe Proletariat zu wenden, das sie zur Herrschaft gebracht hatte.	ch28_clean.en-ch28_clean.de
Not content with this treachery, the “great Liberal party” allowed the English judges, ever complaisant in the service of the ruling classes, to dig up again the earlier laws against “conspiracy,” and to apply them to coalitions of labourers.	Nicht zufrieden mit diesem Verrat, erlaubte die "große liberale Partei" den im Dienst der herrschenden Klassen allzeit schweifwedelnden englischen Richtern, die verjährten Gesetze über "Konspirationen" wieder auszugraben und sie auf Arbeiterkoalitionen anzuwenden.	ch28_clean.en-ch28_clean.de
We see that only against its will and under the pressure of the masses did the English Parliament give up the laws against Strikes and Trades’ Unions, after it had itself, for 500 years, held, with shameless egoism, the position of a permanent Trades’ Union of the capitalists against the labourers.	Man sieht, nur widerwillig und unter dem Druck der Massen verzichtete das englische Parlament auf die Gesetze gegen Strikes und Trades' Unions, nachdem es selbst, fünf Jahrhunderte hindurch, mit schamlosem Egoismus die Stellung einer permanenten Trades' Union der Kapitalisten gegen die Arbeiter behauptet hatte.	ch28_clean.en-ch28_clean.de
