Chapter 30: Reaction of the Agricultural Revolution on Industry.	5. Rückwirkung der agrikolen Revolution auf die Industrie.	ch30_clean.en-ch30_clean.de
Yarn, linen, coarse woollen stuffs – things whose raw materials had been within the reach of every peasant family, had been spun and woven by it for its own use – were now transformed into articles of manufacture, to which the country districts at once served for markets.	Garn, Leinwand, grobe Wollenzeuge, Dinge deren Rohstoffe sich im Bereich jeder Bauernfamilie vorfanden und von ihr zum Selbstgebrauch versponnen und verweht wurden - verwandeln sich jetzt in Manufakturartikel, deren Absatzmarkt grade die Landdistrikte bilden.	ch30_clean.en-ch30_clean.de
The many scattered customers, whom stray artisans until now had found in the numerous small producers working on their own account, concentrate themselves now into one great market provided for by industrial capital.	Die zahlreiche zerstreute Kundschaft, bisher bedingt durch eine Menge kleiner, für eigne Rechnung arbeitender Produzenten, konzentriert sich jetzt zu einem großen, vom industriellen Kapital versorgten Markt.	ch30_clean.en-ch30_clean.de
Thus, hand in hand with the expropriation of the self-supporting peasants, with their separation from their means of production, goes the destruction of rural domestic industry, the process of separation between manufacture and agriculture.	So geht Hand in Hand mit der Expropriation früher selbstwirtschaftender Bauern und ihrer Losscheidung von ihren Produktionsmitteln die Vernichtung der ländlichen Nebenindustrie, der Scheidungsprozeß von Manufaktur und Agrikultur.	ch30_clean.en-ch30_clean.de
And only the destruction of rural domestic industry can give the internal market of a country that extension and consistence which the capitalist mode of production requires.	Und nur die Vernichtung des ländlichen Hausgewerbes kann dem innern Markt eines Landes die Ausdehnung und den festen Bestand geben, deren die kapitalistische Produktionsweise bedarf.	ch30_clean.en-ch30_clean.de
Still the manufacturing period, properly so called, does not succeed in carrying out this transformation radically and completely.	Jedoch bringt es die eigentliche Manufakturperiode zu keiner radikalen Umgestaltung.	ch30_clean.en-ch30_clean.de
It will be remembered that manufacture, properly so called, conquers but partially the domain of national production, and always rests on the handicrafts of the town and the domestic industry of the rural districts as its ultimate basis.	Man erinnert sich, daß sie sich der nationalen Produktion nur sehr stückweis bemächtigt und immer auf städtischem Handwerk und häuslich-ländlicher Nebenindustrie als breitem Hintergrund ruht.	ch30_clean.en-ch30_clean.de
If it destroys these in one form, in particular branches, at certain points, it calls them up again elsewhere, because it needs them for the preparation of raw material up to a certain point.	Wenn sie letztre unter einer Form, in besondren Geschäftszweigen, auf gewissen Punkten vernichtet, ruft sie dieselbe auf andren wieder hervor, weil sie derselben zur Bearbeitung des Rohmaterials bis zu einem bestimmten Grad bedarf.	ch30_clean.en-ch30_clean.de
It produces, therefore, a new class of small villagers who, while following the cultivation of the soil as an accessory calling, find their chief occupation in industrial labour, the products of which they sell to the manufacturers directly, or through the medium of merchants.	Sie produziert daher eine neue Klasse kleiner Landleute, welche die Bodenbestellung als Nebenzweig und die industrielle Arbeit zum Verkauf des Produkts an die Manufaktur - direkt, oder auf dem Umweg des Kaufmanns - als Hauptgeschäft treiben.	ch30_clean.en-ch30_clean.de
This is one, though not the chief, cause of a phenomenon which, at first, puzzles the student of English history.	Dies ist ein Grund, wenn auch nicht der Hauptgrund, eines Phänomens, welches den Forscher der englischen Geschichte zunächst verwirrt.	ch30_clean.en-ch30_clean.de
From the last third of the 15th century he finds continually complaints, only interrupted at certain intervals, about the encroachment of capitalist farming in the country districts, and the progressive destruction of the peasantry.	Vom letzten Dritteil des 15. Jahrhunderts an findet er fortlaufende, nur in gewissen Intervallen unterbrochne Klage über die zunehmende Kapitalwirtschaft auf dem Land und die progressive Vernichtung der Bauerschaft.	ch30_clean.en-ch30_clean.de
On the other hand, he always finds this peasantry turning up again, although in diminished number, and always under worse conditions.	Andrerseits findet er stets diese Bauerschaft wieder von neuem vor, wenn auch in verminderter Zahl und unter stets verschlechterter Form.	ch30_clean.en-ch30_clean.de
The chief reason is: England is at one time chiefly a cultivator of corn, at another chiefly a breeder of cattle, in alternate periods, and with these the extent of peasant cultivation fluctuates.	Der Hauptgrund ist: England ist vorzugsweise bald Kornbauer, bald Viehzüchter, in Wechselperioden, und mit ihnen schwankt der Umfang des bäuerlichen Betriebs.	ch30_clean.en-ch30_clean.de
Modern Industry alone, and finally, supplies, in machinery, the lasting basis of capitalistic agriculture, expropriates radically the enormous majority of the agricultural population, and completes the separation between agriculture and rural domestic industry, whose roots – spinning and weaving – it tears up.	Erst die große Industrie liefert mit den Maschinen die konstante Grundlage der kapitalistischen Agrikultur, expropriiert radikal die ungeheure Mehrzahl des Landvolks und vollendet die Scheidung zwischen Ackerbau und häuslich-ländlichem Gewerbe, dessen Wurzeln sie ausreißt - Spinnerei und Weberei.	ch30_clean.en-ch30_clean.de
It therefore also, for the first time, conquers for industrial capital the entire home market.	Sie erobert daher auch erst dem industriellen Kapital den ganzen innern Markt.	ch30_clean.en-ch30_clean.de

