	SIEBZEHNTES KAPITEL Verwandlung von Wert resp.	ch19_clean.en-ch19_clean.de
It is the quantity of labour required for its production, not the realized form of that labour, by which the amount of the value of a commodity is determined.	Es ist also das zu ihrer Produktion erheischte Quantum Arbeit, nicht deren gegenständliche Form, wodurch ihre Wertgröße bestimmt wird.	ch19_clean.en-ch19_clean.de
That which comes directly face to face with the possessor of money on the market, is in fact not labour, but the labourer.	Was dem Geldbesitzer auf dem Warenmarkt direkt gegenübertritt, ist in der Tat nicht die Arbeit, sondern der Arbeiter.	ch19_clean.en-ch19_clean.de
What the latter sells is his labour-power.	Was letztrer verkauft, ist seine Arbeitskraft.	ch19_clean.en-ch19_clean.de
As soon as his labour actually begins, it has already ceased to belong to him; it can therefore no longer be sold by him.	Sobald seine Arbeit wirklich beginnt, hat sie bereits aufgehört, ihm zu gehören, kann also nicht mehr von ihm verkauft werden.	ch19_clean.en-ch19_clean.de
Labour is the substance, and the immanent measure of value, but has itself no value.	Die Arbeit ist die Substanz und das immanente Maß der Werte, aber sie selbst hat keinen Wert.	ch19_clean.en-ch19_clean.de
In the expression “value of labour,” the idea of value is not only completely obliterated, but actually reversed.	Im Ausdruck: "Wert der Arbeit" ist der Wertbegriff nicht nur völlig ausgelöscht, sondern in sein Gegenteil verkehrt.	ch19_clean.en-ch19_clean.de
It is an expression as imaginary as the value of the earth.	Es ist ein imaginärer Ausdruck, wie etwa Wert der Erde.	ch19_clean.en-ch19_clean.de
These imaginary expressions, arise, however, from the relations of production themselves.	Diese imaginären Ausdrücke entspringen jedoch aus den Produktionsverhältnissen selbst.	ch19_clean.en-ch19_clean.de
They are categories for the phenomenal forms of essential relations.	Sie sind Kategorien für Erscheinungsformen wesentlicher Verhältnisse.	ch19_clean.en-ch19_clean.de
That in their appearance things often represent themselves in inverted form is pretty well known in every science except Political Economy.	Daß in der Erscheinung die Dinge sich oft verkehrt darstellen, ist ziemlich in allen Wissenschaften bekannt, außer in der politischen Ökonomie.	ch19_clean.en-ch19_clean.de
Classical Political Economy borrowed from every-day life the category “price of labour” without further criticism, and then simply asked the question, how is this price determined?	Die klassische politische Ökonomie entlehnte dem Alltagsleben ohne weitere Kritik die Kategorie "Preis der Arbeit", um sich dann hinterher zu fragen, wie wird dieser Preis bestimmt?	ch19_clean.en-ch19_clean.de
It soon recognized that the change in the relations of demand and supply explained in regard to the price of labour, as of all other commodities, nothing except its changes i.e., the oscillations of the market-price above or below a certain mean.	Sie erkannte bald, daß der Wechsel im Verhältnis von Nachfrage und Angebot für den Preis der Arbeit, wie für den jeder andren Ware, nichts erklärt außer seinem Wechsel, d.h. die Schwankung der Markpreise unter oder über eine gewisse Größe.	ch19_clean.en-ch19_clean.de
If demand and supply balance, the oscillation of prices ceases, all other conditions remaining the same.	Decken sich Nachfrage und Angebot, so hört, unter sonst gleichbleibenden Umständen, die Preisoszillation auf.	ch19_clean.en-ch19_clean.de
But then demand and supply also cease to explain anything.	Aber dann hören auch Nachfrage und Angebot auf, irgend etwas zu erklären.	ch19_clean.en-ch19_clean.de
The price of labour, at the moment when demand and supply are in equilibrium, is its natural price, determined independently of the relation of demand and supply. And how this price is determined is just the question.	Der Preis der Arbeit, wenn Nachfrage und Angebot sich decken, ist ihr vom Verhältnis der Nachfrage und Angebot unabhängig bestimmter, ihr natürlicher Preis, der so als der eigentlich zu analysierende Gegenstand gefunden ward.	ch19_clean.en-ch19_clean.de
Or a larger period of oscillations in the market-price is taken, e.g., a year, and they are found to cancel one the other, leaving a mean average quantity, a relatively constant magnitude.	Oder man nahm eine längere Periode der Schwankungen des Marktpreises, z.B. ein Jahr und fand dann, daß sich ihr Auf und Ab ausgleicht zu einer mittlern Durchschnittsgröße, einer konstanten Größe.	ch19_clean.en-ch19_clean.de
This had naturally to be determined otherwise than by its own compensating variations.	Sie mußte natürlich anders bestimmt werden als die sich kompensierenden Abweichungen von ihr selbst.	ch19_clean.en-ch19_clean.de
This price which always finally predominates over the accidental market-prices of labour and regulates them, this “necessary price” (Physiocrats) or “natural price” of labour (Adam Smith) can, as with all other commodities, be nothing else than its value expressed in money.	Dieser über die zufälligen Marktpreise der Arbeit übergreifende und sie regulierende Preis, der "notwendige Preis" (Physiokraten) oder "natürliche Preis" der Arbeit (Adam Smith) kann, wie bei andren Waren, nur ihr in Geld ausgedrückter Wert sein.	ch19_clean.en-ch19_clean.de
In this way Political Economy expected to penetrate athwart the accidental prices of labour, to the value of labour.	In dieser Art glaubte die politische Ökonomie durch die zufälligen Preise der Arbeit zu ihrem Wert vorzudringen.	ch19_clean.en-ch19_clean.de
As with other commodities, this value was determined by the cost of production.	Wie bei den andren Waren wurde dieser Wert dann weiter durch die Produktionskosten bestimmt.	ch19_clean.en-ch19_clean.de
But what is the cost of production of the labourer, i.e., the cost of producing or reproducing the labourer himself?	Aber was sind die Produktionskosten - des Arbeiters, d.h. die Kosten, um den Arbeiter selbst zu produzieren oder zu reproduzieren?	ch19_clean.en-ch19_clean.de
This question unconsciously substituted itself in Political Economy for the original one; for the search after the cost of production of labour as such turned in a circle and never left the spot.	Diese Frage schob sich der politischen Ökonomie bewußtlos für die ursprüngliche unter, da sie mit den Produktionskosten der Arbeit als solcher sich im Kreise drehte und nicht vom Flecke kam.	ch19_clean.en-ch19_clean.de
What economists therefore call value of labour, is in fact the value of labour-power, as it exists in the personality of the labourer, which is as different from its function, labour, as a machine is from the work it performs.	Was sie also Wert der Arbeit (value of labour) nennt, ist in der Tat der Wert der Arbeitskraft, die in der Persönlichkeit des Arbeiters existiert und von ihrer Funktion, der Arbeit, ebenso verschieden ist wie eine Maschine von ihren Operationen.	ch19_clean.en-ch19_clean.de
Occupied with the difference between the market-price of labour and its so-called value, with the relation of this value to the rate of profit, and to the values of the commodities produced by means of labour, &c., they never discovered that the course of the analysis had led not only from the market-prices of labour to its presumed value, but had led to the resolution of this value of labour itself into the value of labour-power.	Beschäftigt mit dem Unterschied zwischen den Marktpreisen der Arbeit und ihrem sog. Wert, mit dem Verhältnis dieses Werts zur Profitrate, zu den vermittelst der Arbeit produzierten Warenwerten usw., entdeckte man niemals, daß der Gang der Analyse nicht nur von den Marktpreisen der Arbeit zu ihrem vermeintlichen Wert, sondern dahin geführt hatte, diesen Wert der Arbeit selbst wieder aufzulösen in den Wert der Arbeitskraft.	ch19_clean.en-ch19_clean.de
Classical economy never arrived at a consciousness of the results of its own analysis; it accepted uncritically the categories “value of labour,” “natural price of labour,” &c., as final and as adequate expressions for the value-relation under consideration, and was thus led, as will be seen later, into inextricable confusion and contradiction, while it offered to the vulgar economists a secure basis of operations for their shallowness, which on principle worships appearances only.	Die Bewußtlosigkeit über dies Resultat ihrer eignen Analyse, die kritiklose Annahme der Kategorien "Wert der Arbeit", "natürlicher Preis der Arbeit" usw. als letzter adäquater Ausdrücke des behandelten Wertverhältnisses, verwickelte, wie man später sehn wird, die klassische politische Ökonomie in unauflösbare Wirren und Widersprüche, während sie der Vulgärökonomie eine sichere Operationsbasis für ihre prinzipiell nur dem Schein huldigende Flachheit bot.	ch19_clean.en-ch19_clean.de
Let us next see how value (and price) of labour-power, present themselves in this transformed condition as wages.	Sehn wir nun zunächst, wie Wert und Preise der Arbeitskraft sich in dieser verwandelten Form als Arbeitslohn darstellen.	ch19_clean.en-ch19_clean.de
We know that the daily value of labour-power is calculated upon a certain length of the labourer’s life, to which, again, corresponds a certain length of working day.	Man weiß, daß der Tageswert der Arbeitskraft berechnet ist auf eine gewisse Lebensdauer des Arbeiters, welcher eine gewisse Länge des Arbeitstags entspricht.	ch19_clean.en-ch19_clean.de
Assume the habitual working day as 12 hours, the daily value of labour-power as 3s., the expression in money of a value that embodies 6 hours of labour.	Nimm an, der gewohnheitsmäßige Arbeitstag betrage 12 Stunden und der Tageswert der Arbeitskraft 3 sh., der Geldausdruck eines Werts, worin sich 6 Arbeitsstunden darstellen.	ch19_clean.en-ch19_clean.de
If the labourer receives 3s., then he receives the value of his labour-power functioning through 12 hours.	Erhält der Arbeiter 3 sh., so erhält er den Wert seiner während 12 Stunden funktionierenden Arbeitskraft.	ch19_clean.en-ch19_clean.de
If, now, this value of a day’s labour-power is expressed as the value of a day’s labour itself, we have the formula: Twelve hours’ labour has a value of 3s.	Wird nun dieser Tageswert der Arbeitskraft als Wert der Tagesarbeit ausgedrückt, so ergibt sich die Formel: Die zwölfstündige Arbeit hat einen Wert von 3 sh.	ch19_clean.en-ch19_clean.de
The value of labour-power thus determines the value of labour, or, expressed in money, its necessary price.	Der Wert der Arbeitskraft bestimmt so den Wert der Arbeit oder, in Geld ausgedrückt, ihren notwendigen Preis.	ch19_clean.en-ch19_clean.de
If, on the other hand, the price of labour-power differs from its value, in like manner the price of labour differs from its so-called value.	Weicht dagegen der Preis der Arbeitskraft von ihrem Wert ab, so ebenfalls der Preis der Arbeit von ihrem sog. Wert.	ch19_clean.en-ch19_clean.de
As the value of labour is only an irrational expression for the value of labour-power, it follows, of course, that the value of labour must always be less than the value it produces, for the capitalist always makes labour-power work longer than is necessary for the reproduction of its own value.	Da der Wert der Arbeit nur ein irrationeller Ausdruck für den Wert der Arbeitskraft, ergibt sich von selbst, daß der Wert der Arbeit stets kleiner sein muß als ihr Wertprodukt, denn der Kapitalist läßt die Arbeitskraft stets länger funktionieren, als zur Reproduktion ihres eignen Werts nötig ist.	ch19_clean.en-ch19_clean.de
In the above example, the value of the labour-power that functions through 12 hours is 3s., a value for the reproduction of which 6 hours are required.	Im obigen Beispiel ist der Wert der während 12 Stunden funktionierenden Arbeitskraft 3 sh., ein Wert, zu dessen Reproduktion sie 6 Stunden braucht.	ch19_clean.en-ch19_clean.de
The value which the labour-power produces is, on the other hand, 6s., because it, in fact, functions during 12 hours, and the value it produces depends, not on its own value, but on the length of time it is in action.	Ihr Wertprodukt ist dagegen 6 sh., weil sie in der Tat während 12 Stunden funktioniert, und ihr Wertprodukt nicht von ihrem eignen Werte, sondern von der Zeitdauer ihrer Funktion abhängt.	ch19_clean.en-ch19_clean.de
Thus, we have a result absurd at first sight that labour which creates a value of 6s. possesses a value of 3s.	Man erhält so das auf den ersten Blick abgeschmackte Resultat, daß Arbeit, die einen Wert von 6 sh. schafft, einen Wert von 3 sh. besitzt.	ch19_clean.en-ch19_clean.de
We see, further: The value of 3s. by which a part only of the working day – i.e., 6 hours’ labour-is paid for, appears as the value or price of the whole working day of 12 hours, which thus includes 6 hours unpaid for.	Man sieht ferner: Der Wert von 3 sh., worin sich der bezahlte Teil des Arbeitstags, d.h. sechsstündige Arbeit darstellt, erscheint als Wert oder Preis des Gesamtarbeitstags von 12 Stunden, welcher 6 unbezahlte Stunden enthält.	ch19_clean.en-ch19_clean.de
The wage form thus extinguishes every trace of the division of the working day into necessary labour and surplus labour, into paid and unpaid labour.	Die Form des Arbeitslohns löscht also jede Spur der Teilung des Arbeitstags in notwendige Arbeit und Mehrarbeit, in bezahlte und unbezahlte Arbeit aus.	ch19_clean.en-ch19_clean.de
All labour appears as paid labour.	Alle Arbeit erscheint als bezahlte Arbeit.	ch19_clean.en-ch19_clean.de
In the corvée, the labour of the worker for himself, and his compulsory labour for his lord, differ in space and time in the clearest possible way.	Bei der Fronarbeit unterscheiden sich räumlich und zeitlich, handgreiflich sinnlich, die Arbeit des Fröners für sich selbst und seine Zwangsarbeit für den Grundherrn.	ch19_clean.en-ch19_clean.de
In slave labour, even that part of the working day in which the slave is only replacing the value of his own means of existence, in which, therefore, in fact, he works for himself alone, appears as labour for his master.	Bei der Sklavenarbeit erscheint selbst der Teil des Arbeitstags, worin der Sklave nur den Wert seiner eignen Lebensmittel ersetzt, den er in der Tat also für sich selbst arbeitet, als Arbeit für seinen Meister.	ch19_clean.en-ch19_clean.de
All the slave’s labour appears as unpaid labour.	Alle seine Arbeit erscheint als unbezahlte Arbeit.	ch19_clean.en-ch19_clean.de
In wage labour, on the contrary, even surplus labour, or unpaid labour, appears as paid.	Bei der Lohnarbeit erscheint umgekehrt selbst die Mehrarbeit oder unbezahlte Arbeit als bezahlt.	ch19_clean.en-ch19_clean.de
There the property-relation conceals the labour of the slave for himself; here the money-relation conceals the unrequited labour of the wage labourer.	Dort verbirgt das Eigentumsverhältnis das Fürsichselbstarbeiten des Sklaven, hier das Geldverhältnis das Umsonstarbeiten des Lohnarbeiters.	ch19_clean.en-ch19_clean.de
Hence, we may understand the decisive importance of the transformation of value and price of labour-power into the form of wages, or into the value and price of labour itself.	Man begreift daher die entscheidende Wichtigkeit der Verwandlung von Wert und Preis der Arbeitskraft in die Form des Arbeitslohns oder in Wert und Preis der Arbeit selbst.	ch19_clean.en-ch19_clean.de
This phenomenal form, which makes the actual relation invisible, and, indeed, shows the direct opposite of that relation, forms the basis of all the juridical notions of both labourer and capitalist, of all the mystifications of the capitalistic mode of production, of all its illusions as to liberty, of all the apologetic shifts of the vulgar economists.	Auf dieser Erscheinungsform, die das wirkliche Verhältnis unsichtbar macht und grade sein Gegenteil zeigt, beruhn alle Rechtsvorstellungen des Arbeiters wie des Kapitalisten, alle Mystifikationen der kapitalistische Produktionsweise, alle ihre Freiheitsillusionen, alle apologetischen Flausen der Vulgärökonomie.	ch19_clean.en-ch19_clean.de
If history took a long time to get at the bottom of the mystery of wages, nothing, on the other hand, is more easy to understand than the necessity, the raison d’etre, of this phenomenon.	Braucht die Weltgeschichte viele Zeit, um hinter das Geheimnis des Arbeitslohns zu kommen, so ist dagegen nichts leichter zu verstehen als die Notwendigkeit, die raisons d'être <Gründe des Daseins> dieser Erscheinungsform.	ch19_clean.en-ch19_clean.de
The exchange between capital and labour at first presents itself to the mind in the same guise as the buying and selling of all other commodities.	Der Austausch zwischen Kapital und Arbeit stellt sich der Wahrnehmung zunächst ganz in derselben Art dar wie der Kauf und Verkauf aller andren Waren.	ch19_clean.en-ch19_clean.de
The buyer gives a certain sum of money, the seller an article of a nature different from money.	Der Käufer gibt eine gewisse Geldsumme, der Verkäufer einen von Geld verschiednen Artikel.	ch19_clean.en-ch19_clean.de
The jurist’s consciousness recognizes in this, at most, a material difference, expressed in the juridically equivalent formula: “Do ut des, do ut facias, facio ut des, facio ut facias.” 9 Furthermore, exchange-value and use-value, being intrinsically incommensurable magnitudes, the expressions “value of labour,” “price of labour,” do not seem more irrational than the expressions “value of cotton,” “price of cotton.”	Das Rechtsbewußtsein erkennt hier höchstens einen stofflichen Unterschied, der sich ausdrückt in den rechtlich äquivalenten Formeln: Do ut des, do ut facias, facio ut des, und facio ut facias. <Ich gebe, damit du gibst; ich gebe, damit du tust; ich tue, damit du gibst; und ich tue, damit du tust.> Ferner: Da Tauschwert und Gebrauchswert an und für sich inkommensurable Größen sind, so scheint der Ausdruck: "Wert der Arbeit", "Preis der Arbeit" nicht irrationeller als der Ausdruck "Wert der Baumwolle", "Preis der Baumwolle".	ch19_clean.en-ch19_clean.de
Moreover, the labourer is paid after he has given his labour.	Es kommt hinzu, daß der Arbeiter gezahlt wird, nachdem er seine Arbeit geliefert hat.	ch19_clean.en-ch19_clean.de
In its function of means of payment, money realizes subsequently the value or price of the article supplied – i.e., in this particular case, the value or price of the labour supplied.	In seiner Funktion als Zahlungsmittel realisiert das Geld aber nachträglich den Wert oder Preis des gelieferten Artikels, also im gegebnen Fall den Wert oder Preis der gelieferten Arbeit.	ch19_clean.en-ch19_clean.de
Finally, the use-value supplied by the labourer to the capitalist is not, in fact, his labour-power, but its function, some definite useful labour, the work of tailoring, shoemaking, spinning, &c. That this same labour is, on the other hand, the universal value-creating element, and thus possesses a property by which it differs from all other commodities, is beyond the cognizance of the ordinary mind.	Endlich ist der "Gebrauchswert", den der Arbeiter dem Kapitalisten liefert, in der Tat nicht seine Arbeitskraft, sondern ihre Funktion, eine bestimmte nützliche Arbeit, Schneiderarbeit, Schusterarbeit, Spinnarbeit usw. Daß dieselbe Arbeit nach einer andren Seite hin allgemeines wertbildendes Element ist, eine Eigenschaft, wodurch sie sich von allen andren Waren unterscheidet, fällt außerhalb des Bereichs des gewöhnlichen Bewußtseins.	ch19_clean.en-ch19_clean.de
Let us put ourselves in the place of the labourer who receives for 12 hours’ labour, say the value produced by 6 hours’ labour, say 3s. For him, in fact, his 12 hours’ labour is the means of buying the 3s.	Stellen wir uns auf den Standpunkt des Arbeiters, der für zwölfstündige Arbeit z.B. das Wertprodukt sechsstündiger Arbeit erhält, sage 3 sh., so ist für ihn in der Tat seine zwölfstündige Arbeit das Kaufmittel der 3 sh.	ch19_clean.en-ch19_clean.de
The value of his labour-power may vary, with the value of his usual means of subsistence, from 3 to 4 shillings, or from 3 to 2 shillings; or, if the value of his labour-power remains constant, its price may, in consequence of changing relations of demand and supply, rise to 4s. or fall to 2s.	Der Wert seiner Arbeitskraft mag variieren mit dem Wert seiner gewohnheitsmäßigen Lebensmittel von 3 auf 4 sh. oder von 3 auf 2 sh., oder bei gleichbleibendem Wert seiner Arbeitskraft mag ihr Preis, infolge wechselnden Verhältnisses von Nachfrage und Angebot, auf 4 sh. steigen oder auf 2 sh. fallen, er gibt stets 12 Arbeitsstunden.	ch19_clean.en-ch19_clean.de
He always gives 12 hours of labour. Every change in the amount of the equivalent that he receives appears to him, therefore, necessarily as a change in the value or price of his 12 hours’ work.	Jeder Wechsel in der Größe des Äquivalents, das er erhält, erscheint ihm daher notwendig als Wechsel im Wert oder Preis seiner 12 Arbeitsstunden.	ch19_clean.en-ch19_clean.de
This circumstance misled Adam Smith, who treated the working day as a constant quantity, to the assertion that the value of labour is constant, although the value of the means of subsistence may vary, and the same working day, therefore, may represent itself in more or less money for the labourer.	Dieser Umstand verleitete umgekehrt Adam Smith, der den Arbeitstag als eine konstante Größe behandelt , zur Behauptung, der Wert der Arbeit sei konstant, obgleich der Wert der Lebensmittel wechsle und derselbe Arbeitstag sich daher in mehr oder weniger Geld für den Arbeiter darstelle.	ch19_clean.en-ch19_clean.de
Let us consider, on the other hand, the capitalist. He wishes to receive as much labour as possible for as little money as possible.	Nehmen wir andrerseits den Kapitalisten, so will er zwar möglichst viel Arbeit für möglichst wenig Geld erhalten.	ch19_clean.en-ch19_clean.de
Practically, therefore, the only thing that interests him is the difference between the price of labour-power and the value which its function creates.	Praktisch interessiert ihn daher nur die Differenz zwischen dem Preis der Arbeitskraft und dem Wert, den ihre Funktion schafft.	ch19_clean.en-ch19_clean.de
But, then, he tries to buy all commodities as cheaply as possible, and always accounts for his profit by simple cheating, by buying under, and selling over the value.	Aber er sucht alle Ware möglichst wohlfeil zu kaufen und erklärt sich überall seinen Profit aus der einfachen Prellerei, dem Kauf unter und dem Verkauf über dem Wert.	ch19_clean.en-ch19_clean.de
Hence, he never comes to see that, if such a thing as the value of labour really existed, and he really paid this value, no capital would exist, his money would not be turned into capital.	Er kommt daher nicht zur Einsicht, daß, wenn so ein Ding wie Wert der Arbeit wirklich existierte, und er diesen Wert wirklich zahlte, kein Kapital existieren, sein Geld sich nicht in Kapital verwandeln würde.	ch19_clean.en-ch19_clean.de
Moreover, the actual movement of wages presents phenomena which seem to prove that not the value of labour-power is paid, but the value of its function, of labour itself.	Zudem zeigt die wirkliche Bewegung des Arbeitslohns Phänomene, die zu beweisen scheinen, daß nicht der Wert der Arbeitskraft bezahlt wird, sondern der Wert ihrer Funktion, der Arbeit selbst.	ch19_clean.en-ch19_clean.de
We may reduce these phenomena to two great classes: 1.)	Diese Phänomene können wir auf zwei große Klassen zurückführen.	ch19_clean.en-ch19_clean.de
Change of wages with the changing length of the working day.	Erstens: Wechsel des Arbeitslohns mit wechselnder Länge des Arbeitstags.	ch19_clean.en-ch19_clean.de
One might as well conclude that not the value of a machine is paid, but that of its working, because it costs more to hire a machine for a week than for a day.	Man könnte ebensowohl schließen, daß nicht der Wert der Maschine, sondern der ihrer Operation bezahlt wird, weil es mehr kostet, eine Maschine für eine Woche als für einen Tag zu dingen.	ch19_clean.en-ch19_clean.de
2.) The individual difference in the wages of different labourers who do the same kind of work.	Zweitens: Der individuelle Unterschied in den Arbeitslöhnen verschiedner Arbeiter, welche dieselbe Funktion verrichten.	ch19_clean.en-ch19_clean.de
We find this individual difference, but are not deceived by it, in the system of slavery, where, frankly and openly, without any circumlocution, labour-power itself is sold.	Diesen individuellen Unterschied findet man, aber ohne Anlaß zu Illusionen, auch im System der Sklaverei, wo frank und frei, ohne Schnörkel, die Arbeitskraft selbst verkauft wird.	ch19_clean.en-ch19_clean.de
Only, in the slave system, the advantage of a labour-power above the average, and the disadvantage of a labour-power below the average, affects the slave-owner; in the wage-labour system, it affects the labourer himself, because his labour-power is, in the one case, sold by himself, in the other, by a third person.	Nur fällt der Vorteil einer Arbeitskraft die über dem Durchschnitt, oder der Nachteil einer Arbeitskraft, die unter dem Durchschnitt steht, im Sklavensystem dem Sklaveneigner zu, im System der Lohnarbeit dem Arbeiter selbst, weil seine Arbeitskraft in dem einen Fall von ihm selbst, in dem andern von einer dritten Person verkauft wird.	ch19_clean.en-ch19_clean.de
For the rest, in respect to the phenomenal form, “value and price of labour,” or “wages,” as contrasted with the essential relation manifested therein, viz., the value and price of labour-power, the same difference holds that holds in respect to all phenomena and their hidden substratum.	Übrigens gilt von der Erscheinungsform, "Wert und Preis der Arbeit" oder "Arbeitslohn", im Unterschied zum wesentlichen Verhältnis, welches erscheint, dem Wert und Preis der Arbeitskraft, dasselbe, was von allen Erscheinungsformen und ihrem verborgnen Hintergrund.	ch19_clean.en-ch19_clean.de
The former appear directly and spontaneously as current modes of thought; the latter must first be discovered by science.	Die ersteren reproduzieren sich unmittelbar spontan, als gang und gäbe Denkformen, der andre muß durch die Wissenschaft erst entdeckt werden.	ch19_clean.en-ch19_clean.de
Classical Political Economy nearly touches the true relation of things, without, however, consciously formulating it.	Die klassische politische Ökonomie stößt annähernd auf den wahren Sachverhalt, ohne ihn jedoch bewußt zu formulieren.	ch19_clean.en-ch19_clean.de
This it cannot, so long as it sticks in its bourgeois skin.	Sie kann das nicht, solange sie in ihrer bürgerlichen Haut steckt.	ch19_clean.en-ch19_clean.de

